Interest Rate Securities Market - Weekly,,,,,,,,,,,,,,,,
XAO 4516.5 at 16:37 11/6/2010  Report at 19:07 Friday 11/6/2010. Processed 19:26 Friday 11/6/2010.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Week's High,Week's Low,ASX Code,Security Description,Last Sale,Vol 000's,Val 000's,Quote Buy,Quote Sell,Face Value,CPN (%) p.a.,Next Cpn Date,Conv/Mat. Date,Conv/Mat. Value,YTM Conv
Greencross Ltd,GXL,0.70,-5.00,-6.67,,,,,,,,,,,,
Investorfirst Ltd,INQ,0.07,-0.50,-6.67,,,,,,,,,,,,
Flat Glass Ind,FGI,0.30,-2.00,-6.25,,,,,,,,,,,,
Health Corp,HEA,0.03,-0.20,-6.25,,,,,,,,,,,,
Merchant House,MHI,0.15,-1.00,-6.25,,,,,,,,,,,,
QRSciences Hldgs,QRS,0.046,-0.30,-6.12,,,,,,,,,,,,
ECO Quest,ECQ,0.094,-0.60,-6,,,,,,,,,,,,
Cell Aquaculture,CAQ,0.16,-1.00,-5.88,,,,,,,,,,,,
Medical Corp,MOD,0.016,-0.10,-5.88,,,,,,,,,,,,
iSOFT Group Ltd,ISF,0.245,-1.50,-5.77,,,,,,,,,,,,
Farmworks Aust,FWA,0.17,-1.00,-5.56,,,,,,,,,,,,
Pro Medicus Ltd   ,PME,0.51,-3.00,-5.56,,,,,,,,,,,,
Trinity Grp stp,TCQ,0.07,-0.40,-5.41,,,,,,,,,,,,
Macarthurcook Ind Pr unt,MIF,0.365,-2.00,-5.19,,,,,,,,,,,,
Skilled Grp Ltd,SKE,1.11,-6.00,-5.13,,,,,,,,,,,,
Webster Ltd,WBA,0.37,-2.00,-5.13,,,,,,,,,,,,
Austock Grp Ltd,ACK,0.19,-1.00,-5,,,,,,,,,,,,
Undercoverwear,UCW,0.19,-1.00,-5,,,,,,,,,,,,
MINING FALLS,,,,,,,,,,,,,,,,
Mining Projects,MPJ,0.001,-0.10,-50,,,,,,,,,,,,
Odin Energy Ltd opt nov12,ODNO,0.001,-0.10,-50,,,,,,,,,,,,
Victorian Gold Mines,VGM,0.073,-4.70,-39.17,,,,,,,,,,,,
Lodestar Min,LSR,0.098,-5.70,-36.77,,,,,,,,,,,,
MIL Res opt may12,MGKOA,0.007,-0.40,-36.36,,,,,,,,,,,,
Black Range Min opt feb11,BLRO,0.01,-0.50,-33.33,,,,,,,,,,,,
Palace Res,PXR,0.011,-0.40,-26.67,,,,,,,,,,,,
Intec Ltd,INL,0.003,-0.10,-25,,,,,,,,,,,,
Modena Res Ltd opt dec13,MDAOA,0.006,-0.20,-25,,,,,,,,,,,,
ARC Explore Ltd opt jan11,ARXOA,0.004,-0.10,-20,,,,,,,,,,,,
