Overseas Stocks,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-08-19T16:30:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Hong Kong Stock Exchange,
Quoted in HK Dollars,
,
Trading date,Company name,Last sale,,
17/08/2012,Samsung Fire & Marine Insurance Co Ltd,"225,000",,
17/08/2012,Samsung Heavy Industries Co Ltd,"39,650",,
17/08/2012,Samsung SDI Co Ltd,"147,000",,
17/08/2012,Samsung Securities Co Ltd,"51,000",,
17/08/2012,Shinhan Financial Group Co Ltd,"37,350",,
17/08/2012,Shinsegae Co Ltd,"219,000",,
17/08/2012,SK Holdings Co Ltd,"166,000",,
17/08/2012,SK Innovation,"172,000",,
17/08/2012,SK Telecom Co Ltd,"151,000",,
17/08/2012,S-Oil Corp,"110,500",,
17/08/2012,Woori Finance Hldg Co Ltd,"11,400",,
,
