Overseas Stocks,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Monday at 2015-11-02T13:00:02+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Hong Kong Stock Exchange,
Quoted in HK Dollars,
,
Trading date,Company name,Last sale,,
30/10/2015,Cavalier Corp Ltd,.415,,
30/10/2015,Contact Energy Ltd,5.19,,
30/10/2015,DNZ Property Fund Ltd,2.09,,
30/10/2015,Ebos Group Ltd,13.65,,
19/11/2012,Fisher and Paykel Appliances Holdings Ltd,1.275,,
30/10/2015,Fisher and Paykel Healthcare Corp Ltd,7.78,,
30/10/2015,Fletcher Building Ltd,7.46,,
30/10/2015,Freightways Ltd,5.89,,
03/03/2015,Goodman Fielder Ltd,.69,,
30/10/2015,Goodman Property Trust,1.205,,
30/10/2015,Guinness Peat Group PLC,.67,,
30/10/2015,Hallenstein Glasson Holdings Ltd,3.75,,
30/10/2015,Heartland New Zealand Ltd,1.25,,
30/10/2015,Infratil Ltd,3.105,,
30/10/2015,Kathmandu Holdings Ltd,1.57,,
30/10/2015,Kiwi Income Property Trust,1.36,,
30/10/2015,Mainfreight Ltd,15.5,,
29/10/2015,Methven Ltd,1.04,,
30/10/2015,Michael Hill International Ltd,1.03,,
30/10/2015,New Zealand Oil And Gas Ltd,.435,,
30/10/2015,New Zealand Refining Co Ltd,3.44,,
30/10/2015,Nuplex Industries Ltd,4.26,,
30/10/2015,NZX Ltd,.96,,
27/10/2015,Pan Pacific Petroleum N L,.041,,
30/10/2015,Pgg Wrightson Ltd,.415,,
30/10/2015,Port of Tauranga Ltd,18,,
30/10/2015,Property For Industry Ltd,1.54,,
30/10/2015,Pumpkin Patch Ltd,.115,,
30/10/2015,Rakon Ltd,.26,,
30/10/2015,Restaurant Brands New Zealand Ltd,4.28,,
