ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, July 27, 2012,,,,,,,,,,,,,,,,,,,,
"XAO 4234.4 at 2012-07-27T16:45:36. Report at Friday, July 27, 2012. Processed Saturday at 2012-07-28T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
AVY,-,2.747,1.217,.007,-,-,-1.48,-,-,-,-,,Avenue Res,,.20,-,-,-,.20,.20,-.09,.35,.14,,
AVA,3471.00,31.639,84.490,.015,-,-,-2.52,-,-,-,-,,Aviva Corp,,.089,+.4,.089,.099,.105,.085,+4.62,.26,.075,,
AYE,122.300,4.290,22.692,.007,-,-,-.59,-,-,-,-,,Avocet Res,,.065,+.6,.063,.069,.065,.06,+10.08,.12,.04,,
AVZ,100.000,9.589,18.375,.003,-,-,-1.90,-,-,-,-,,Avonlea Minerals,,.021,+.1,-,-,.022,.021,+4.91,.135,.02,,
AWE,7228.08,339.934,368.753,.731,1.65,.8,-7.27,-,-,-,-,f,AWE,,1.40,+5,1.39,1.40,1.40,1.29,+3.61,1.995,.872,,
AXC,690.000,97.989,14.311,.002,-,-,-2.15,-,-,-,-,,AXG Mining,,.003,-.1,.003,.004,.004,.003,-25.09,.018,.003,,
AVQ,39840.6,843.438,3478.22,.008,-,-,-.65,-,-,-,-,,Axiom Min,,.006,-.2,.006,.007,.008,.006,-25.09,.054,.006,,
AZK,-,8.677,-,.017,-,-,-,-,-,-,-,,Aziana,,.175,-,-,-,.175,.175,-.09,.25,.115,,
AZKO,-,1.394,-,.001,-,-,-,-,-,-,-,,  opt sep13,,.031,-,-,-,.031,.031,-.09,.05,.021,,
AZH,4128.73,230.778,155.885,.137,-,-,-.90,-,-,-,-,,Azimuth Res,,.34,-1,.335,.34,.355,.33,-2.95,.99,.28,,
AZM,6620.04,159.744,104.436,.048,-,-,-6.74,-,-,-,-,,Azumah Res,,.145,-1,.14,.145,.155,.14,-6.54,.57,.14,,
AZS,590.687,48.774,122.573,.007,-,-,-1.31,-,-,-,-,,Azure Minerals,,.018,+.1,.015,.018,.018,.015,+5.79,.06,.015,,
BMB,506.760,827.589,4004.94,.022,-,-,-.62,-,-,-,-,,Balamara Res,†,.115,-1.5,.105,.115,.12,.105,-11.63,.24,.01,,
BND,4804.18,290.487,140.945,.151,-,-,.16,178.1,-,-,-,,Bandanna Energy,,.285,-8,.28,.305,.36,.28,-22.01,2.136,.28,,
BMN,882.655,85.122,225.336,.033,-,-,-5.28,-,-,-,-,,Bannerman Res,,.11,-.5,.105,.115,.12,.105,-4.44,.435,.105,,
BNX,79.150,.437,-,.002,-,-,-,-,-,-,-,,Bannon,,.18,-1,-,-,.19,.18,-5.35,.215,.18,,
BKP,7386.97,536.741,3165.57,.029,-,-,-.05,-,-,-,-,,Baraka Energy,,.014,-.1,.013,.014,.015,.013,-6.76,.024,.008,,
BAR,1400.00,29.922,45.327,.006,-,-,-.23,-,-,-,-,,Barra Res,,.015,-.2,.015,.018,.017,.015,-11.86,.039,.013,,
BAC,30.000,4.000,-,.002,-,-,-1.23,-,-,-,-,,Baru Resources,,.06,-.6,.06,.065,.066,.06,-9.18,.20,.05,,
BACO,5.000,.650,-,-,-,-,-,-,-,-,-,,  opt dec16,,.02,+.8,-,-,.02,.012,+66.58,.05,.012,,
BSE,2957.08,118.193,176.466,.124,-,-,.32,84.4,-,-,-,,Base Res,,.27,-4,.27,.275,.32,.265,-12.99,.595,.265,,
BSM,4431.00,206.242,64.380,.003,-,-,-26.78,-,-,-,-,,Bass Metals,,.01,-.1,.01,.011,.011,.01,-9.18,.203,.006,,
BSMO,3787.03,55.834,-,-,-,-,-,-,-,-,-,,  opt sep14,,.001,-.1,-,-,.002,.001,-50.09,.04,.001,,
BAS,1410.94,123.422,119.386,.006,-,-,-1.60,-,-,-,-,,Bass Strait Oil Co,,.016,-.1,.016,.018,.017,.014,-5.97,.036,.014,,
BSR,4092.12,180.406,91.235,.023,-,-,-4.35,-,-,-,-,,Bassari Res,,.04,-.4,.035,.04,.042,.038,-9.18,.086,.038,,
BSROA,-,12.333,-,-,-,-,-,-,-,-,-,,  opt nov12,,.003,-,-,-,.003,.003,-.09,.032,.003,,
BTU,28834.7,663.239,667.832,.202,-,-,-.69,-,-,-,-,,Bathurst Res,,.29,-4,.29,.295,.325,.26,-12.21,1.13,.26,,
BAU,1227.70,26.982,124.387,.025,-,-,-.20,-,-,-,-,,Bauxite Resources,,.105,-,.10,.11,.11,.10,-.09,.205,.097,,
BBX,-,1.056,8.643,.011,-,-,-1.21,-,-,-,-,,BBX Minerals,†,.14,-,-,-,.14,.14,-.09,.24,.055,,
BBXO,-,.041,-,-,-,-,-,-,-,-,-,,  opt jun14,,.011,-,-,-,.011,.011,-.09,.03,.011,,
BCI,510.368,17.541,45.939,.268,-,-,5.36,48.1,-,-,-,,BC Iron,,2.58,+13,2.56,2.58,2.69,2.34,+5.22,3.11,2.00,,
BCD,28455.8,292.208,692.034,.011,.01,1.0,-2.00,-,-,-,-,,BCD Res,,.01,+.2,.009,.01,.01,.008,+24.91,.016,.006,,
BPT,71975.0,1771.80,693.848,1.375,1.19,.9,4.25,25.8,1.75,2.43,1.60,f,Beach Energy,,1.095,+1,1.095,1.10,1.115,.995,+.83,1.763,.815,,
BHU,-,3.872,-,.116,-,-,-,-,-,-,-,,Beacon Hill Res,,.22,-,.15,.23,.22,.22,-.09,.32,.20,,
BCN,2116.50,373.173,624.752,.007,-,-,-.12,-,-,-,-,,Beacon Minerals,,.007,+.1,-,-,.007,.006,+16.58,.015,.004,,
