ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Thursday, April 24, 2014,,,,,,,,,,,,,,,,,,,,
"XAO 5515.5 at 2014-04-24T16:40:36. Report at Thursday, April 24, 2014. Processed Saturday at 2014-04-26T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
BCI,1262.01,68.070,40.585,.579,2.04,2.29,92.13,5.1,47.00,1.96,10.06,f,BC Iron,,4.67,-9,4.64,4.67,4.75,4.55,-3.19,5.50,2.87,,
BCD,7.661,2.463,7.615,.004,.05,.74,-2.71,-,-,-,-,,BCD Res,,.037,-,.037,.041,.037,.037,-1.30,.048,.021,,
BPT,19634.1,461.906,629.494,2.321,1.53,1.18,21.30,8.5,3.00,7.10,1.67,f,Beach Energy,,1.80,+10.5,1.795,1.805,1.805,1.71,+4.90,1.805,1.085,,
BCN,1430.00,120.011,66.811,.007,-,-,-.41,-,-,-,-,,Beacon Minerals,,.005,-,.005,.006,.005,.005,-1.30,.007,.003,,
BCNO,-,35.485,10.708,-,-,-,-,-,-,-,-,,  opt sep15,,.001,-,.001,.002,.001,.001,-1.30,.002,.001,,
BDR,12705.2,507.612,483.634,.526,-,-,15.00,4.4,-,-,-,,Beadell Resources,,.665,+4.5,.66,.67,.667,.605,+5.96,1.015,.485,,
BKY,1043.20,13.489,19.511,.051,-,-,-5.54,-,-,-,-,,Berkeley Res,,.285,+1.5,.28,.285,.285,.245,+4.26,.39,.20,,
BEZ,4.685,6.618,6.404,.004,-,-,-,-,-,-,-,,Besra Gold,,.024,-,.024,.029,.024,.024,-1.30,.095,.02,,
BHP,19542.2,555.902,695.841,122.944,16.04,2.39,314.04,12.2,129.10,2.43,3.37,f,BHP Billiton,,38.28,+18,38.22,38.28,38.41,37.85,-.83,39.79,30.43,,
BGS,1643.19,150.241,3741.00,.012,-,-,-.27,-,-,-,-,,Birimian Gold,,.015,-,.014,.015,.015,.014,-1.30,.039,.011,,
