ASX Mining & Oil Market - Weekly
"Trading data for the week ending Friday, September 18, 2015"
"XAO 5194.3 at 2015-09-18T17:03:05. Report at Friday, September 18, 2015. Processed Monday at 21/09/2015 3:58:10 PM."



ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change [see notes],Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
BGGO,-,-,.049,.002,-,-,-,-,-,-,-,,  opt jul16,-,.017,-,-,.015,.017,.017,-1.92,.017,.017,
BLK,1310.55,85.256,21.524,.033,-,-,-3.80,-,-,-,-,,Blackham Res,-,.165,+1,.16,.165,.17,.15,+4.53,.195,.043,
BLZ,252.500,16.378,815.602,.002,-,-,-5.00,-,-,-,-,,Blaze Int'l,X,.07,-.5,.06,.07,.078,.065,-8.59,.50,.02,
BGH,651.000,8.784,2.863,.002,-,-,-.34,-,-,-,-,,Bligh Res,-,.02,-.2,.01,.02,.023,.02,-11.01,.052,.012,
BDI,6465.10,77.438,258.877,.002,-,-,-5.01,-,-,-,-,,Blina Minerals,-,.001,-,-,.001,.001,.001,-1.92,.002,.001,
BUL,1987.89,129.372,117.652,.027,-,-,-.14,-,-,-,-,,Blue Energy,-,.024,-.1,.023,.024,.027,.023,-5.92,.053,.016,
BMG,890.903,16.456,568.277,-,-,-,-1.42,-,-,-,-,,BMG Res,X,.005,-.2,.005,.007,.006,.004,-30.49,.039,.004,
BOA,30.000,11.928,10.123,.011,-,-,-.39,-,-,-,-,,Boadicea Res,-,.23,+3,.215,.23,.23,.19,+13.08,.40,.10,
BBR,260.600,7.240,11.052,.004,-,-,-2.27,-,-,-,-,,Bora Bora Res,-,.11,+.5,.095,.11,.12,.10,+2.84,.48,.10,
BOE,314.273,141.276,294.382,.010,-,-,-.16,-,-,-,-,,Boss Resources,-,.019,-,.017,.018,.019,.018,-1.92,.023,.008,
BML,2247.20,239.843,886.448,.003,-,-,-.21,-,-,-,-,,Botswana Metals,-,.005,-.1,.005,.006,.006,.005,-18.59,.028,.005,
BMLOB,600.000,103.808,445.880,-,-,-,-,-,-,-,-,,  opt dec16,-,.002,-,.001,.003,.002,.002,-1.92,.015,.002,
BOC,11.500,8.953,5.020,.132,.14,2.36,-24.02,-,-,-,-,,Bougainville Copper,-,.33,+2.5,.305,.33,.33,.305,+6.27,.43,.19,
BUY,264.233,82.347,84.497,.010,-,-,-.56,-,-,-,-,,Bounty Oil & Gas,-,.01,-,.01,.011,.01,.01,-1.92,.02,.009,
BZL,10.000,5.221,2.476,.008,-,-,-.43,-,-,-,-,,BrazIron,-,.01,-,.01,.026,.01,.01,-1.92,.05,.01,
BRB,-,10.213,3.693,.004,-,-,-1.30,-,-,-,-,,Breaker Res,-,.055,-,.051,.065,.055,.055,-1.92,.079,.025,
