ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4842.6 at 16:47 16/10/2009  Report at 15:29 Saturday 17/10/2009. Processed 17:07 Sunday 18/10/2009.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
AWE,24419.4,523.044,525.043,1.459,1.80,1.6,17.36,16.1,-,-,-,,Aust Worldwide Ex,,2.80,20,2.79,2.80,2.83,2.61,5.84,3.06,1.803
AOK,5250.2,47.559,54.615,0.018,-,-,-4.05,-,-,-,-,,Austex Oil Ltd,,0.14,0.5,0.14,0.145,0.155,0.135,1.85,0.195,0.05
AKK,2723.91,63.225,141.672,0.008,-,-,-3.44,-,-,-,-,,Austin Explore,,0.057,0.5,0.056,0.057,0.06,0.053,7.76,0.15,0.022
APG,6459.06,146.55,174.71,0.028,-,-,-0.28,-,-,-,-,,Austpac Res NL,,0.035,0.2,0.034,0.035,0.035,0.032,4.21,0.084,0.028
AAF,13946.5,544.609,372.661,0.009,-,-,-0.6,-,-,-,-,,Austral Africa Res,,0.005,0.1,0.004,0.005,0.005,0.004,23.15,0.006,0.001
AGD,86,2.317,0.929,0.025,-,-,-2.53,-,-,-,-,,Austral Gold,,0.15,3,0.15,0.18,0.17,0.15,23.15,0.23,0.065
AZX,72.8,1.626,2.531,0.009,-,-,-15.3,-,-,-,-,,Auzex Res,,0.22,2,0.22,0.26,0.26,0.20,8.15,0.45,0.11
AZXO,55.55,0.662,0.807,-,-,-,-,-,-,-,-,,  opt sep10,,0.015,0.5,0.009,0.022,0.015,0.01,48.15,0.07,0.006
AVI,1423.76,17.666,11.829,0.015,-,-,-5.87,-,-,-,-,,Avalon Min,,0.17,,0.16,0.17,0.185,0.16,-1.85,0.185,0.053
AVB,97466.4,362.002,3.57,0.008,-,-,-1.45,-,-,-,-,,Avanco Res Ltd,,0.029,0.8,0.028,0.029,0.032,0.021,36.24,0.051,0.006
AVBO,1210,4.666,1.956,-,-,-,-,-,-,-,-,,  opt jun10,,0.003,0.2,0.002,0.003,0.003,0.003,198.10,0.15,0.001
AVBOB,17664.4,59.385,-,0.002,-,-,-,-,-,-,-,,  opt apr12,,0.013,0.3,0.013,0.015,0.017,0.012,28.15,0.017,0.004
AVA,8670.46,81.771,53.094,0.009,-,-,-2.78,-,-,-,-,,Aviva Corp,,0.08,-4.5,0.08,0.083,0.135,0.07,-37.85,0.30,0.07
AVO,6347.04,211.234,141.752,0.452,0.61,2.7,-6.97,-,-,-,-,,Avoca Res,,1.66,-3.5,1.635,1.66,1.72,1.625,-3.92,1.995,0.875
AVZ,593.4,9.943,3.854,0.005,-,-,-5.2,-,-,-,-,,Avonlea Min,,0.09,0.1,0.091,0.099,0.09,0.086,-0.73,0.12,0.026
