ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Wednesday, December 24, 2014,,,,,,,,,,,,,,,,,,,,
"XAO 5369.5 at 2014-12-24T15:10:06. Report at Wednesday, December 24, 2014. Processed Saturday at 2014-12-27T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
AHN,-,9.881,9.396,.003,-,-,-.27,-,-,-,-,,Athena Res,,.02,-,.015,.02,.02,.02,-1.07,.06,.02,,
AGB,115.448,1.892,-,.011,-,-,-,-,-,-,-,,Atlantic Gold Corp,,.25,+5,.25,.30,.25,.20,+23.93,.50,.07,,
AGBO,96.842,.448,-,.001,-,-,-,-,-,-,-,,  opt aug18,,.05,+1,.05,.066,.05,.038,+23.93,.15,.002,,
AGO,30761.4,3116.66,3497.46,.129,1.61,.09,1.91,7.3,2.00,.95,14.29,,Atlas Iron,,.14,-1,.14,.145,.16,.135,-7.74,1.207,.13,,
ATU,67.634,29.103,97.331,.175,-,-,-12.20,-,-,-,-,,Atrum Coal,,1.03,-3,.98,1.03,1.05,1.02,-3.90,2.04,.905,,
AYA,40.000,13.656,9.021,.022,-,-,-10.22,-,-,-,-,,Attila Res,,.27,-,.235,.26,.27,.25,-1.07,.59,.205,,
ACP,-,.242,.398,.049,-,-,-.23,-,-,-,-,,Audalia Res,,.21,-,-,.175,.21,.21,-1.07,.23,.09,,
AUK,-,14.531,38.906,.006,-,-,-.97,-,-,-,-,,Augur Res,,.02,-,.018,.02,.02,.02,-1.07,.075,.019,,
AEE,140.962,80.221,31.001,.008,-,-,-2.07,-,-,-,-,,Aura Energy,,.028,+.2,.028,.031,.028,.026,+6.62,.051,.019,,
AMI,367.485,77.228,49.306,.083,-,-,-3.54,-,-,-,-,,Aurelia Metals,,.24,-1,.24,.25,.25,.24,-5.07,.433,.199,,
AOU,-,2.429,5.938,.001,-,-,-1.50,-,-,-,-,,Auroch Min,,.04,-,.04,.05,.04,.04,-1.07,.145,.02,,
ARM,65.000,30.710,17.089,.003,-,-,-1.66,-,-,-,-,,Aurora Minerals,,.026,-.2,.026,.028,.028,.026,-8.21,.062,.021,,
AQJ,620.000,7.812,1.016,.003,-,-,-2.42,-,-,-,-,,AUS Asia Min,,.006,-,.001,.006,.007,.006,-1.07,.028,.004,,
ANW,-,82.556,53.524,.003,-,-,-.11,-,-,-,-,,Aus Tin Mining,,.003,-,.003,.004,.003,.003,-1.07,.009,.003,,
AUC,-,39.296,34.490,.007,-,-,-1.90,-,-,-,-,,Ausgold,,.03,-,.03,.04,.03,.03,-1.07,.081,.01,,
AUCO,-,11.887,-,-,-,-,-,-,-,-,-,,  opt may15,,.012,-,.001,.012,.012,.012,-1.07,.04,.012,,
AOA,1688.00,30.683,1.446,.001,-,-,-.35,-,-,-,-,,Ausmon Resources,,.008,-,.008,.009,.008,.008,-1.07,.013,.006,,
AQC,200.000,477.466,444.044,.002,-,-,-1.10,-,-,-,-,,Aust Pacific Coal,†,.007,-,.005,.007,.007,.007,-1.07,.045,.005,,
AQD,638.661,108.585,114.803,.002,-,-,-1.19,-,-,-,-,,AusQuest,,.008,+.1,.008,.009,.008,.007,+13.22,.025,.007,,
AQDO,-,11.162,13.742,-,-,-,-,-,-,-,-,,  opt nov16,,.008,-,.003,.008,.008,.008,-1.07,.014,.004,,
ABX,207.719,73.295,39.589,.042,-,-,-2.68,-,-,-,-,,Aust Bauxite,,.30,-,.295,.30,.31,.295,-1.07,.35,.17,,
AUZ,14.150,181.252,119.881,.004,-,-,-.15,-,-,-,-,,Aust Mines,,.005,-.1,.005,.006,.005,.005,-17.74,.02,.003,,
AOC,-,19.035,28.497,.007,-,-,.38,21.1,-,-,-,,Aust Oil Co,,.08,-,.08,.13,.08,.08,-1.07,.21,.08,,
ARW,11.515,3.499,774.370,.003,.46,.17,-13.00,-,-,-,-,,Aust Renewable,,.08,+.1,.08,.087,.08,.076,+.20,.77,.076,,
AYM,-,5.818,1.461,.006,-,-,-.41,-,-,-,-,,Aust United Mining,,.008,-,.001,.008,.008,.008,-1.07,.009,.003,,
AOK,2618.64,341.605,245.858,.064,.14,.82,.41,28.0,-,-,-,,AusTex Oil,,.115,-,.11,.12,.125,.11,-1.07,.29,.096,,
AKK,1658.92,2679.93,1855.23,.015,-,-,-1.00,-,-,-,-,,Austin Explore,†,.047,-.3,.046,.052,.055,.047,-7.07,.26,.045,,
APG,1840.75,133.765,168.866,.018,-,-,-.25,-,-,-,-,,Austpac Res,,.015,+.1,.014,.015,.015,.013,+6.07,.032,.013,,
AGD,5.000,1.885,1.577,.062,-,-,-7.24,-,-,-,-,,Austral Gold,,.13,+1,.13,.18,.13,.13,+7.26,.16,.065,,
AVI,7583.74,201.024,191.617,.004,-,-,-4.00,-,-,-,-,,Avalon Minerals,†,.025,+.2,.02,.025,.026,.024,+7.63,.26,.023,,
AVB,2266.62,652.767,690.336,.121,-,-,-.08,-,-,-,-,,Avanco Res,,.073,+.3,.072,.073,.074,.068,+3.22,.12,.063,,
AVZ,300.000,76.928,15.938,.003,-,-,-.29,-,-,-,-,,AVZ Minerals,,.006,+.1,.005,.006,.006,.005,+18.93,.011,.005,,
AWE,6868.73,623.679,500.177,.670,1.55,.82,11.96,10.7,-,-,-,f,AWE,,1.275,+9,1.24,1.275,1.29,1.20,+6.53,1.995,1.055,,
AVQ,13513.6,3029.63,2560.81,.050,-,-,-.82,-,-,-,-,,Axiom Min,,.015,-.1,.016,.016,.016,.014,-7.32,.032,.01,,
AZK,100.000,45.322,19.841,.003,-,-,-1.61,-,-,-,-,,Aziana,,.013,-.2,.013,.017,.015,.013,-14.40,.05,.01,,
APY,2225.18,172.982,667.068,.006,-,-,-.90,-,-,-,-,,Azonto Petroleum,,.005,-.1,.005,.006,.006,.005,-17.74,.032,.003,,
