ASX Mining & Oil Market - Weekly
"Trading data for the week ending Friday, October 30, 2015"
"XAO 5288.6 at 2015-10-30T16:38:35. Report at Friday, October 30, 2015. Processed Monday at 2/11/2015 5:03:50 PM."



ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change [see notes],Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
BLK,3113.57,116.111,24.156,.044,-,-,-3.04,-,-,-,-,,Blackham Res,-,.22,+1,.22,.225,.23,.21,+6.61,.265,.043,
BLZ,1558.31,18.445,1229.69,.002,-,-,-4.24,-,-,-,-,,Blaze Int'l,X,.05,-,.05,.052,.054,.05,+1.85,.25,.02,
BGH,600.100,9.785,3.263,.002,-,-,-2.13,-,-,-,-,,Bligh Res,-,.024,+.4,.023,.048,.024,.012,+21.85,.052,.012,
BDI,-,77.438,366.069,.002,-,-,-.05,-,-,-,-,,Blina Minerals,-,.001,-,-,.001,.001,.001,+1.85,.002,.001,
BUL,9064.62,147.519,134.851,.038,-,-,-.14,-,-,-,-,,Blue Energy,-,.033,+.5,.032,.033,.035,.026,+19.70,.047,.016,
BMG,2412.03,21.733,673.518,.001,-,-,-1.45,-,-,-,-,,BMG Res,X,.017,+.7,.017,.025,.019,.01,+71.85,.033,.004,
BOA,2014.78,14.865,10.596,.015,-,-,-.39,-,-,-,-,,Boadicea Res,-,.32,+10.5,.305,.32,.60,.215,+50.68,.60,.10,
BBR,229.884,8.793,11.641,.003,-,-,-7.57,-,-,-,-,,Bora Bora Res,-,.085,+.7,.085,.11,.085,.078,+10.82,.35,.075,
BOE,1766.79,164.210,302.766,.016,-,-,-.20,-,-,-,-,,Boss Resources,-,.02,+.1,.019,.02,.02,.02,+7.11,.023,.008,
BML,3129.83,271.126,940.689,.004,-,-,-.13,-,-,-,-,,Botswana Metals,-,.006,-.1,.005,.006,.007,.006,-12.44,.027,.005,
BMLOB,2216.49,111.842,493.500,-,-,-,-,-,-,-,-,,  opt dec16,-,.002,-,.001,.002,.002,.001,+1.85,.014,.001,
BOC,2.688,9.224,6.213,.114,.14,2.04,-24.02,-,-,-,-,,Bougainville Copper,-,.285,-1.5,.285,.30,.285,.285,-3.15,.43,.19,
BUY,880.797,89.738,113.596,.010,-,-,-1.17,-,-,-,-,,Bounty Oil & Gas,-,.01,+.1,.009,.01,.01,.009,+12.96,.017,.009,
BRN,24044.9,1322.60,38.758,.091,-,-,-5.59,-,-,-,-,,Brainchip Hldgs,-,.38,+4.5,.46,.37,.405,.34,+15.28,.625,.01,
BZL,-,5.221,2.976,.008,-,-,-.43,-,-,-,-,,BrazIron,-,.01,-,.01,.015,.01,.01,+1.85,.05,.01,
BRB,14.180,11.014,3.796,.006,-,-,-1.30,-,-,-,-,,Breaker Res,-,.067,-,.055,.067,.067,.067,+1.85,.072,.023,
BRBCA,-,.900,.328,-,-,-,-,-,-,-,-,,  ctg,-,.004,-,-,.03,.004,.004,+1.85,.015,.003,
BGC,11.526,1.854,-,.003,7.21,.01,-.26,-,-,-,-,,Bridge Global Mgt,-,.09,-.1,.09,.099,.09,.09,+.75,.22,.039,
