ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, January 21, 2011,,,,,,,,,,,,,,,,,,,,
"XAO 4860.9 at 2011-01-21T16:38:33. Report at Friday, January 21, 2011. Processed Saturday at 2011-01-22T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
AWE,14869.9,31.284,41.142,.921,1.60,1.1,-5.55,-,-,-,-,,AWE,,1.765,+3.5,1.76,1.78,1.795,1.715,+2.99,2.89,1.465,,
AXC,540.000,1.224,.770,.002,-,-,-1.40,-,-,-,-,,AXG Min,,.016,-,.016,.019,.018,.016,+.97,.035,.007,,
AVQ,3715.04,14.192,17.971,.028,-,-,-.43,-,-,-,-,,Axiom Min,,.03,+.2,.029,.03,.03,.029,+8.11,.045,.016,,
AZH,3812.47,11.865,11.211,.066,-,-,-1.65,-,-,-,-,,Azimuth Res Ltd,,.235,-1,.225,.235,.265,.23,-3.11,.275,.044,,
AZM,4180.55,10.518,9.185,.170,-,-,-6.00,-,-,-,-,,Azumah Res,,.625,-6.5,.625,.63,.71,.61,-8.45,.825,.18,,
AZS,24486.6,30.774,2.762,.034,-,-,-.90,-,-,-,-,,Azure Min,,.10,+1.5,.099,.10,.12,.082,+18.62,.12,.033,,
BAA,178.000,.406,-,.007,-,-,-,-,-,-,-,,Bailey Min,,.40,+2,.385,.40,.40,.37,+6.23,.45,.21,,
BND,7839.10,13.094,.851,.648,-,-,-3.76,-,-,-,-,,Bandanna Energy,,1.52,+3.5,1.505,1.52,1.625,1.49,+3.33,1.78,.49,,
BMN,12240.2,30.303,25.342,.190,-,-,-4.76,-,-,-,-,,Bannerman Res,,.81,+4,.805,.82,.905,.74,+6.17,.905,.24,,
BKP,128227,661.082,134.232,.034,-,-,-.03,-,-,-,-,,Baraka Pet,,.019,-.1,.018,.019,.021,.017,-4.03,.023,.003,,
BAR,2236.19,5.208,1.996,.017,-,-,-2.82,-,-,-,-,,Barra Res,,.054,-.1,.053,.054,.057,.051,-.85,.12,.043,,
BSE,3572.13,10.796,2.127,.061,-,-,-4.38,-,-,-,-,,Base Iron,,.41,-2.5,.40,.42,.44,.40,-4.78,.455,.075,,
BSM,2222.96,4.357,12.291,.069,-,-,-.30,-,-,-,-,,Bass Metals,,.37,-.5,.37,.375,.38,.365,-.36,.42,.155,,
BAS,3188.04,9.018,34.665,.009,-,-,-.22,-,-,-,-,,Bass Strait Oil Co,,.03,-.1,.03,.032,.032,.03,-2.25,.041,.022,,
BSR,2450.68,8.667,6.270,.026,-,-,-1.40,-,-,-,-,,Bassari Res,,.15,-2,.15,.155,.17,.15,-10.79,.369,.106,,
BTU,37925.2,84.020,-,.633,-,-,-7.67,-,-,-,-,,Bathurst Res,,1.04,+15.5,1.035,1.045,1.10,.875,+18.49,1.10,.057,,
BAU,10290.4,15.298,4.264,.057,-,-,-8.80,-,-,-,-,,Bauxite Resources,,.245,-.5,.245,.25,.285,.24,-1.03,.91,.13,,
BCI,2182.47,3.962,4.092,.304,-,-,-1.70,-,-,-,-,,BC Iron,,3.28,+13,3.26,3.28,3.29,3.15,+5.10,3.29,1.10,,
BCD,13364.6,182.180,3.335,.011,.09,.3,-.26,-,-,-,-,,BCD Res,,.025,-.1,.025,.026,.026,.023,-2.88,.18,.013,,
