ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, November 14, 2014,,,,,,,,,,,,,,,,,,,,
"XAO 5433.8 at 2014-11-14T16:38:06. Report at Friday, November 14, 2014. Processed Saturday at 2014-11-15T23:15:04+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
BCI,13658.2,313.811,133.522,.144,1.90,.39,59.48,1.3,32.00,1.86,42.67,f,BC Iron,,.75,-13.5,.745,.77,.955,.745,-13.66,5.50,.745,,
BCD,192.594,28.389,20.588,.005,.04,1.00,-3.08,-,-,-,-,,BCD Res,,.04,+.1,.039,.042,.04,.039,+4.16,.05,.027,,
BPT,25705.8,1412.47,1326.14,1.382,1.45,.73,7.95,13.4,3.00,2.65,2.82,f,Beach Energy,,1.065,-7,1.06,1.07,1.175,1.05,-4.57,1.817,1.05,,
BCN,400.000,197.267,264.661,.004,-,-,-.51,-,-,-,-,,Beacon Minerals,,.003,-,.003,.004,.003,.003,+1.60,.007,.003,,
BCNO,-,83.109,23.895,-,-,-,-,-,-,-,-,,  opt sep15,,.001,-,-,.001,.001,.001,+1.60,.002,.001,,
BDR,26352.0,1293.40,1206.82,.188,.27,.87,12.00,2.0,-,-,-,,Beadell Resources,,.235,-2,.235,.245,.29,.235,-6.24,.905,.205,,
BKY,1136.90,23.540,38.627,.052,-,-,-4.19,-,-,-,-,,Berkeley Res,,.29,+5.5,.275,.29,.295,.25,+25.00,.39,.22,,
BHP,39366.2,1540.84,1798.84,106.789,15.87,2.10,276.01,12.0,130.92,2.11,3.94,f,BHP Billiton,,33.25,-124,33.20,33.25,34.98,32.95,-2.00,39.79,31.905,,
BGS,3346.00,379.970,5838.91,.009,-,-,-.28,-,-,-,-,,Birimian Gold,,.01,+.1,.009,.01,.01,.009,+12.71,.02,.008,,
BMZ,7.000,7.197,8.756,.003,-,-,-4.05,-,-,-,-,,Black Mountain,,.025,-,.01,.025,.025,.025,+1.60,.10,.016,,
BMZO,-,1.038,6.826,-,-,-,-,-,-,-,-,,  opt may15,,.001,-,-,.004,.001,.001,+1.60,.03,.001,,
BLR,3861.70,499.735,1002.32,.014,-,-,-.35,-,-,-,-,,Black Range Min,,.005,-,.004,.005,.005,.004,+1.60,.015,.004,,
BRD,1899.99,129.921,148.085,-,-,-,-.04,-,-,-,-,,Black Ridge Min,,.001,-,.001,.002,.001,.001,+1.60,.003,.001,,
BSP,-,2.950,3.641,.002,-,-,-3.32,-,-,-,-,,Black Star Pet,,.005,-,.003,.004,.005,.005,+1.60,.102,.005,,
BSPO,-,-,.183,.002,-,-,-,-,-,-,-,,  opt dec17,,.05,-,-,.005,.05,.05,+1.60,.05,.05,,
BGG,35.791,10.852,15.007,.062,.23,.30,4.98,1.4,-,-,-,,Blackgold Int'l,,.07,-.5,.05,.07,.078,.065,-5.07,.177,.064,,
BGGO,-,.049,-,.002,-,-,-,-,-,-,-,,  opt jul16,,.017,-,.02,-,.017,.017,+1.60,.017,.017,,
BLK,3416.30,30.190,20.107,.012,-,-,-1.79,-,-,-,-,,Blackham Res,,.084,-1.5,.084,.086,.094,.077,-13.55,.285,.077,,
BTR,227.075,79.708,224.575,.036,-,-,-23.44,-,-,-,-,,Blackthorn Res,,.22,+1,.215,.22,.22,.20,+6.36,.295,.14,,
BLZ,980.000,1235.17,183.282,.004,-,-,-.02,-,-,-,-,,Blaze Int'l,,.001,-,-,.001,.001,.001,+1.60,.002,.001,,
BGH,100.000,3.363,2.928,.002,-,-,.23,10.9,-,-,-,,Bligh Res,,.025,-.5,.02,.03,.03,.025,-15.07,.045,.025,,
BDI,1050.66,389.664,437.341,.001,-,-,.02,5.0,-,-,-,,Blina Minerals,,.001,-,.001,.002,.001,.001,+1.60,.003,.001,,
BUL,1959.67,137.648,567.837,.044,-,-,-.47,-,-,-,-,,Blue Energy,,.039,-.5,.039,.04,.045,.038,-9.76,.082,.038,,
BMG,3582.00,692.810,174.637,.001,-,-,-.13,-,-,-,-,,BMG Res,,.002,-,.001,.002,.002,.001,+1.60,.013,.001,,
BOA,-,10.612,3.279,.007,-,-,-.52,-,-,-,-,,Boadicea Res,,.15,-,.13,.17,.15,.15,+1.60,.30,.10,,
BBR,364.923,12.234,3.994,.010,-,-,-1.95,-,-,-,-,,Bora Bora Res,,.30,+5,.27,.30,.30,.25,+21.60,.84,.23,,
BOE,3878.33,310.413,32.614,.008,-,-,-.44,-,-,-,-,,Boss Resources,,.015,+.2,.015,.016,.015,.013,+16.98,.041,.01,,
BML,592.980,948.351,25.151,.011,-,-,-.21,-,-,-,-,,Botswana Metals,,.02,-.1,.022,.021,.021,.02,-3.16,.041,.003,,
BMLOB,3682.00,502.460,2.000,.004,-,-,-,-,-,-,-,,  opt dec16,,.009,-.1,.011,.01,.01,.008,-8.40,.025,.001,,
