ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4972.9 at 16:33 9/4/2010  Report at 19:08 Friday 9/4/2010. Processed 19:28 Friday 9/4/2010.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
AUJ,627.405,9.525,1.727,0.016,-,-,-0.66,-,-,-,-,,Augustus Min,,0.41,6,0.41,0.43,0.41,0.35,16.19,0.41,0.10
AEE,10053.3,30.227,1.246,0.022,-,-,-3.57,-,-,-,-,,Aura Energy,,0.27,2,0.27,0.275,0.295,0.245,7.04,0.295,0.08
AGU,4962.66,39.259,0.669,0.008,-,-,-4.35,-,-,-,-,,Aurium Res,,0.026,-0.1,0.026,0.027,0.028,0.025,-4.66,0.075,0.014
AGUO,-,0.718,1.25,-,-,-,-,-,-,-,-,,  opt may10,,0.001,,-,0.001,0.001,0.001,-0.96,0.01,0.001
AGUOA,-,6.3,-,0.001,-,-,-,-,-,-,-,,  opt sep12,,0.01,,0.007,0.01,0.01,0.01,-0.96,0.025,0.008
ARM,934.025,29.481,1.294,0.089,-,-,-5.78,-,-,-,-,,Aurora Min Ltd,,1.04,9,1.03,1.04,1.045,0.96,8.52,1.26,0.071
AUT,1721.53,22.637,3.626,0.107,-,-,-1.8,-,-,-,-,,Aurora Oil & Gas,,0.495,3.5,0.49,0.495,0.50,0.465,6.65,0.50,0.10
AXO,8359.85,147.554,7.747,0.172,-,-,-7.57,-,-,-,-,,Aurox Res,,0.89,5,0.89,0.90,0.93,0.855,5.00,0.93,0.16
AUC,1024.04,13.284,-,0.01,-,-,-0.39,-,-,-,-,,Ausgold Ltd,,0.18,-0.5,0.18,0.185,0.185,0.17,-3.66,0.248,0.155
AUCO,2306.09,7.652,-,0.004,-,-,-,-,-,-,-,,  opt mar13,,0.07,2,0.06,0.068,0.07,0.05,39.04,0.07,0.036
AOA,4,1.239,0.177,0.008,-,-,0.86,25.6,-,-,-,,Ausmon Resources,,0.22,4,0.22,0.25,0.22,0.18,21.27,0.34,0.18
AOAO,-,-,-,-,-,-,-,-,-,-,-,,  opt jun14,,-,,0.004,-,-,-,-,-,-
AQD,4410.6,10.334,15.765,0.035,-,-,-2.98,-,-,-,-,,Ausquest Ltd,,0.155,3,0.155,0.165,0.17,0.125,23.04,0.195,0.105
AQR,2019.51,138.263,1.41,0.075,-,-,-0.74,-,-,-,-,,Aussie Q Res,,0.58,-2,0.58,0.585,0.66,0.54,-4.29,0.79,0.032
ABZ,216.65,9.477,-,0.011,-,-,-,-,-,-,-,,Aust Bauxite Ltd,,0.36,,0.355,0.36,0.375,0.35,-0.96,0.49,0.25
AGV,73.498,3.825,0.38,0.002,-,-,-2.62,-,-,-,-,,Aust Gold Invest,,0.028,,0.028,0.035,0.028,0.025,-0.96,0.10,0.018
AKA,243.104,9.04,-,0.009,-,-,-,-,-,-,-,,Aust Min Min,,0.20,1.5,0.19,0.20,0.20,0.19,7.15,0.235,0.175
AUZ,67754.4,1453.09,-,0.014,-,-,0.05,4.0,-,-,-,,Aust Mines Ltd,,0.002,0.1,0.001,0.002,0.002,0.001,99.04,0.02,0.001
AUZO,-,0.5,-,0.001,-,-,-,-,-,-,-,,  opt jun13,,0.001,,-,0.001,0.001,0.001,-0.96,0.001,0.001
AOC,57.5,1.567,0.713,0.005,-,-,-3.81,-,-,-,-,,Aust Oil Co,,0.105,1.1,0.10,0.105,0.105,0.094,10.75,0.135,0.05
AOCOA,200,1.524,-,-,-,-,-,-,-,-,-,,  opt dec11,,0.015,0.3,0.01,0.015,0.015,0.012,24.04,0.016,0.012
AOM,315,19.594,2.285,0.009,-,-,-0.07,-,-,-,-,,Aust Oriental,,0.004,-0.1,0.004,0.005,0.005,0.004,-20.96,0.009,0.003
ARW,3394.48,71.269,16.382,0.009,0.01,1.4,-1.56,-,-,-,-,,Aust Renewable,,0.014,-0.2,0.013,0.014,0.016,0.013,-13.46,0.033,0.006
AOK,6609.6,61.281,5.733,0.031,-,-,-4.22,-,-,-,-,,Austex Oil Ltd,,0.185,2.5,0.18,0.185,0.19,0.155,14.67,0.22,0.10
AKK,4995,228.408,2.809,0.015,-,-,-2.49,-,-,-,-,,Austin Explore,,0.051,-0.5,0.052,0.053,0.056,0.051,-9.88,0.096,0.025
AKKO,2504.93,52.213,-,0.002,-,-,-,-,-,-,-,,  opt nov11,,0.016,-0.2,0.016,0.019,0.018,0.016,-12.07,0.031,0.012
APG,3905.98,98.919,25.747,0.033,-,-,-0.29,-,-,-,-,,Austpac Res NL,,0.042,0.3,0.041,0.043,0.044,0.04,6.74,0.07,0.029
AAF,3650,226.578,37.825,0.006,-,-,-0.14,-,-,-,-,,Austral Africa Res,,0.002,,0.002,0.003,0.003,0.002,-0.96,0.007,0.001
AGD,-,0.938,0.144,0.02,-,-,6.17,1.9,-,-,-,,Austral Gold,,0.12,,0.098,0.14,0.12,0.12,-0.96,0.18,0.065
AZX,217,0.855,0.337,0.01,-,-,-3.35,-,-,-,-,,Auzex Res,,0.205,3.5,0.195,0.205,0.205,0.175,19.63,0.26,0.11
AZXO,-,0.02,-,-,-,-,-,-,-,-,-,,  opt sep10,,0.009,,-,0.011,0.009,0.009,-0.96,0.07,0.006
AVI,454.593,10.525,1.835,0.028,-,-,-0.68,-,-,-,-,,Avalon Min,,0.215,1.5,0.215,0.22,0.22,0.21,6.54,0.297,0.072
AVB,5277.49,204.942,0.788,0.007,-,-,1.23,2.0,-,-,-,,Avanco Res Ltd,,0.024,-0.1,0.024,0.025,0.024,0.023,-4.96,0.044,0.006
AVBO,2016.66,10.792,-,-,-,-,-,-,-,-,-,,  opt jun10,,0.003,0.1,0.001,0.003,0.004,0.002,49.04,0.15,0.001
AVBOB,3809.06,72.89,-,0.003,-,-,-,-,-,-,-,,  opt apr12,,0.016,0.2,0.016,0.018,0.016,0.013,13.33,0.027,0.004
AVA,28.1,8.241,15.18,0.009,-,-,-10.74,-,-,-,-,,Aviva Corp,,0.076,-0.4,0.07,0.076,0.082,0.076,-5.96,0.215,0.056
AVO,7403.92,96.554,69.522,0.63,0.79,2.8,12.49,17.5,-,-,-,,Avoca Res,,2.19,10,2.14,2.20,2.22,2.13,3.83,2.26,1.415
AVZ,465.3,3.305,2.153,0.006,-,-,-4.1,-,-,-,-,,Avonlea Min,,0.11,1,0.11,0.115,0.11,0.091,9.04,0.17,0.04
AWE,12125.9,182.365,130.135,1.472,1.74,1.6,1.43,197.2,-,-,-,,AWE Ltd,,2.82,10,2.81,2.82,2.89,2.74,2.72,3.17,2.17
