ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, August 3, 2012,,,,,,,,,,,,,,,,,,,,
"XAO 4243.0 at 2012-08-03T16:48:37. Report at Friday, August 3, 2012. Processed Saturday at 2012-08-04T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
BMB,906.085,828.495,4042.02,.021,-,-,-.62,-,-,-,-,,Balamara Res,†,.11,-.5,.105,.11,.115,.096,-4.55,.24,.01,,
BND,4030.04,294.517,154.360,.198,-,-,.16,234.4,-,-,-,,Bandanna Energy,,.375,+9,.375,.38,.38,.28,+31.38,1.491,.28,,
BMN,2146.29,87.269,230.609,.030,-,-,-5.28,-,-,-,-,,Bannerman Res,,.099,-1.1,.095,.099,.115,.095,-10.20,.42,.095,,
BNX,-,.437,-,.002,-,-,-,-,-,-,-,,Bannon,,.18,-,-,-,.18,.18,-.20,.215,.18,,
BKP,16107.7,552.848,3190.61,.029,-,-,-.05,-,-,-,-,,Baraka Energy,,.014,-,.014,.015,.015,.014,-.20,.021,.008,,
BAR,50.000,29.972,45.756,.006,-,-,-.23,-,-,-,-,,Barra Res,,.016,+.1,.015,.019,.016,.015,+6.46,.039,.013,,
BAC,92.499,4.092,-,.002,-,-,-1.23,-,-,-,-,,Baru Resources,,.065,+.5,-,-,.065,.06,+8.13,.20,.05,,
BACO,-,.650,-,-,-,-,-,-,-,-,-,,  opt dec16,,.02,-,-,-,.02,.02,-.20,.05,.012,,
BSE,9409.38,127.603,180.339,.154,-,-,.32,104.7,-,-,-,,Base Res,,.335,+6.5,.33,.35,.335,.27,+23.87,.59,.265,,
BSM,1432.28,207.674,64.380,.003,-,-,-26.78,-,-,-,-,,Bass Metals,,.009,-.1,.008,.009,.011,.009,-10.20,.203,.006,,
BSMO,-,55.834,-,-,-,-,-,-,-,-,-,,  opt sep14,,.001,-,-,-,.001,.001,-.20,.04,.001,,
BAS,945.784,124.368,119.758,.007,-,-,-1.60,-,-,-,-,,Bass Strait Oil Co,,.019,+.3,.016,.019,.019,.016,+18.55,.036,.014,,
BSR,4880.38,185.287,92.746,.020,-,-,-4.35,-,-,-,-,,Bassari Res,,.035,-.5,.036,.037,.039,.035,-12.70,.086,.035,,
BSROA,-,12.333,-,-,-,-,-,-,-,-,-,,  opt nov12,,.003,-,-,-,.003,.003,-.20,.032,.003,,
BTU,40160.9,703.400,691.106,.192,-,-,-.69,-,-,-,-,,Bathurst Res,,.275,-1.5,.27,.28,.31,.27,-5.38,1.13,.26,,
BAU,984.182,27.966,126.339,.025,-,-,-.20,-,-,-,-,,Bauxite Resources,,.105,-,.10,.105,.105,.095,-.20,.185,.095,,
BBX,-,1.056,8.743,.011,-,-,-1.21,-,-,-,-,,BBX Minerals,†,.14,-,-,-,.14,.14,-.20,.24,.055,,
BBXO,-,.041,-,-,-,-,-,-,-,-,-,,  opt jun14,,.011,-,-,-,.011,.011,-.20,.03,.011,,
BCI,246.058,17.787,48.229,.255,-,-,5.36,45.9,-,-,-,,BC Iron,,2.46,-12,2.46,2.50,2.64,2.44,-4.85,3.11,2.00,,
BCD,68045.0,360.253,703.008,.011,.01,1.0,-2.00,-,-,-,-,,BCD Res,,.01,-,-,-,.01,.009,-.20,.016,.006,,
BPT,64826.0,1836.63,726.816,1.387,1.19,.9,4.25,26.0,1.75,2.43,1.58,f,Beach Energy,,1.105,+1,1.10,1.11,1.15,1.065,+.71,1.763,.815,,
BHU,2.985,3.875,-,.118,-,-,-,-,-,-,-,,Beacon Hill Res,,.225,+.5,.195,.30,.225,.225,+2.07,.32,.20,,
BCN,8147.97,381.321,628.233,.007,-,-,-.12,-,-,-,-,,Beacon Minerals,,.007,-,.006,.007,.007,.006,-.20,.015,.004,,
BDR,12913.9,529.222,396.018,.446,-,-,-5.40,-,-,-,-,,Beadell Resources,,.62,-2.5,.62,.625,.665,.62,-4.08,.885,.52,,
