Derivatives: Put Options - daily trades ,,,,,,,,,,,,
XAO 4974.1 at 16:36 6/4/2010  Report at 19:06 Tuesday 6/4/2010. Processed 20:13 Tuesday 6/4/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
PUT OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $15.02,,,,,,,,,,,,
Apr,10,3.25,0.03,0.04,50,212,31.30,-0.19,13.19,,,
Apr,10,3.50,0.12,0.12,63,290,28.80,-0.53,35.16,,,
Dec,10,3.00,0.17,0.17,10,-,34.70,-0.23,6.84,,,
James Hardie Ind Last Sale Price $7.39,,,,,,,,,,,,
Apr,10,7.25,0.11,0.11,20,216,23.40,-0.34,21.61,,,
Apr,10,7.50,0.23,0.20,8,45,24.90,-0.57,25.72,,,
May,10,6.75,0.08,0.10,30,35,29.20,-0.17,7.60,,,
Dec,10,7.00,0.55,0.55,1,-,34.00,-0.33,10.37,,,
Leighton Hldgs Last Sale Price $38.90,,,,,,,,,,,,
Apr,10,38.00,0.35,0.36,5,79,19.40,-0.28,13.88,,,
Dec,10,34.50,1.50,1.53,2,-,27.90,-0.22,5.39,,,
Lihir Gold Ltd Last Sale Price $3.80,,,,,,,,,,,,
Apr,10,3.00,0.01,0.01,355,4214,55.60,-0.04,3.20,,,
Apr,10,3.25,0.01,0.01,78,2449,46.10,-0.08,6.00,,,
Apr,10,3.50,0.04,0.04,126,804,39.10,-0.18,16.01,,,
Apr,10,3.75,0.10,0.10,560,750,33.40,-0.41,40.02,,,
Apr,10,4.00,0.25,0.25,262,1072,34.50,-0.70,20.01,,,
Apr,10,4.25,0.46,0.39,10,-,35.20,-0.90,4.00,,,
May,10,2.75,0.01,0.01,5,764,46.10,-0.02,1.11,,,
May,10,3.00,0.01,0.01,30,1263,42.90,-0.05,2.77,,,
May,10,3.25,0.03,0.03,367,1196,37.80,-0.11,5.54,,,
May,10,3.50,0.07,0.07,24,635,35.00,-0.23,12.93,,,
May,10,3.75,0.15,0.14,408,225,32.30,-0.41,27.71,,,
May,10,4.00,0.29,0.28,10,89,32.50,-0.63,17.55,,,
Jun,10,2.75,0.01,0.01,33,1269,37.70,-0.02,0.72,,,
Jun,10,3.00,0.01,0.02,86,2078,34.90,-0.05,1.80,,,
Jun,10,3.25,0.05,0.04,71,618,35.40,-0.14,6.00,,,
Jun,10,3.50,0.09,0.08,204,185,30.70,-0.23,10.21,,,
Jun,10,3.75,0.19,0.17,72,736,31.60,-0.41,22.21,,,
Jun,10,4.00,0.32,0.29,14,55,31.20,-0.59,14.41,,,
Jun,10,4.25,0.50,0.48,13,10,30.80,-0.76,6.00,,,
Jul,10,3.25,0.07,0.07,5,205,34.40,-0.16,5.85,,,
Sep,10,3.00,0.06,0.05,10,91,34.90,-0.11,3.09,,,
Sep,10,3.25,0.09,0.09,40,155,31.10,-0.17,4.77,,,
Sep,10,4.00,0.39,0.86,38,16,30.40,-0.53,10.67,,,
