Stocks that moved by more than 5% for the day,,,,
,,,,
"XAO 4734.1 at 2011-03-21T16:38:31. Report at Monday, March 21, 2011. Processed Friday at 2011-03-25.",,,,
,,,,
,,,,
,,,,
Security Description,ASX Code,Last Sale,Move (c),Move (%)
Chemgenex Pharmaceut,CXS,0.44,-2.5,-5.38
Blue Capital Ltd,BIV,0.018,-0.1,-5.26
Cogstate Ltd,CGS,0.18,-1,-5.26
ENV Clean Tech,ESI,0.018,-0.1,-5.26
Multiplex European unt,MUE,0.185,-1,-5.13
Macq Radio,MRN,1.13,-6,-5.04
Laserbond Ltd,LBL,0.076,-0.4,-5
Spotless Grp Ltd,SPT,1.9,-10,-5
FALLS - MINING,,,,
Artemis Res opt jun11,ARVOB,0.007,-0.3,-30
Triton Gold Ltd,TON,0.09,-3,-25
Sinovus Min Ltd,SNV,0.013,-0.4,-23.53
Norwest Energy NL opt jun12,NWEO,0.014,-0.4,-22.22
Gulf Ind Ltd opt mar13,GLFOB,0.023,-0.6,-20.69
Atomic Res opt aug11,ATQO,0.2,-5,-20
Oroya Min Ltd,ORO,0.004,-0.1,-20
Nkwe Platinum opt aug11,NKPO,0.08,-1.8,-18.37
Golden Deeps,GED,0.12,-2.5,-17.24
Norwest Energy NL,NWE,0.042,-0.8,-16
Argent Min opt jun11,ARDO,0.016,-0.3,-15.79
United Orogen,UOG,0.023,-0.4,-14.81
Condor Blanco Mines,CDB,0.15,-2.5,-14.29
Uran Ltd opt jul12,URAOA,0.006,-0.1,-14.29
RMG Ltd,RMG,0.013,-0.2,-13.33
Xstate Res,XST,0.1,-1.5,-13.04
Baraka Pet,BKP,0.021,-0.3,-12.5
Pacrim Energy,PRE,0.007,-0.1,-12.5
Scotgold Res opt apr12,SGZO,0.022,-0.3,-12
Hawthorn Res,HAW,0.008,-0.1,-11.11
Albidon Ltd cdi,ALB,0.125,-1.5,-10.71
Outback Metals,OUM,0.025,-0.3,-10.71
Proto Resource & opt dec11,PRWOB,0.017,-0.2,-10.53
Accent Res NL,ACS,0.23,-2.5,-9.8
Yellow Rock,YRR,0.028,-0.3,-9.68
Golden Cross,GCR,0.019,-0.2,-9.52
Mutiny Gold Ltd opt jul13,MYGOA,0.089,-0.9,-9.18
Metminco Ltd opt dec12,MNCO,0.2,-2,-9.09
Northern Min Ltd opt sep12,NTUOA,0.3,-3,-9.09
Rawson Res,RAW,0.09,-0.9,-9.09
STH American Cor,SAY,0.1,-1,-9.09
West Manganese,WMN,0.2,-2,-9.09
PAN Asia Corp Ltd,PZC,0.205,-2,-8.89
Ivanhoe Aust opt sep11,IVAO,0.265,-2.5,-8.62
Coal Of Africa,CZA,1.14,-10.5,-8.43
Haoma Min NL,HAO,0.11,-1,-8.33
Coziron Res,CZR,0.034,-0.3,-8.11
Helix Res opt may11,HLXOA,0.046,-0.4,-8
Range Res Ltd opt dec11,RRSO,0.23,-2,-8
Thundelarra Explor opt mar13,THXOA,0.23,-2,-8
Matsa Res,MAT,0.29,-2.5,-7.94
Phoenix Copper,PNX,0.29,-2.5,-7.94
North Aust Ltd,NAD,0.35,-3,-7.89
Moby Oil & Gas,MOG,0.047,-0.4,-7.84
Gas2grid Ltd,GGX,0.06,-0.5,-7.69
Golden State Res,GDN,0.012,-0.1,-7.69
Nimrodel Res,NMR,0.062,-0.5,-7.46
Frontier Res,FNT,0.25,-2,-7.41
Namibian Copper,NCO,0.13,-1,-7.14
Rimfire Pacific,RIM,0.039,-0.3,-7.14
Waratah Gold Ltd,WGO,1.3,-10,-7.14
Argentina Min Ltd,AVK,0.27,-2,-6.9
Austin Explore,AKK,0.027,-0.2,-6.9
Reward Min Ltd,RWD,0.815,-6,-6.86
Buccaneer Energy opt nov12,BCCO,0.056,-0.4,-6.67
D'aguilar Gold,DGR,0.14,-1,-6.67
Golden Gate Pet,GGP,0.014,-0.1,-6.67
Kingsrose Min Ltd,KRM,1.455,-10,-6.43
Gulf Ind Ltd,GLF,0.059,-0.4,-6.35
Jaguar Min,JAG,0.031,-0.2,-6.06
Spitfire Res,SPI,0.094,-0.6,-6
Metals Aust,MLS,0.032,-0.2,-5.88
Mount Burgess Min,MTB,0.016,-0.1,-5.88
Malagasy Min,MGY,0.049,-0.3,-5.77
Cazaly Res,CAZ,0.33,-2,-5.71
Forge Res Ltd opt jul14,FRGO,0.85,-5,-5.56
Eromanga Hydrocarbon,ERH,0.07,-0.4,-5.41
Malachite Res,MAR,0.07,-0.4,-5.41
Sovereign Metals,SVM,0.53,-3,-5.36
Bailey Min,BAA,0.72,-4,-5.26
Brumby Res,BMY,0.18,-1,-5.26
Highlands Pacific,HIG,0.36,-2,-5.26
Venture Min,VMS,0.465,-2.5,-5.1
Central Pet opt mar14,CTPO,0.019,-0.1,-5
FYI Res Ltd,FYI,0.095,-0.5,-5
Modena Res Ltd,MDA,0.019,-0.1,-5
