Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 5024.1 at 16:35 15/4/2010  Report at 19:05 Thursday 15/4/2010. Processed 19:12 Thursday 15/4/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
Manas Res Ltd,MSR,0.085,-0.5,-5.56,,,,,,,,
Red 5 Ltd,RED,0.175,-1,-5.41,,,,,,,,
Ampella Min,AMX,1.315,-7.5,-5.40,,,,,,,,
Acclaim Explore,AEX,0.018,-0.1,-5.26,,,,,,,,
Samson Oil & Gas opt dec12,SSNO,0.018,-0.1,-5.26,,,,,,,,
West Wits Min Ltd,WWI,0.072,-0.4,-5.26,,,,,,,,
Reed Res Ltd,RDR,0.725,-4,-5.23,,,,,,,,
Uranium Explore,UXA,0.055,-0.3,-5.17,,,,,,,,
Eromanga Hydro,ERH,0.092,-0.5,-5.15,,,,,,,,
Ausgold Ltd,AUC,0.185,-1,-5.13,,,,,,,,
Doray Min Ltd,DRM,0.65,-3.5,-5.11,,,,,,,,
Cazaly Res,CAZ,0.56,-3,-5.08,,,,,,,,
Aragon Res opt sep10,AAGO,0.038,-0.2,-5.00,,,,,,,,
Kasbah Res,KAS,0.076,-0.4,-5.00,,,,,,,,
Kuth Energy Ltd,KEN,0.095,-0.5,-5.00,,,,,,,,
Northern Uranium opt mar12,NTUOB,0.038,-0.2,-5.00,,,,,,,,
Voyager Res,VOR,0.019,-0.1,-5.00,,,,,,,,
WCP Res Ltd,WCP,0.076,-0.4,-5.00,,,,,,,,
