Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4913.3 at 16:37 27/4/2010  Report at 19:06 Tuesday 27/4/2010. Processed 19:52 Tuesday 27/4/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
Atlantic Ltd opt dec11,ATIO,0.05,-0.3,-5.66,,,,,,,,
Berklee Ltd,BER,0.42,-2.5,-5.62,,,,,,,,
Cell Aquaculture,CAQ,0.17,-1,-5.56,,,,,,,,
Wasabi Energy Ltd,WAS,0.017,-0.1,-5.56,,,,,,,,
Scott Corp,SCC,0.35,-2,-5.41,,,,,,,,
Webfirm Grp Ltd,WFM,0.07,-0.4,-5.41,,,,,,,,
Vita Grp Ltd,VTG,0.265,-1.5,-5.36,,,,,,,,
Penrice Soda,PSH,0.715,-4,-5.30,,,,,,,,
Bigair Grp Ltd,BGL,0.185,-1,-5.13,,,,,,,,
Antisense Therapeutic,ANP,0.019,-0.1,-5.00,,,,,,,,
Clover Corp,CLV,0.285,-1.5,-5.00,,,,,,,,
LBT Innovations,LBT,0.095,-0.5,-5.00,,,,,,,,
Neptune Marine,NMS,0.38,-2,-5.00,,,,,,,,
Pac Enviromin,PEV,0.019,-0.1,-5.00,,,,,,,,
MINING FALLS,,,,,,,,,,,,
Global Nickel Invest opt jun12,GNIOA,0.005,-0.3,-37.50,,,,,,,,
Proto Resource & opt dec11,PRWOB,0.005,-0.3,-37.50,,,,,,,,
Victory West Moly opt feb12,VWMOA,0.05,-2.5,-33.33,,,,,,,,
RAM Res opt mar12,RMRO,0.013,-0.6,-31.58,,,,,,,,
Lincoln Min opt jun10,LMLO,0.031,-1.2,-27.91,,,,,,,,
Gondwana Res opt jun11,GDAO,0.006,-0.2,-25.00,,,,,,,,
Altura Min Ltd opt may10,AJMO,0.007,-0.2,-22.22,,,,,,,,
Eastern Iron,EFE,0.14,-3.5,-20.00,,,,,,,,
Tawana Res NL,TAW,0.021,-0.5,-19.23,,,,,,,,
Sthn Uranium,SNU,0.19,-4.5,-19.15,,,,,,,,
Crusader Res,CAS,0.27,-5.5,-16.92,,,,,,,,
Auzex Res,AZX,0.15,-3,-16.67,,,,,,,,
Thor Min Plc cdi,THR,0.015,-0.3,-16.67,,,,,,,,
Wild Acre Metals,WAC,0.21,-4,-16.00,,,,,,,,
Augustus Min opt jul10,AUJO,0.17,-3,-15.00,,,,,,,,
Azumah Res,AZM,0.37,-6.5,-14.94,,,,,,,,
Barra Res,BAR,0.09,-1.5,-14.29,,,,,,,,
Black Fire Min opt jun10,BFEO,0.03,-0.5,-14.29,,,,,,,,
Imperial Corp Ltd,IMP,0.006,-0.1,-14.29,,,,,,,,
De Grey Min,DEG,0.031,-0.5,-13.89,,,,,,,,
Central Asia Res,CVR,0.039,-0.6,-13.33,,,,,,,,
Rocklands Rich,RCI,0.27,-4,-12.90,,,,,,,,
Intec Ltd,INL,0.007,-0.1,-12.50,,,,,,,,
Jupiter Energy opt jun10,JPROA,0.007,-0.1,-12.50,,,,,,,,
TNG Ltd,TNG,0.056,-0.8,-12.50,,,,,,,,
Advance Energy,AVD,0.037,-0.5,-11.90,,,,,,,,
Atlantic Gold NL,ATV,0.046,-0.6,-11.54,,,,,,,,
Hawthorn Res,HAW,0.008,-0.1,-11.11,,,,,,,,
Manas Res Ltd,MSR,0.08,-1,-11.11,,,,,,,,
Equatorial Coal,EQX,0.049,-0.6,-10.91,,,,,,,,
Dourado Res Ltd,DUO,0.205,-2.5,-10.87,,,,,,,,
YTC Res,YTC,0.29,-3.5,-10.77,,,,,,,,
Jaguar Min,JAG,0.025,-0.3,-10.71,,,,,,,,
Sihayo Gold Ltd,SIH,0.075,-0.9,-10.71,,,,,,,,
Kimberley Metals,KBL,0.21,-2.5,-10.64,,,,,,,,
Goldsearch Ltd,GSE,0.034,-0.4,-10.53,,,,,,,,
Norwest Energy NL,NWE,0.034,-0.4,-10.53,,,,,,,,
Reward Min Ltd,RWD,0.405,-4.5,-10.00,,,,,,,,
Nexus Energy Ltd,NXS,0.295,-3,-9.23,,,,,,,,
Admiralty Res,ADY,0.01,-0.1,-9.09,,,,,,,,
Cortona Res opt jan12,CRCO,0.15,-1.5,-9.09,,,,,,,,
Excalibur Min,EXM,0.01,-0.1,-9.09,,,,,,,,
Millennium Min,MOY,0.03,-0.3,-9.09,,,,,,,,
Modena Res Ltd,MDA,0.05,-0.5,-9.09,,,,,,,,
Oil Basins Ltd opt jun12,OBLOA,0.04,-0.4,-9.09,,,,,,,,
Platina Res,PGM,0.30,-3,-9.09,,,,,,,,
Yellow Rock opt sep12,YRROA,0.01,-0.1,-9.09,,,,,,,,
White Canyon Uranium,WCU,0.155,-1.5,-8.82,,,,,,,,
RAM Res,RMR,0.042,-0.4,-8.70,,,,,,,,
Victory West Moly,VWM,0.21,-2,-8.70,,,,,,,,
Carpentaria Exp,CAP,0.475,-4.5,-8.65,,,,,,,,
Metallica Min,MLM,0.265,-2.5,-8.62,,,,,,,,
Bowen Energy Ltd,BWN,0.075,-0.7,-8.54,,,,,,,,
Astro Res NL,ARO,0.011,-0.1,-8.33,,,,,,,,
Black Ridge Min,BRD,0.011,-0.1,-8.33,,,,,,,,
Eastern Iron opt dec10,EFEO,0.055,-0.5,-8.33,,,,,,,,
Greenearth Energy,GER,0.11,-1,-8.33,,,,,,,,
NGM Res Ltd,NGM,0.11,-1,-8.33,,,,,,,,
Oil Basins Ltd,OBL,0.056,-0.5,-8.20,,,,,,,,
