Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4572.1 at 16:35 16/6/2010  Report at 19:05 Wednesday 16/6/2010. Processed 19:11 Wednesday 16/6/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
Sterihealth Ltd,STP,1.37,-8,-5.52,,,,,,,,
Senetas Corp,SEN,0.035,-0.2,-5.41,,,,,,,,
Downer EDI Ltd,DOW,4.23,-23,-5.16,,,,,,,,
GEO Prop Grp stp,GPM,0.185,-1,-5.13,,,,,,,,
Astra Capital Ltd,AKR,0.76,-4,-5.00,,,,,,,,
Phoslock Water,PHK,0.095,-0.5,-5.00,,,,,,,,
Strathfield Grp,SRA,0.019,-0.1,-5.00,,,,,,,,
MINING FALLS,,,,,,,,,,,,
Lincoln Min opt jun10,LMLO,0.001,-0.3,-75.00,,,,,,,,
Magnetic Res ctg,MAUCA,0.10,-10,-50.00,,,,,,,,
Helix Res opt may11,HLXOA,0.013,-0.7,-35.00,,,,,,,,
Aust Oriental,AOM,0.002,-0.1,-33.33,,,,,,,,
Black Range Min opt feb11,BLRO,0.007,-0.3,-30.00,,,,,,,,
Baraka Pet,BKP,0.003,-0.1,-25.00,,,,,,,,
Manas Res Ltd opt sep11,MSRO,0.015,-0.5,-25.00,,,,,,,,
Renison Cons,RSN,0.003,-0.1,-25.00,,,,,,,,
Lion Energy Ltd,LIO,0.028,-0.9,-24.32,,,,,,,,
Advance Energy,AVD,0.01,-0.3,-23.08,,,,,,,,
Aurium Res opt sep12,AGUOA,0.007,-0.2,-22.22,,,,,,,,
Argosy Min cdi,AGY,0.018,-0.5,-21.74,,,,,,,,
Augustus Min opt jul10,AUJO,0.03,-0.8,-21.05,,,,,,,,
Eldore Min opt dec12,EDMOA,0.004,-0.1,-20.00,,,,,,,,
Aurium Res,AGU,0.018,-0.4,-18.18,,,,,,,,
Mineral Commodities,MRC,0.032,-0.7,-17.95,,,,,,,,
Condor Nickel,CNK,0.14,-3,-17.65,,,,,,,,
Global Nickel Invest ctg,GNICA,0.01,-0.2,-16.67,,,,,,,,
Torrens Energy,TEY,0.10,-2,-16.67,,,,,,,,
Rum Jungle Uranium,RUM,0.042,-0.8,-16.00,,,,,,,,
Shield Min,SHX,0.19,-3.5,-15.56,,,,,,,,
Activex Ltd,AIV,0.068,-1.2,-15.00,,,,,,,,
Golden Tiger Min,GTX,0.03,-0.5,-14.29,,,,,,,,
White Cliff Nickel,WCN,0.064,-1,-13.51,,,,,,,,
Resolute Min 12% cn12,RSGG,0.96,-14,-12.73,,,,,,,,
Spitfire Res,SPI,0.096,-1.4,-12.73,,,,,,,,
Kilgore Oil & Gas,KOG,0.007,-0.1,-12.50,,,,,,,,
Sihayo Gold Ltd opt jan11,SIHO,0.022,-0.3,-12.00,,,,,,,,
Dourado Res Ltd opt nov14,DUOO,0.03,-0.4,-11.76,,,,,,,,
Green Rock Energy,GRK,0.015,-0.2,-11.76,,,,,,,,
Maximus Res,MXR,0.015,-0.2,-11.76,,,,,,,,
East Coast Min,ECM,0.023,-0.3,-11.54,,,,,,,,
Exoma Energy Ltd opt mar11,EXEO,0.046,-0.6,-11.54,,,,,,,,
Dart Min NL,DTM,0.12,-1.5,-11.11,,,,,,,,
Iron Ore Hldgs opt apr11,IOHO,0.80,-10,-11.11,,,,,,,,
Somerton Energy,SNE,0.008,-0.1,-11.11,,,,,,,,
Eleckra Mines opt jun11,EKMO,0.049,-0.6,-10.91,,,,,,,,
Terrain Min,TMX,0.025,-0.3,-10.71,,,,,,,,
A'asian Resour,ARH,0.26,-3,-10.34,,,,,,,,
Blina Diamonds NL,BDI,0.009,-0.1,-10.00,,,,,,,,
Carbine Res opt jul11,CRBO,0.18,-2,-10.00,,,,,,,,
Eagle Nickel Ltd,ENL,0.045,-0.5,-10.00,,,,,,,,
Groote Res Ltd opt jun10,GOTO,0.405,-4.5,-10.00,,,,,,,,
Quest Pet,QPN,0.009,-0.1,-10.00,,,,,,,,
Groote Res Ltd,GOT,0.615,-6.5,-9.56,,,,,,,,
Eagle Eye Metals,EYE,0.095,-1,-9.52,,,,,,,,
Goldminex Res,GMX,0.19,-2,-9.52,,,,,,,,
Crossland Uranium,CUX,0.10,-1,-9.09,,,,,,,,
Global Nickel Invest opt jun12,GNIOA,0.01,-0.1,-9.09,,,,,,,,
Palace Res,PXR,0.01,-0.1,-9.09,,,,,,,,
Augustus Min,AUJ,0.26,-2.5,-8.77,,,,,,,,
Strzelecki Metals,STZ,0.032,-0.3,-8.57,,,,,,,,
Aust Renewable,ARW,0.011,-0.1,-8.33,,,,,,,,
Buru Energy opt oct10,BRUO,0.011,-0.1,-8.33,,,,,,,,
Impact Min,IPT,0.11,-1,-8.33,,,,,,,,
Orion Pet Ltd,OIP,0.055,-0.5,-8.33,,,,,,,,
Aurora Min Ltd,ARM,0.39,-3.5,-8.24,,,,,,,,
YTC Res,YTC,0.225,-2,-8.16,,,,,,,,
Abra Min Ltd,AII,0.12,-1,-7.69,,,,,,,,
Kentor Gold Ltd,KGL,0.06,-0.5,-7.69,,,,,,,,
Bass Strait Oil Co,BAS,0.025,-0.2,-7.41,,,,,,,,
Empire Res,ERL,0.05,-0.4,-7.41,,,,,,,,
Siburan Res Ltd,SBU,0.19,-1.5,-7.32,,,,,,,,
Magma Metals Ltd,MMW,0.51,-4,-7.27,,,,,,,,
Mithril Res,MTH,0.13,-1,-7.14,,,,,,,,
Barra Res,BAR,0.055,-0.4,-6.78,,,,,,,,
Geopacific Res,GPR,0.70,-5,-6.67,,,,,,,,
Gunson Res,GUN,0.07,-0.5,-6.67,,,,,,,,
Marmota Energy,MEU,0.07,-0.5,-6.67,,,,,,,,
Nuenergy Capital,NGY,0.14,-1,-6.67,,,,,,,,
Solimar Energy,SGY,0.056,-0.4,-6.67,,,,,,,,
Ampella Min opt jul10,AMXO,1.50,-10,-6.25,,,,,,,,
Mintails Ltd,MLI,0.015,-0.1,-6.25,,,,,,,,
Redbank Copper,RCP,0.03,-0.2,-6.25,,,,,,,,
Aust Oil Co,AOC,0.08,-0.5,-5.88,,,,,,,,
Midwinter Resourc,MWN,0.16,-1,-5.88,,,,,,,,
Rox Res,RXL,0.016,-0.1,-5.88,,,,,,,,
Equatorial Coal,EQX,0.405,-2.5,-5.81,,,,,,,,
Hunnu Coal Ltd,HUN,0.98,-6,-5.77,,,,,,,,
CGA Min Ltd,CGX,2.33,-14,-5.67,,,,,,,,
Regis Res opt jan14,RRLO,0.50,-3,-5.66,,,,,,,,
Beacon Min,BCN,0.017,-0.1,-5.56,,,,,,,,
Gulf Res,GLF,0.017,-0.1,-5.56,,,,,,,,
Minotaur Explore,MEP,0.17,-1,-5.56,,,,,,,,
Platina Res,PGM,0.265,-1.5,-5.36,,,,,,,,
Catalpa Res opt jun10,CAHO,0.355,-2,-5.33,,,,,,,,
GBM Rsources Ltd,GBZ,0.071,-0.4,-5.33,,,,,,,,
Peninsula Min opt jun12,PENOA,0.018,-0.1,-5.26,,,,,,,,
Samson Oil & Gas opt dec12,SSNO,0.018,-0.1,-5.26,,,,,,,,
White Canyon Uranium,WCU,0.09,-0.5,-5.26,,,,,,,,
Epsilon Energy,EPS,0.055,-0.3,-5.17,,,,,,,,
Argo Explore,AXT,0.038,-0.2,-5.00,,,,,,,,
Contl Coal Ltd,CCC,0.038,-0.2,-5.00,,,,,,,,
Contl Coal  opt feb13,CCCO,0.019,-0.1,-5.00,,,,,,,,
Fairstar Res,FAS,0.095,-0.5,-5.00,,,,,,,,
Pan Pacific Pet,PPP,0.19,-1,-5.00,,,,,,,,
