Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4325.8 at 16:34 21/5/2010  Report at 19:05 Friday 21/5/2010. Processed 19:13 Friday 21/5/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
Mesa Min Ltd,MAS,0.09,-0.5,-5.26,,,,,,,,
Spotless Grp Ltd,SPT,2.35,-13,-5.24,,,,,,,,
iShares MSCI SKorea,IKO,51.90,-285,-5.21,,,,,,,,
Adacel Tech,ADA,0.365,-2,-5.19,,,,,,,,
Advanced Engine,ACE,0.037,-0.2,-5.13,,,,,,,,
Hunter Hall Intl,HHL,5.55,-30,-5.13,,,,,,,,
Bionomics Ltd,BNO,0.28,-1.5,-5.08,,,,,,,,
Wentworth Hldgs,WWM,0.075,-0.4,-5.06,,,,,,,,
Allied Brands Ltd,ABQ,0.076,-0.4,-5.00,,,,,,,,
Ascent Pharmahealth,APH,0.285,-1.5,-5.00,,,,,,,,
Hyro Ltd,HYO,0.019,-0.1,-5.00,,,,,,,,
Miclyn Exp Offshr,MIO,1.52,-8,-5.00,,,,,,,,
MINING FALLS,,,,,,,,,,,,
Sino Gas Energy opt dec11,SEHOA,0.001,-0.4,-80.00,,,,,,,,
Kilgore Oil & Gas opt jun12,KOGO,0.002,-0.4,-66.67,,,,,,,,
Austral Africa Res,AAF,0.001,-0.1,-50.00,,,,,,,,
Black Ridge Min opt nov10,BRDOA,0.001,-0.1,-50.00,,,,,,,,
Burleson Energy opt aug10,BURO,0.011,-0.8,-42.11,,,,,,,,
Augustus Min opt jul10,AUJO,0.03,-2,-40.00,,,,,,,,
Consolidated Tin Min,CSD,0.03,-2,-40.00,,,,,,,,
Syrah Res,SYR,0.09,-5.5,-37.93,,,,,,,,
Superior Res,SPQ,0.041,-2.2,-34.92,,,,,,,,
Astro Res NL opt nov12,AROOB,0.002,-0.1,-33.33,,,,,,,,
Central West Gold,CWG,0.03,-1.5,-33.33,,,,,,,,
Norton Gold Fields opt oct10,NGFO,0.034,-1.7,-33.33,,,,,,,,
Red Sky Energy opt sep11,ROGOA,0.004,-0.2,-33.33,,,,,,,,
Resource Min Corp opt mar12,RMIO,0.002,-0.1,-33.33,,,,,,,,
Magnetic Res ctg,MAUCA,0.13,-6,-31.58,,,,,,,,
Marion Energy opt dec11,MAEO,0.005,-0.2,-28.57,,,,,,,,
Target Energy opt oct12,TEXOB,0.005,-0.2,-28.57,,,,,,,,
Curnamona Energy,CUY,0.18,-7,-28.00,,,,,,,,
Paradigm Metals,PDM,0.026,-1,-27.78,,,,,,,,
Midas Res opt nov12,MDSOC,0.045,-1.5,-25.00,,,,,,,,
Mineral Commodities,MRC,0.03,-1,-25.00,,,,,,,,
Shree Min Ltd,SHH,0.105,-3.5,-25.00,,,,,,,,
Sierra Min,SRM,0.105,-3.5,-25.00,,,,,,,,
Westralian Gas & Pwr opt oct11,WGPOA,0.003,-0.1,-25.00,,,,,,,,
Carbine Res opt jul11,CRBO,0.11,-3.5,-24.14,,,,,,,,
Regis Res opt jan14,RRLO,0.44,-14,-24.14,,,,,,,,
Royal Res opt oct11,ROYO,0.11,-3.5,-24.14,,,,,,,,
Ausgold Ltd opt mar13,AUCO,0.035,-1,-22.22,,,,,,,,
Goldsearch Ltd,GSE,0.021,-0.6,-22.22,,,,,,,,
Kingsrose Min Ltd opt dec12,KRMO,0.51,-14,-21.54,,,,,,,,
Eleckra Mines opt jun11,EKMO,0.055,-1.5,-21.43,,,,,,,,
Newera Uranium,NRU,0.022,-0.6,-21.43,,,,,,,,
Rox Res,RXL,0.011,-0.3,-21.43,,,,,,,,
Austin Explore opt nov11,AKKO,0.008,-0.2,-20.00,,,,,,,,
Ferrowest Ltd,FWL,0.10,-2.5,-20.00,,,,,,,,
Magna Min NL,MAN,0.004,-0.1,-20.00,,,,,,,,
Octanex NL opt dec10,OXXO,0.08,-2,-20.00,,,,,,,,
Orion Pet Ltd,OIP,0.06,-1.5,-20.00,,,,,,,,
Resource Min Corp,RMI,0.004,-0.1,-20.00,,,,,,,,
U308 Ltd,UTO,0.10,-2.5,-20.00,,,,,,,,
Peninsula Min opt jun12,PENOA,0.013,-0.3,-18.75,,,,,,,,
ERO Min Ltd,ERO,0.022,-0.5,-18.52,,,,,,,,
Tasman Res Ltd,TAS,0.11,-2.5,-18.52,,,,,,,,
Greenland Min En opt jun11,GGGO,0.18,-4,-18.18,,,,,,,,
Mithril Res opt sep11,MTHO,0.05,-1.1,-18.03,,,,,,,,
Orion Gold NL,ORN,0.023,-0.5,-17.86,,,,,,,,
Redbank Copper,RCP,0.038,-0.8,-17.39,,,,,,,,
Sino Gas Energy,SEH,0.029,-0.6,-17.14,,,,,,,,
Vital Metals Ltd,VML,0.083,-1.7,-17.00,,,,,,,,
Gondwana Res opt jun11,GDAO,0.005,-0.1,-16.67,,,,,,,,
Green Rock Energy,GRK,0.02,-0.4,-16.67,,,,,,,,
India Res,IRL,0.02,-0.4,-16.67,,,,,,,,
Lonrho Min Ltd opt nov10,LOMOA,0.005,-0.1,-16.67,,,,,,,,
Montezuma Min Co opt aug11,MZMO,0.10,-2,-16.67,,,,,,,,
NGM Res Ltd,NGM,0.10,-2,-16.67,,,,,,,,
Padbury Min Ltd opt may11,PDYOB,0.005,-0.1,-16.67,,,,,,,,
Strzelecki Metals,STZ,0.03,-0.6,-16.67,,,,,,,,
Syngas Ltd,SYS,0.015,-0.3,-16.67,,,,,,,,
Uran Ltd,URA,0.015,-0.3,-16.67,,,,,,,,
Yellow Rock opt sep12,YRROA,0.005,-0.1,-16.67,,,,,,,,
Rialto Energy,RIA,0.285,-5.5,-16.18,,,,,,,,
Panax Geothermal opt dec11,PAXO,0.021,-0.4,-16.00,,,,,,,,
RMA Energy Ltd,RMT,0.042,-0.8,-16.00,,,,,,,,
Ausamerican Min,AIW,0.049,-0.9,-15.52,,,,,,,,
Sphere Min Ltd,SPH,1.65,-30,-15.38,,,,,,,,
Western Desert Res,WDR,0.33,-6,-15.38,,,,,,,,
Riviera Res,RVE,0.14,-2.5,-15.15,,,,,,,,
West Wits Min Ltd,WWI,0.064,-1.1,-14.67,,,,,,,,
Aust Min Min,AKA,0.15,-2.5,-14.29,,,,,,,,
Chrysalis Res,CYS,0.12,-2,-14.29,,,,,,,,
Eldore Min opt dec12,EDMOA,0.006,-0.1,-14.29,,,,,,,,
Hawthorn Res,HAW,0.006,-0.1,-14.29,,,,,,,,
L&M Energy Ltd,LME,0.12,-2,-14.29,,,,,,,,
Lonrho Min Ltd,LOM,0.012,-0.2,-14.29,,,,,,,,
Prairie Downs Metals,PDZ,0.12,-2,-14.29,,,,,,,,
Silver Swan Grp,SWN,0.24,-4,-14.29,,,,,,,,
Voyager Res opt sep11,VORO,0.006,-0.1,-14.29,,,,,,,,
Genesis Res,GES,0.125,-2,-13.79,,,,,,,,
Lefroy Res Ltd,LEF,0.05,-0.8,-13.79,,,,,,,,
Sabre Res,SBR,0.375,-6,-13.79,,,,,,,,
Syndicated Metals,SMD,0.125,-2,-13.79,,,,,,,,
Ashburton Min,ATN,0.019,-0.3,-13.64,,,,,,,,
