Warrant Market - Weekly,,,,,,,,,,,,
XAO 4925.9 at 16:34 1/4/2010  Report at 17:15 Thursday 1/4/2010. Processed 18:17 Thursday 1/4/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Weekly Volume,,,,
Equity Call Warrants ,,,,,,,,,,,,
Asciano Grp Last Sale Price $1.86,,,,,,,,,,,,
NCMIOA,16.00,23/06/10,1:1,18.09,18.11,19.05,-,-,,,,
NCMJMG,19.00,30/06/10,1:1,15.29,15.48,16.66,-,-,,,,
NCMSSR,19.81,30/06/10,1:1,13,13.01,13.70,-,-,,,,
NCMJMH,28.00,30/06/10,1:1,7.3,7.46,6.80,-,-,,,,
NCMMMH,28.65,30/06/10,1:1,6.13,-,-,-,-,,,,
NCMIOV,25.00,23/09/10,1:1,10.6,10.62,9.44,-,-,,,,
NCMIOK,28.00,23/09/10,1:1,8.32,8.34,8.05,34,232,,,,
NCMIMF,16.00,17/11/10,1:1,18.76,18.89,22.04,-,-,,,,
NCMIMG,27.50,17/11/10,1:1,9.88,9.98,10.33,-,-,,,,
NCMIOG,22.00,24/03/11,1:1,14.11,14.13,13.51,-,-,,,,
NCMIZZ,17.70,03/06/11,1:1,19.5,19.55,18.19,-,-,,,,
NCMSMV,13.04,30/06/11,1:1,20.99,-,19.75,-,-,,,,
NCMIOO,20.00,15/12/11,1:1,17.81,17.83,-,-,-,,,,
NCMIOI,30.00,15/12/11,1:1,11.9,11.92,11.71,-21,30,,,,
NCMSOB,16.04,27/06/13,1:1,20.85,20.87,23.42,-,-,,,,
NCMSMA,22.30,28/06/13,1:1,12.85,-,12.77,-,-,,,,
NCMSSB,23.16,30/06/15,1:1,17.6,-,20.32,-,-,,,,
NCMSZX,16.21,04/02/19,1:1,15.5,17.59,17.63,-,-,,,,
News Corp Last Sale Price $18.63,,,,,,,,,,,,
NWSIMC,6.00,19/05/10,1:1,12.63,12.76,12.00,-,-,,,,
NWSIMD,15.00,19/05/10,1:1,3.75,3.9,-,-,-,,,,
NWSIZQ,7.00,14/06/10,1:1,11.69,11.74,9.74,-,-,,,,
NWSJMG,14.88,30/06/10,1:1,4.13,-,5.20,-,-,,,,
NWSJMH,15.00,30/06/10,1:1,4.17,4.3,3.55,-,-,,,,
NWSMMI,15.54,30/06/10,1:1,2.92,-,0.615,-,-,,,,
