Warrant Market - Weekly,,,,,,,,,,,,
XAO 4475.1 at 16:36 23/7/2010  Report at 19:06 Friday 23/7/2010. Processed 19:17 Saturday 24/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Weekly Volume,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $5.35,,,,,,,,,,,,
CBAVZV,48.00,25/08/10,5:1,0.295,0.32,-,-,-,,,,
CBAUMU,45.00,23/09/10,4:1,0.27,0.285,1.23,-,-,,,,
CBAWOV,48.00,23/09/10,5:1,0.35,0.355,0.34,-7,215,,,,
CBAUMV,50.00,23/09/10,4:1,0.735,0.765,0.98,-,-,,,,
CBAWOW,51.50,23/09/10,5:1,0.695,0.7,0.735,-,-,,,,
CBAUMW,52.00,23/09/10,4:1,1.01,1.045,1.675,-,-,,,,
CBAWOX,54.00,23/09/10,5:1,1.015,1.02,1.48,-,-,,,,
CBAWMV,55.00,23/09/10,4:1,1.52,1.56,2.75,-,-,,,,
CBAVMP,57.00,23/09/10,4:1,1.91,1.955,-,-,-,,,,
CBAVMQ,48.00,27/01/11,4:1,0.97,0.995,-,-,-,,,,
CBAVMR,52.00,27/01/11,4:1,1.46,1.49,-,-,-,,,,
CBAVMS,56.00,27/01/11,4:1,2.06,2.1,-,-,-,,,,
CBAVMT,60.00,27/01/11,4:1,2.77,2.81,-,-,-,,,,
Computershare Ltd Last Sale Price $10.38,,,,,,,,,,,,
CPUUMP,11.50,23/09/10,1:1,1.405,1.475,-,-,-,,,,
CSL Ltd Last Sale Price $32.40,,,,,,,,,,,,
CSLUMP,34.00,23/09/10,4:1,0.665,0.69,0.665,-,600,,,,
Fortescue Metals Grp Last Sale Price $4.21,,,,,,,,,,,,
FMGUMP,4.50,23/09/10,1:1,0.575,0.595,0.615,-,-,,,,
Incitec Pivot Last Sale Price $3.19,,,,,,,,,,,,
IPLUMP,3.00,23/09/10,1:1,0.13,0.135,-,-,-,,,,
Macq Grp Ltd Last Sale Price $39.43,,,,,,,,,,,,
MQGVZY,44.00,28/07/10,5:1,0.905,0.955,0.91,-,-,,,,
