FR INV WARRANTS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Report at Friday, February 11, 2011. Processed Saturday at 2011-02-12T23:15:10+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Equity Call Warrants,
Asciano Grp Last Sale Price $1.71,
Toll Hldgs Last Sale Price $6.15,
TOLWMB,,6.00,24/03/11,1:1,.305,.35,,,,,
TOLTMA,,4.50,23/06/11,1:1,1.67,,1.875,,,,
TOLTMC,,4.50,23/06/11,1:1,1.665,1.74,,,,,
,
Westpac Banking Last Sale Price $24.06,
WBCVZL,,23.00,24/02/11,4:1,.27,.295,.325,,,,
WBCWOL,,20.00,24/03/11,4:1,1.065,1.07,.685,,,,
WBCWMD,,22.00,24/03/11,4:1,.595,.635,.445,,,,
WBCVZM,,24.00,24/03/11,4:1,.175,.20,.515,,,,
WBCWMC,,24.00,24/03/11,4:1,.22,.245,,,,,
WBCWOM,,24.00,24/03/11,4:1,.275,.28,.145,,,,
WBCWME,,26.00,24/03/11,4:1,.064,.076,,,,,
WBCWON,,28.00,24/03/11,4:1,.026,.031,,,,,
WBCWOA,,22.00,26/05/11,4:1,.60,.605,,,,,
WBCWOB,,24.00,26/05/11,4:1,.31,.315,.335,,800,,
WBCWOC,,26.00,26/05/11,4:1,.135,.14,,,,,
WBCTMC,,17.50,23/06/11,1:1,6.39,,4.85,,,,
,
Westfield Grp Last Sale Price $9.77,
WDCWMC,,10.50,24/03/11,1:1,.10,.12,,,,,
WDCTMC,,6.28,23/06/11,.78:1,4.69,4.77,,,,,
,
Wesfarmers Last Sale Price $33.68,
WESWMD,,29.00,24/03/11,4:1,1.05,,,,,,
WESWMC,,33.00,24/03/11,4:1,.285,.325,.22,,,,
WESWOA,,33.00,24/03/11,4:1,.37,.375,.40,-3,545,,
WESWOC,,36.00,24/03/11,4:1,.10,.105,.10,,,,
