Warrant Market - Weekly
"Report at Friday, October 30, 2015. Processed Monday at 2/11/2015 5:03:51 PM."



ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Weekly Volume,
Dick Smith Hldgs Last Sale Price $0.69,
DSHKOF,0.73,30/10/15,1:1,.11,-,.11,-62.5,612,
DSHKOB,0.13,31/12/29,1:1,.555,.565,-,-,-,
DSHKOC,0.50,31/12/29,1:1,.185,.195,.195,-66,5926,

DUET Grp Last Sale Price $2.36,
DUEKOC,1.64,31/12/29,1:1,.705,.715,-,-,-,
DUEKOA,1.78,31/12/29,1:1,.56,.57,.44,-,-,
DUEKOB,1.91,31/12/29,1:1,.43,.44,.63,-,-,

Echo Entertainment Last Sale Price $5.11,
EGPKOH,3.60,31/12/29,1:1,1.51,1.52,1.21,-,-,
EGPKOE,4.14,31/12/29,1:1,.965,.975,.90,-,-,
EGPKOG,4.36,31/12/29,1:1,.745,.755,1.085,-,-,

Estia Health Last Sale Price $7.44,
EHEKOA,4.94,31/12/29,1:1,2.49,2.50,2.03,-,-,
EHEKOB,5.73,31/12/29,1:1,1.71,1.72,-,-,-,

Fletcher Bldg Last Sale Price $7.06,
FBUKOC,4.97,31/12/29,1:1,2.09,2.10,-,-,-,
FBUKOA,5.53,31/12/29,1:1,1.525,1.535,1.11,-,-,
FBUKOB,6.08,31/12/29,1:1,.98,.99,-,-,-,

Federation Cntres Last Sale Price $2.91,
FDCKOB,2.00,31/12/29,1:1,.90,.91,.93,+11,23,
FDCKOA,2.37,31/12/29,1:1,.53,.54,.475,-,-,

Flight Centre Travel Last Sale Price $37.95,
FLTKOD,29.30,31/12/29,1:1,8.66,8.67,-,-,-,
FLTKOE,31.44,31/12/29,1:1,6.52,6.53,8.80,-,-,
FLTKOB,33.64,31/12/29,1:1,4.32,4.33,12.65,-,-,

Fortescue Metals Grp Last Sale Price $2.09,
FMGKOF,2.06,30/10/15,1:1,.24,-,.24,-29,900,
FMGKOH,0.44,31/12/29,1:1,.185,.21,-,-,-,
FMGKOD,0.64,31/12/29,1:1,1.44,1.45,.60,-,-,
FMGKOK,0.82,31/12/29,1:1,1.265,1.275,.90,-,-,
FMGKOO,0.98,31/12/29,1:1,1.105,1.115,.92,-,-,
FMGKOM,1.12,31/12/29,1:1,.965,.975,.74,-,-,
FMGKOI,1.27,31/12/29,1:1,.815,.825,.95,-14.5,400,
FMGQOA,1.40,31/12/29,1:1,.685,.695,.905,-,-,
FMGKOL,1.53,31/12/29,1:1,.55,.56,.60,-,11,
FMGKOC,1.75,31/12/29,1:1,.335,.345,.49,-25.5,370,

Currency Warrant AUD/EUR,
FXEKOG,0.59,31/12/29,100:1,8.37,8.48,10.90,-,-,
FXEKOA,0.60,31/12/29,100:1,6.87,6.98,8.28,+224,7,
FXEKOB,0.61,31/12/29,100:1,5.30,5.41,5.31,-189,10,
FXEKOF,0.62,31/12/29,100:1,4.14,4.25,4.74,-,20,

Fairfax Media Last Sale Price $0.94,
FXJKOA,0.30,31/12/29,1:1,.64,.65,-,-,-,
FXJKOF,0.47,31/12/29,1:1,.465,.475,.525,-,-,
FXJKOD,0.62,31/12/29,1:1,.315,.325,.32,-,-,
FXJKOG,0.71,31/12/29,1:1,.23,.24,.14,-,-,

FlexiGroup Last Sale Price $3.06,
FXLKOF,1.32,31/12/29,1:1,1.73,1.74,1.005,-,-,
FXLKOA,1.79,31/12/29,1:1,1.27,1.28,1.225,+29,479,

Currency Warrant AUD/GBP,
FXPKOA,0.42,31/12/29,100:1,9.10,9.20,-,-,-,
FXPKOE,0.44,31/12/29,100:1,6.06,6.16,-,-,-,
FXPKOC,0.44,31/12/29,100:1,5.03,5.13,-,-,-,
FXPKOB,0.46,31/12/29,100:1,-,-,4.24,-,-,

Currency Warrant AUS/USD,
FXUKOB,0.69,30/10/15,100:1,2.85,-,3.33,-167,3,
FXUQOA,0.61,31/12/29,100:1,16.30,-,5.18,-,-,
FXUKOM,0.62,31/12/29,100:1,15.48,-,-,-,-,
FXUKOK,0.63,31/12/29,100:1,13.92,-,-,-,-,
FXUKOC,0.63,31/12/29,100:1,10.60,10.64,13.52,-,-,
FXUKOH,0.64,31/12/29,100:1,9.55,9.59,9.90,+552,31,
FXUKOJ,0.65,31/12/29,100:1,12.66,-,-,-,-,
FXUKOL,0.65,31/12/29,100:1,7.86,7.90,-,-,-,
FXUKOA,0.66,31/12/29,100:1,17.48,17.52,14.41,-,-,
FXUKOI,0.67,31/12/29,100:1,6.06,6.10,6.96,-,-,
FXUKOF,0.67,31/12/29,100:1,5.29,5.33,11.40,-,-,
FXUKOE,0.68,31/12/29,100:1,4.28,4.32,4.30,-340,10,

Currency Warrant AUD/JPY,
FXYKOA,79.26,31/12/29,100:1,7.84,7.96,6.56,-,-,
FXYKOM,81.16,31/12/29,100:1,5.63,5.75,-,-,-,
FXYKOC,83.11,31/12/29,100:1,3.36,3.48,3.16,-184,27,

Currency Warrant AUD/NZD,
FXZKOB,1.01,31/12/29,100:1,4.10,4.20,-,-,-,
FXZKOE,1.02,31/12/29,100:1,3.09,3.19,2.70,-,-,
FXZKOC,1.03,31/12/29,100:1,2.11,2.21,2.51,-111,40,

G8 Education Last Sale Price $3.00,
GEMKOF,2.13,31/12/29,1:1,.865,.875,-,-,-,
GEMKOC,2.36,31/12/29,1:1,.63,.64,.615,-1.5,60,

Genworth Mortg Ins Last Sale Price $2.70,
GMAKOB,1.72,31/12/29,1:1,.975,.985,-,-,-,
GMAKOA,2.19,31/12/29,1:1,.50,.51,-,-,-,

Goodman Grp Last Sale Price $6.07,
GMGKOF,4.97,31/12/29,1:1,1.09,1.10,.935,-,-,
GMGKON,5.24,31/12/29,1:1,.83,.84,.64,-,-,

GrainCorp Last Sale Price $9.05,
GNCKOA,5.51,31/12/29,1:1,3.54,3.55,1.70,-,-,
GNCKOF,6.26,31/12/29,1:1,2.79,2.80,-,-,-,
GNCKOC,6.87,31/12/29,1:1,2.18,2.19,2.01,-,-,
GNCKOE,7.58,31/12/29,1:1,1.47,1.48,-,-,-,

GPT Grp Last Sale Price $4.77,
GPTKOD,3.54,31/12/29,1:1,1.22,1.23,.605,-,-,
GPTKOB,3.77,31/12/29,1:1,.995,1.005,.86,-,-,
GPTKOC,3.99,31/12/29,1:1,.775,.785,1.26,-,-,

GWA Grp Last Sale Price $2.48,
GWAKOB,1.51,31/12/29,1:1,.96,.97,-,-,-,
GWAKOA,2.02,31/12/29,1:1,.455,.465,-,-,-,

Henderson Grp Last Sale Price $6.18,
HGGKOA,4.22,31/12/29,1:1,1.95,1.96,1.41,-,-,
HGGKOD,4.65,31/12/29,1:1,1.52,1.53,1.395,+13,100,

Healthscope Last Sale Price $2.70,
HSOKOD,1.51,31/12/29,1:1,1.18,1.19,-,-,-,
HSOKOC,1.86,31/12/29,1:1,.84,.85,-,-,-,
HSOKOB,2.13,31/12/29,1:1,.565,.575,.52,-,-,

Harvey Norman Last Sale Price $3.98,
HVNKOB,2.94,31/12/29,1:1,1.04,1.05,1.135,+25.5,740,
HVNKOA,3.18,31/12/29,1:1,.795,.805,.84,+17,80,
HVNKOC,3.36,31/12/29,1:1,1.39,1.40,1.345,+3.5,500,

Insurance Aust Grp Last Sale Price $5.61,
IAGKOF,4.06,31/12/29,1:1,1.545,1.555,-,-,-,
IAGKOB,4.31,31/12/29,1:1,1.295,1.305,1.30,+4.5,50,
IAGKOA,4.69,31/12/29,1:1,.915,.925,.955,-25,21,

Independence Grp Last Sale Price $2.77,
IGOKOE,2.44,02/11/15,1:1,.475,-,.605,-2,320,
IGOKOD,1.54,31/12/29,1:1,1.225,1.235,1.255,-26,100,
IGOKOC,1.97,31/12/29,1:1,.79,.80,.83,-33,360,

Iluka Res Last Sale Price $6.42,
ILUKOB,3.67,31/12/29,1:1,-,-,1.025,-,-,
ILUKOH,4.16,31/12/29,1:1,2.25,2.26,2.43,-,-,
ILUKOC,4.72,31/12/29,1:1,1.69,1.70,-,-,-,
ILUKOK,5.22,31/12/29,1:1,1.195,1.205,1.595,+9.5,10,

Incitec Pivot Last Sale Price $3.95,
IPLKOG,2.22,31/12/29,1:1,1.72,1.73,1.64,-,-,
IPLKOH,2.83,31/12/29,1:1,1.12,1.13,-,-,-,
IPLKOA,3.00,31/12/29,1:1,.95,.96,.69,-,-,
IPLKOB,3.23,31/12/29,1:1,.72,.73,1.04,-,-,
IPLKOF,3.40,31/12/29,1:1,.55,.56,.47,-,-,

InvoCare Last Sale Price $11.11,
IVCKOC,7.11,31/12/29,1:1,4.00,4.01,-,-,-,
IVCKOF,8.15,31/12/29,1:1,2.96,2.97,3.28,+5,30,
IVCKOA,8.83,31/12/29,1:1,2.28,2.29,2.23,-18,50,

JB Hi-Fi Last Sale Price $17.96,
JBHKOD,5.14,31/12/29,1:1,12.82,12.83,11.23,-,-,
JBHKOB,14.23,31/12/29,1:1,3.73,3.74,3.43,-,-,
JBHKOF,15.36,31/12/29,1:1,2.60,2.61,3.18,+30,153,
JBHKOA,16.06,31/12/29,1:1,1.895,1.905,2.20,-,-,

James Hardie Ind Last Sale Price $18.30,
JHXKOF,9.79,31/12/29,1:1,8.51,8.52,7.69,-,-,
JHXKOC,14.84,31/12/29,1:1,3.46,3.47,2.71,-,-,
JHXQOA,16.25,31/12/29,1:1,2.05,-,2.94,+37,5,

Karoon Gas Aust Last Sale Price $1.77,
KARKOD,0.80,31/12/29,1:1,.965,.975,-,-,-,
KARKOC,1.03,31/12/29,1:1,.735,.745,.75,-,-,
KARKOH,1.25,31/12/29,1:1,.515,.525,.58,+12.5,100,
KARKOB,1.50,31/12/29,1:1,.265,.275,-,-,-,

Lend Lease Grp Last Sale Price $13.00,
LLCQOC,10.40,31/12/29,1:1,2.60,2.61,2.69,+18,130,
LLCQOA,11.05,31/12/29,1:1,1.95,1.96,1.795,-27.5,140,
LLCQOB,11.24,31/12/29,1:1,1.755,1.765,2.60,-,-,
LLCKOC,11.46,31/12/29,1:1,1.545,1.555,2.17,-,-,

Liquefied Natural Last Sale Price $1.50,
LNGKOF,0.71,31/12/29,1:1,.775,.785,.95,-1.5,100,
LNGKOA,0.90,31/12/29,1:1,.585,.595,.69,-,-,

Magellan Fin Grp Last Sale Price $22.53,
MFGKOD,11.15,31/12/29,1:1,11.38,11.39,-,-,-,
MFGKOA,14.20,31/12/29,1:1,8.33,8.34,6.93,-,-,
MFGKOC,17.02,31/12/29,1:1,5.52,5.53,5.77,-,-,

Mirvac Grp Last Sale Price $1.80,
MGRKOD,1.07,31/12/29,1:1,.73,.74,-,-,-,
MGRKOB,1.34,31/12/29,1:1,.46,.47,-,-,-,
MGRKOC,1.51,31/12/29,1:1,.295,.305,.345,-,-,

Mount Gibson Iron Last Sale Price $0.22,
MGXKON,0.06,31/12/29,1:1,.145,-,.155,-,-,
MGXKOK,0.09,31/12/29,1:1,.12,-,-,-,-,
MGXKOJ,0.11,31/12/29,1:1,.095,-,.17,-,-,

Mineral Resources Last Sale Price $4.28,
MINKOA,2.68,31/12/29,1:1,1.605,1.615,-,-,-,
MINKOC,3.21,31/12/29,1:1,1.075,1.085,1.51,-,-,
MINQOE,3.70,31/12/29,1:1,.545,.56,.745,-,80,

Medusa Min Last Sale Price $0.56,
MMLKOC,0.23,31/12/29,1:1,.325,-,.145,-,-,
MMLKOA,0.40,31/12/29,1:1,.155,-,.13,-,-,

McMillan Shakespr Last Sale Price $12.57,
MMSKOB,3.26,31/12/29,1:1,9.30,9.31,6.29,-,-,
MMSKOA,3.97,31/12/29,1:1,8.60,8.61,6.75,-,-,
MMSKOC,4.56,31/12/29,1:1,8.01,8.02,8.04,-,-,
MMSKOE,5.82,31/12/29,1:1,6.75,6.76,7.19,-,-,

Monadelphous Grp Last Sale Price $6.92,
MNDKOF,3.56,31/12/29,1:1,3.36,3.37,2.85,-,-,
MNDKOB,6.16,31/12/29,1:1,.755,.765,.89,-,20,

Medibank Private Last Sale Price $2.36,
MPLKOE,1.78,31/12/29,1:1,.755,.765,.78,-13,200,
MPLKOD,1.92,31/12/29,1:1,.44,.45,.49,-4,200,
MPLKOC,2.06,31/12/29,1:1,.20,.215,.56,-,-,

Macquarie Grp Last Sale Price $85.70,
MQGXOD,72.00,17/12/15,2:1,7.43,7.44,1.71,-,-,
MQGLOF,78.82,31/12/15,1:1,8.42,8.43,6.25,+12,79,
MQGLOC,82.82,31/12/15,1:1,4.42,4.43,3.13,-,-,
MQGLOJ,83.84,31/12/15,1:1,7.03,7.04,6.57,-86,198,
MQGLOB,84.84,31/12/15,1:1,5.42,5.43,-,-,-,
MQGKOI,46.26,31/12/29,1:1,39.47,39.48,37.45,+612,5,
MQGKOA,63.27,31/12/29,1:1,22.46,22.47,23.19,+293,18,
MQGQOF,66.63,31/12/29,1:1,19.11,19.12,19.17,+313,8,
MQGQOG,68.04,31/12/29,1:1,21.35,21.36,-,-,-,
MQGQOC,68.95,31/12/29,1:1,20.36,20.37,-,-,-,
MQGQOH,70.39,31/12/29,1:1,15.34,15.35,14.74,+371,75,
MQGMOB,71.30,31/12/29,1:1,14.43,14.44,12.76,-,-,
MQGKOH,72.00,31/12/29,1:1,13.73,13.74,13.17,-,2,
MQGLOG,73.88,31/12/29,1:1,13.26,13.27,13.75,+260,26,
MQGMOA,74.38,31/12/29,1:1,11.35,11.36,10.27,+222,40,
MQGKOM,75.31,31/12/29,1:1,12.60,12.61,7.95,-,-,
MQGKOJ,76.21,31/12/29,1:1,17.72,17.73,18.74,-,5,
MQGKOB,77.13,31/12/29,1:1,10.44,10.45,-,-,-,

Mesoblast Last Sale Price $3.41,
MSBKOB,2.26,31/12/29,1:1,-,-,-,-,-,
MSBKOC,2.45,31/12/29,1:1,-,-,1.025,+23.5,110,
MSBKOF,2.63,31/12/29,1:1,-,-,.445,-,-,

Metcash Last Sale Price $1.19,
MTSKOC,0.56,31/12/29,1:1,.62,.63,-,-,-,
MTSKOB,0.71,31/12/29,1:1,.47,.48,.49,-19,550,
MTSKOA,1.08,31/12/29,1:1,.105,.115,.785,-,-,

M2 Grp Last Sale Price $9.90,
MTUKOB,6.90,31/12/29,1:1,2.99,3.00,2.76,-14,130,
MTUKOC,8.33,31/12/29,1:1,1.56,1.57,1.26,-,-,

Myer Hldgs Last Sale Price $0.96,
MYRKOC,0.42,31/12/29,1:1,.53,.54,.51,-,-,
MYRKOD,0.48,31/12/29,1:1,.47,.48,-,-,-,
MYRKOE,0.56,31/12/29,1:1,.40,.41,-,-,-,
MYRKOB,0.66,31/12/29,1:1,.295,.305,.28,-5.5,340,

National Aust Bank Last Sale Price $30.15,
NABLOI,30.13,30/10/15,1:1,.545,.57,.87,-,845,
NABKOJ,29.17,02/11/15,1:1,1.415,-,1.415,-156.5,400,
NABKOH,30.01,02/11/15,1:1,1.41,-,1.41,-530,40,
NABKOL,28.70,03/11/15,1:1,1.41,1.435,1.83,-350,81,
NABXOD,29.00,17/12/15,2:1,.855,.865,1.04,-48,207,
NABLOG,26.84,31/12/15,1:1,4.54,4.55,1.00,-79,590,
NABLOH,29.29,31/12/15,1:1,1.42,1.43,1.525,-247.5,630,
NABKOE,23.25,31/12/29,1:1,6.90,6.91,6.93,-,-,
NABKOA,24.28,31/12/29,1:1,5.88,5.89,6.14,+6,120,
NABQOG,24.90,31/12/29,1:1,5.26,5.27,-,-,-,
NABQOF,25.38,31/12/29,1:1,4.78,4.79,7.18,-,-,
NABKOB,26.45,31/12/29,1:1,3.71,3.72,3.64,-161,180,
NABQOD,27.21,31/12/29,1:1,2.95,2.96,3.28,+14,90,
NABLOC,27.34,31/12/29,1:1,4.04,4.05,.56,-88.5,170,
NABKOD,27.83,31/12/29,1:1,2.33,2.34,2.59,-212,131,
NABLOA,28.21,31/12/29,1:1,2.50,2.51,2.80,-226,50,
NABMOA,28.24,31/12/29,1:1,1.92,1.93,2.13,-,40,
NABLOB,29.84,31/12/29,1:1,3.29,3.30,.935,-182.5,56,

Newcrest Min Last Sale Price $12.31,
NCMQOA,11.71,02/11/15,1:1,1.07,-,1.07,-166,1128,
NCMKOI,12.11,02/11/15,1:1,1.19,-,1.19,-52,21,
NCMKOE,11.26,03/11/15,1:1,1.05,1.07,1.15,-140,879,
NCMKOH,7.78,31/12/29,1:1,4.53,4.54,7.38,-,-,
NCMKOK,9.25,31/12/29,1:1,3.06,3.07,3.11,-165,193,
NCMLOB,10.98,31/12/29,1:1,-,-,2.55,-,-,
NCMLON,11.40,31/12/29,1:1,1.71,1.72,2.60,-,-,
NCMLOA,11.80,31/12/29,1:1,1.31,1.32,1.45,-4,423,
NCMLOE,12.30,31/12/29,1:1,.79,.80,1.92,-,-,

Nine Entertainment Last Sale Price $1.55,
NECKOA,0.97,31/12/29,1:1,.57,.58,.555,-,-,
NECQOA,1.17,31/12/29,1:1,.37,.38,-,-,-,
NECKOD,1.34,31/12/29,1:1,.20,.21,.42,-,-,

Northern Star Res Last Sale Price $2.76,
NSTKOC,0.31,31/12/29,1:1,2.44,2.45,2.14,-,-,
NSTKOD,1.24,31/12/29,1:1,1.515,1.525,1.48,-31.5,15,
NSTKOA,1.51,31/12/29,1:1,1.24,1.25,1.21,-40,584,

Nufarm Last Sale Price $8.37,
NUFQOA,6.74,31/12/29,1:1,1.63,1.64,1.60,+7,10,
NUFKOB,7.18,31/12/29,1:1,1.185,1.195,1.075,-,-,

Navitas Last Sale Price $4.20,
NVTKOB,2.63,31/12/29,1:1,1.565,1.575,1.52,-,-,
NVTKOA,3.29,31/12/29,1:1,.91,.92,-,-,-,

NEXTDC Last Sale Price $2.58,
NXTKOA,1.22,31/12/29,1:1,1.355,1.37,1.37,+28.5,82,

OzForex Grp Last Sale Price $2.84,
OFXKOD,1.01,31/12/29,1:1,1.82,1.83,1.355,-,-,
OFXKOC,1.31,31/12/29,1:1,1.52,1.53,1.49,-,-,
OFXKOE,1.61,31/12/29,1:1,1.22,1.23,1.015,-,-,

Orora Last Sale Price $2.34,
ORAKOA,1.77,31/12/29,1:1,.57,.58,.37,-,-,
ORAKOB,1.96,31/12/29,1:1,.38,.39,.74,-,-,

Origin Energy Last Sale Price $5.50,
ORGKOE,3.57,31/12/29,1:1,1.925,1.935,2.04,+44.5,60,
ORGQOA,4.16,31/12/29,1:1,1.33,1.34,1.33,-52,737,
ORGKOD,4.83,31/12/29,1:1,.665,.675,.70,-55.5,430,

Orica Last Sale Price $16.48,
ORIKOA,13.80,31/12/29,1:1,2.68,2.69,-,-,-,
ORIKOD,14.41,31/12/29,1:1,2.07,2.08,2.49,-,-,
ORIKOF,14.88,31/12/29,1:1,1.41,1.51,2.76,-,-,

Oil Search Last Sale Price $7.85,
OSHQOB,4.98,31/12/29,1:1,2.92,2.93,2.67,+22,150,
OSHKOA,6.47,31/12/29,1:1,1.425,1.435,1.50,+38,1355,
OSHKOC,6.70,31/12/29,1:1,1.145,1.155,1.255,-11,5,

OZ Minerals Last Sale Price $4.36,
OZLKOD,2.67,31/12/29,1:1,1.685,1.695,.575,-,-,
OZLKOG,2.89,31/12/29,1:1,1.46,1.47,1.64,+51,30,

Paladin Energy Last Sale Price $0.25,
PDNKOA,0.08,31/12/29,1:1,.155,.165,.14,-,-,
PDNKOJ,0.11,31/12/29,1:1,.13,.14,.085,-,-,

Perpetual Last Sale Price $44.91,
PPTKOF,31.75,31/12/29,1:1,13.17,13.18,9.70,-,-,
PPTQOA,33.77,31/12/29,1:1,11.16,11.17,9.90,-,-,
PPTKOC,35.72,31/12/29,1:1,9.20,9.21,-,-,-,

Primary Health Care Last Sale Price $3.71,
PRYKOE,3.35,03/11/15,1:1,.315,.325,.625,+2.5,100,
PRYQOB,2.02,31/12/29,1:1,1.68,1.69,2.09,-,-,
PRYQOA,2.39,31/12/29,1:1,1.315,1.325,1.325,-,208,
PRYKOD,2.98,31/12/29,1:1,.72,.73,.86,-2.5,550,

Platinum Asset Last Sale Price $7.40,
PTMKOA,3.76,31/12/29,1:1,3.64,3.65,3.21,-,-,
PTMKOB,4.33,31/12/29,1:1,3.06,3.07,3.10,+28,10,

Qantas Airways,
QANKOA,1.06,31/12/29,1:1,2.88,2.89,.785,-,-,
QANKOF,1.29,31/12/29,1:1,2.65,2.66,2.17,-,-,
QANKOB,1.41,31/12/29,1:1,2.54,2.55,2.02,-,-,
QANKOC,1.72,31/12/29,1:1,2.23,2.24,2.01,-,-,
QANKOG,2.26,31/12/29,1:1,1.68,1.69,1.67,+8.5,250,

BetaShares Gold Last Sale Price $12.18,
QAUKOH,10.50,31/12/29,1:1,1.94,2.16,-,-,-,
QAUKOG,10.95,31/12/29,1:1,1.33,1.55,-,-,-,

QBE Insurance Grp Last Sale Price $13.25,
QBEKOA,6.78,31/12/29,1:1,6.47,6.48,7.77,-,-,
QBEKOJ,8.63,31/12/29,1:1,4.62,4.63,4.41,-,-,
QBELOA,9.85,31/12/29,1:1,3.90,3.91,-,-,-,
QBEKOC,9.92,31/12/29,1:1,3.33,3.34,3.67,+39,16,
QBELOK,10.83,31/12/29,1:1,2.92,2.93,2.78,-,-,
QBEKOE,11.23,31/12/29,1:1,2.02,2.03,2.30,-3,15,
QBELOC,11.35,31/12/29,1:1,2.40,2.41,2.80,-,-,
QBEQOA,11.72,31/12/29,1:1,1.525,1.535,-,-,-,
QBELOD,12.07,31/12/29,1:1,1.68,1.69,1.38,-,-,
QBELOJ,12.14,31/12/29,1:1,1.605,1.615,2.11,-,-,
QBELOF,12.74,31/12/29,1:1,1.01,1.02,.82,-,-,

Qube Holdings Last Sale Price $2.29,
QUBKOA,1.52,31/12/29,1:1,.765,.775,.66,-,-,
QUBKOB,1.77,31/12/29,1:1,.51,.52,-,-,-,

REA Grp Last Sale Price $48.03,
REAKOF,36.49,31/12/29,1:1,11.55,11.56,8.98,-,-,
REAQOA,41.99,31/12/29,1:1,6.06,6.07,5.97,-81,21,

Recall Hldgs Last Sale Price $7.66,
RECKOB,5.71,31/12/29,1:1,1.95,-,2.26,-,-,

Regis Healthcare Last Sale Price $5.85,
REGKOA,3.69,31/12/29,1:1,2.16,2.17,2.03,-,-,
REGKOB,4.19,31/12/29,1:1,1.65,1.66,1.235,-,-,

Retail Food Grp Last Sale Price $4.63,
RFGKOC,3.32,31/12/29,1:1,1.305,1.315,1.45,-,90,
RFGKOD,3.83,31/12/29,1:1,.795,.805,1.04,+24,380,

Ramsay Health Care Last Sale Price $62.01,
RHCKOB,39.98,31/12/29,1:1,22.05,22.06,20.22,-,-,
RHCKOD,48.12,31/12/29,1:1,13.91,13.92,14.10,+191,203,
RHCKOA,51.47,31/12/29,1:1,10.56,10.57,10.44,+146,10,

Rio Tinto Last Sale Price $50.65,
RIOKOA,48.66,30/10/15,1:1,-,-,3.39,-,60,
RIOQOE,47.29,03/11/15,1:1,-,-,4.86,-,-,
RIOXOD,50.00,17/12/15,4:1,.46,.47,.44,-47.5,228,
RIOXOC,54.00,17/12/15,4:1,-,-,.82,-,-,
RIOLOB,49.66,31/12/15,1:1,2.32,2.33,2.52,-152,42,
RIOLOA,50.65,31/12/15,1:1,-,-,-,-,-,
RIOKOD,37.51,31/12/29,1:1,13.16,13.17,-,-,-,
RIOQOD,39.20,31/12/29,1:1,11.47,11.48,14.88,-,-,
RIOKOE,40.24,31/12/29,1:1,10.42,10.43,6.62,-,-,
RIOKOB,41.53,31/12/29,1:1,9.14,9.15,12.02,-,-,
RIOKOF,43.13,31/12/29,1:1,7.54,7.55,7.45,-312,72,
RIOQOF,44.53,31/12/29,1:1,6.14,6.15,7.75,-,-,
RIOLOJ,44.65,31/12/29,1:1,7.32,7.33,2.26,-70,28,
RIOLOI,45.71,31/12/29,1:1,6.26,6.27,2.14,-,-,
RIOQOA,46.41,31/12/29,1:1,4.26,4.27,4.39,-706,10,
RIOLOG,47.03,31/12/29,1:1,4.94,4.95,3.90,-,-,
RIOLOF,48.03,31/12/29,1:1,3.94,3.95,5.34,-98,25,

ResMed Inc Last Sale Price $8.04,
RMDKOE,5.20,31/12/29,1:1,2.84,2.85,2.53,-,-,
RMDKOB,6.31,31/12/29,1:1,1.725,1.735,1.74,+29.5,50,
RMDKOD,6.58,31/12/29,1:1,1.46,1.47,-,-,-,
RMDKOA,6.86,31/12/29,1:1,1.175,1.185,1.48,-,-,

Regis Res Last Sale Price $2.08,
RRLKOD,0.71,31/12/29,1:1,1.36,1.37,1.395,-,-,
RRLKOC,1.15,31/12/29,1:1,.93,.94,.82,-,-,
RRLKOA,1.64,31/12/29,1:1,.43,.44,1.25,-2.5,100,

Resolute Min Last Sale Price $0.38,
RSGKOO,0.17,31/12/29,1:1,.20,-,.26,+1,507,
RSGKOC,0.21,31/12/29,1:1,.155,-,.28,-,-,

South32 Last Sale Price $1.47,
S32KOB,1.31,03/11/15,1:1,.135,.15,.21,-,403,
S32KOC,0.73,31/12/29,1:1,.725,.735,.76,-,100,
S32QOA,0.87,31/12/29,1:1,.87,.88,.61,-,-,
S32KOH,1.02,31/12/29,1:1,.435,.445,.475,-4.5,746,
S32KOI,1.16,31/12/29,1:1,.30,.31,.37,-.5,2699,

Scentre Grp Last Sale Price $4.14,
SCGKOA,3.01,31/12/29,1:1,1.125,1.135,.83,-,-,
SCGKOB,3.32,31/12/29,1:1,.81,.82,.595,-,-,

SCA Property Grp Last Sale Price $2.06,
SCPKOA,1.58,31/12/29,1:1,.46,.47,.345,-,-,
SCPKOD,1.69,31/12/29,1:1,.355,.365,.32,-,-,
SCPKOC,1.79,31/12/29,1:1,.255,.265,-,-,-,

Seek Last Sale Price $12.83,
SEKQOA,9.78,31/12/29,1:1,3.05,3.06,2.57,-,-,
SEKKOD,11.03,31/12/29,1:1,1.80,1.81,1.80,-59,10,
SEKKOC,11.41,31/12/29,1:1,1.14,1.165,3.04,-,-,

Sandfire Res Last Sale Price $6.34,
SFRQOA,3.59,31/12/29,1:1,2.74,2.75,-,-,-,
SFRKOC,4.08,31/12/29,1:1,2.26,2.27,2.50,+69.5,60,
SFRKOL,4.60,31/12/29,1:1,1.74,1.75,1.105,-,-,
SFRKOJ,5.06,31/12/29,1:1,1.275,1.285,2.87,-,-,

Slater & Gordon Last Sale Price $2.77,
SGHKOH,1.16,31/12/29,1:1,1.60,1.61,1.625,-,-,
SGHKOE,1.46,31/12/29,1:1,1.295,1.305,-,-,-,
SGHKOF,1.81,31/12/29,1:1,.94,.95,.98,-10,605,
SGHKOA,1.96,31/12/29,1:1,.79,.80,.905,-7,130,

Sims Metal Mgt Last Sale Price $9.84,
SGMKOA,7.10,31/12/29,1:1,2.74,2.75,1.12,-,-,
SGMKOE,7.76,31/12/29,1:1,2.08,2.09,1.495,-,-,
SGMKOD,8.22,31/12/29,1:1,1.62,1.63,1.53,-,-,
SGMKOC,8.90,31/12/29,1:1,.97,1.04,1.03,-,-,

Stockland Last Sale Price $4.05,
SGPKOF,2.92,31/12/29,1:1,1.125,1.135,.605,-,-,
SGPKOB,3.31,31/12/29,1:1,.74,.75,.465,-,-,
SGPKOC,3.42,31/12/29,1:1,.625,.635,-,-,-,

Sonic Healthcare Last Sale Price $19.28,
SHLKOB,14.43,31/12/29,1:1,4.86,4.87,4.72,+32,16,
SHLKOC,15.93,31/12/29,1:1,3.36,3.37,3.03,+8,60,

Sigma Pharmaceut Last Sale Price $0.84,
SIPKOA,0.47,31/12/29,1:1,.36,.37,.275,-,-,
SIPKOC,0.60,31/12/29,1:1,.235,.245,-,-,-,

Spark Infrastructure Last Sale Price $2.08,
SKIKOB,1.43,31/12/29,1:1,.645,.655,.445,-,-,
SKIKOA,1.62,31/12/29,1:1,.455,.465,.35,-,-,

