Warrant Market - Weekly
"Report at Friday, September 18, 2015. Processed Monday at 21/09/2015 3:58:10 PM."



ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Weekly Volume,
Equity Call Warrants,
BHPSMB,25.68,29/06/18,1:1,2.80,-,3.21,-,-,
BHPSZX,11.16,04/02/19,1:1,13.29,-,12.35,-85,2,
BHPSZW,16.55,04/02/19,1:1,7.91,-,10.64,-,-,
BHPSZU,18.45,04/02/19,1:1,6.00,-,6.04,-,-,
BHPJOP,15.23,30/05/19,1:1,9.23,9.24,8.80,-,-,
BHPJOQ,15.65,30/05/19,1:1,8.81,8.82,8.65,-,-,
BHPSO1,14.08,06/12/19,1:1,10.38,10.39,9.93,-20,6,
BHPSOG,15.10,13/12/19,1:1,12.59,12.60,12.62,+61,10,
BHPJOT,13.06,14/04/20,1:1,11.40,11.41,11.53,-,-,
BHPJOA,17.03,14/04/20,1:1,7.43,7.44,-,-,-,
BHPSOH,15.03,23/06/20,1:1,13.16,13.17,-,-,-,
BHPSWR,15.03,30/06/20,1:1,13.52,13.54,13.12,-,-,
BHPSRT,11.16,06/08/21,1:1,13.29,-,11.52,-,-,
BHPSRX,15.13,06/08/21,1:1,9.32,-,11.27,-,-,
BHPSRW,16.55,06/08/21,1:1,7.91,-,7.93,-,-,
BHPSRU,18.45,06/08/21,1:1,6.00,-,9.29,-,-,

BKI Invest Last Sale Price $1.59,
