S&P/ASX200 - Daily,,,,,,,,,,,,,,,,,
XAO 4574.1 at 16:41 18/6/2010  Report at 19:05 Friday 18/6/2010. Processed 19:13 Friday 18/6/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
7.60,6.01,6.30,6.03,SVW,Seven Grp Hldgs,6.30,25,"6,207",6.10,6.30,-,,-,-,-,-,-
1.281,0.34,0.54,0.515,SIP,Sigma Pharmaceutical,0.525,-1.5,"53,414",0.52,0.53,3,,-,0.15,5.71,-40.7,-
29.15,18.06,19.38,19.10,SGM,Sims Metal Mgmt,19.21,14,"7,260",19.18,19.29,20,f,-,8.87,1.04,-17.7,-
2.94,2.25,2.56,2.51,SGT,Singapore Tel cdi,2.56,2,"64,896",2.47,2.56,10.69,,1.79,0.65,4.18,19.12,13.4
7.21,3.21,5.79,5.70,SMX,SMS Management,5.79,13,"4,398",5.70,5.79,27.5,f,1.40,0.69,4.75,38.4,15.1
15.64,9.53,11.10,10.88,SHL,Sonic Healthcare,10.95,5,"9,086",10.89,11.00,59,p,0.81,-1.48,5.39,47.6,23.0
0.975,0.725,0.845,0.835,SPN,SP AusNet stp,0.845,1,"84,004",0.84,0.845,8,p,1.01,0.94,9.47,8.09,10.4
1.445,1.025,1.21,1.155,SKI,Spark Infrastructure stp,1.21,2.5,"97,266",1.195,1.21,13.56,,0.89,1.78,11.21,12.08,10.0
3.23,2.00,2.33,2.27,SPT,Spotless Grp Ltd,2.27,-3,"4,942",2.25,2.38,11,p,1.95,-,4.85,21.5,10.6
0.39,0.169,0.39,0.375,SBM,St Barbara Ltd,0.38,2,"323,260",0.375,0.385,-,,-,0.21,-,-2.37,-
2.31,0.988,1.90,1.85,SXL,Sthn Cross Media,1.87,-2,"3,420",1.855,1.925,6.7,,-,-0.51,3.58,-36.65,-
4.23,2.75,4.04,3.96,SGP,Stockland stp,4.00,1,"86,620",4.00,4.02,27.8,,-,-,6.95,-47.1,-
2.157,1.165,1.405,1.38,SRL,Straits Res,1.395,1.5,"10,658",1.37,1.405,-,,-,2.58,-,51.8,2.7
9.59,6.01,8.45,8.37,SUN,Suncorp-Metway,8.38,4,"21,572",8.36,8.44,35,f,0.98,5.43,4.18,34.21,24.5
