S&P/ASX200 - Daily,,,,,,,,,,,,,,,,,
XAO 4438.8 at 16:38 31/8/2010  Report at 19:05 Tuesday 31/8/2010. Processed 19:06 Tuesday 31/8/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
4.21,3.22,3.52,3.43,IAG,Insurance Aust Grp,3.44,-2,"172,390",3.44,3.45,13,f,0.34,1.16,3.78,4.39,78.4
1.59,1.005,1.48,1.475,ITO,Intoll Grp stp,1.475,,"201,715",1.475,1.48,3,,22.21,1.57,2.03,66.62,2.2
6.50,5.33,6.49,6.31,IVC,Invocare Ltd,6.41,5,"5,329",6.41,6.42,26.75,f,1.31,0.47,4.17,35.1,18.3
7.40,4.31,6.59,6.49,IFL,IOOF Hldgs Ltd,6.56,-3,"6,450",6.56,6.57,35,f,0.85,0.51,5.34,29.8,22.0
9.38,7.25,7.95,7.69,IRE,IRESS Market Tech,7.73,-26,"4,976",7.70,7.74,35,f,1.13,0.76,4.53,39.46,19.6
0.92,0.125,0.155,0.125,ISF,iSOFT Group Ltd,0.14,-2.5,"429,842",0.135,0.14,1,,3.66,-0.23,7.14,3.66,3.8
8.86,5.15,5.44,5.27,JHX,James Hardie Ind cdi,5.33,-7,"34,840",5.33,5.35,-,,-,-0.29,-,-21.4,-
23.71,17.72,21.02,20.62,JBH,JB Hi-Fi Ltd,20.82,20,"12,939",20.81,20.84,66,f,1.66,1.82,3.17,109.74,19.0
1.28,0.465,0.665,0.625,KZL,Kagara Ltd,0.625,-3.5,"38,979",0.625,0.63,-,,-,0.76,-,0.55,113.6
11.45,4.51,6.80,6.61,KAR,Karoon Gas Aust,6.64,-17,"3,966",6.63,6.65,-,,-,-,-,-15.25,-
10.90,7.01,10.14,10.00,KCN,Kingsgate Cons,10.02,10,"6,166",10.02,10.04,35,,2.15,3.16,3.49,75.2,13.3
41.70,27.61,30.98,30.56,LEI,Leighton Hldgs,30.70,-29,"8,544",30.70,30.78,150,f,1.36,8.13,4.89,204.6,15.0
10.907,6.70,7.10,6.94,LLC,Lend Lease Grp stp,6.94,-15,"17,317",6.94,6.95,32,f,2.28,4.76,4.61,72.9,9.5
2.04,0.95,1.70,1.595,LNC,Linc Energy Ltd,1.655,3.5,"35,635",1.655,1.66,-,,-,-,-,-16.12,-
1.05,0.375,1.035,0.975,LYC,Lynas Corp,0.98,-6,"266,905",0.975,0.98,-,,-,-,-,-7.07,-
17.17,7.84,11.40,11.16,MCC,Macarthur Coal,11.28,,"18,978",11.27,11.31,25,f,1.97,4.34,2.22,49.3,22.9
0.885,0.45,0.60,0.59,MAH,Macmahon Hldgs,0.595,-1,"29,176",0.595,0.60,3,,1.72,0.41,5.04,5.17,11.5
1.335,0.51,1.275,1.24,MQA,Macq Atlas Roads stp,1.25,1,"17,347",1.25,1.26,-,,-,-0.72,-,-31.22,-
58.80,35.01,37.72,37.13,MQG,Macq Grp Ltd,37.46,-38,"29,382",37.45,37.46,186,,1.72,25.82,4.97,320.2,11.7
3.38,2.364,2.96,2.93,MAP,MAP Grp forus,2.96,,"307,239",2.95,2.96,19,,-,-,6.42,-14.47,-
4.89,2.291,4.10,4.00,MML,Medusa Min Ltd,4.00,6,"8,857",4.00,4.02,-,,-,0.91,-,35.43,11.3
3.25,2.25,2.51,2.44,MRM,Mermaid Marine,2.47,2,"5,042",2.47,2.50,8,f,2.55,1.05,3.24,20.4,12.1
4.74,3.84,4.43,4.34,MTS,Metcash Ltd,4.39,-1,"60,390",4.38,4.39,26,f,1.14,0.12,5.92,29.74,14.8
2.63,1.30,1.77,1.73,MCR,Mincor Res NL,1.73,-5.5,"8,440",1.73,1.735,9,f,1.57,1.02,5.20,14.1,12.3
8.99,4.93,8.57,8.39,MIN,Mineral Res,8.52,-2,"3,390",8.47,8.52,20,f,3.43,2.75,2.35,68.5,12.4
3.43,1.645,1.725,1.68,MBN,Mirabela Nickel,1.695,-7,"20,851",1.69,1.695,-,,-,1.59,-,9.15,18.5
1.745,1.19,1.355,1.33,MGR,Mirvac Grp stp,1.34,,"500,064",1.34,1.345,8,,0.99,1.66,5.97,7.95,16.9
15.98,11.77,15.15,14.90,MND,Monadelphous Grp,14.95,1,"7,797",14.95,15.00,83,f,1.17,1.65,5.55,96.86,15.4
2.09,0.965,1.76,1.73,MGX,Mount Gibson Iron,1.74,-4,"55,341",1.74,1.745,-,,-,0.86,-,12.3,14.1
3.12,1.33,1.455,1.39,MMX,Murchison Metals,1.39,-7.5,"36,312",1.39,1.395,-,,-,-,-,-8.73,-
3.98,2.86,3.73,3.65,MYR,Myer Hldgs Ltd,3.68,-1,"46,882",3.68,3.69,-,f,-,-0.21,-,-,-
32.37,22.23,23.45,23.17,NAB,National Aust Bank,23.20,-35,"81,309",23.20,23.21,147,f,1.36,12.41,6.34,199.3,11.6
39.75,29.27,37.25,36.01,NCM,Newcrest Min,37.25,124,"350,208",37.07,37.25,25,,4.61,10.19,0.67,115.2,32.3
20.18,14.66,15.70,15.56,NWS,News Corp b voting,15.64,-11,"19,005",15.63,15.64,12.87,,8.84,1.56,0.82,113.81,13.7
11.695,3.20,3.92,3.84,NUF,Nufarm Ltd,3.85,-8,"5,413",3.85,3.86,15,,-,3.07,3.90,-17.4,-
6.93,4.97,5.92,5.86,OSH,Oil Search Ltd,5.90,-2,"47,059",5.89,5.90,4.47,,3.07,-,0.76,13.71,43.0
2.13,1.335,1.53,1.495,OMH,OM Hldgs Ltd,1.525,-0.5,"8,620",1.525,1.53,2.75,,2.41,0.56,1.80,6.62,23.0
4.15,2.76,2.90,2.84,OST,OneSteel Ltd,2.88,-3,"119,566",2.85,2.88,11,,1.77,1.77,3.82,19.51,14.8
26.382,20.725,25.66,25.05,ORI,Orica Ltd,25.05,-30,"17,770",25.05,25.13,98,p,1.04,1.31,3.91,102.3,24.5
17.94,13.85,15.34,15.20,ORG,Origin Energy,15.25,-33,"34,974",15.21,15.25,50,f,1.39,8.46,3.28,69.7,21.9
1.325,0.945,1.255,1.22,OZL,OZ Minerals,1.22,-4.5,"257,146",1.22,1.225,3,,5.07,0.95,2.46,15.2,8.0
1.52,0.78,1.065,1.04,PBG,Pac Brands,1.045,-0.5,"67,323",1.045,1.05,-,,-,0.08,-,5.7,18.3
5.18,3.37,3.77,3.71,PDN,Paladin Energy,3.71,-8,"31,997",3.71,3.72,-,,-,1.53,-,-8.92,-
0.65,0.385,0.60,0.59,PNA,PanAust Ltd,0.59,-1,"147,301",0.59,0.595,-,,-,0.23,-,3.93,15.0
2.745,1.603,2.47,2.40,PAN,Panoramic Res,2.40,-4,"6,781",2.40,2.41,11.5,f,2.39,1.40,4.79,27.5,8.7
0.845,0.47,0.56,0.55,PPX,PaperlinX Ltd,0.555,-0.5,"34,230",0.55,0.555,-,,-,0.40,-,-38.9,-
40.31,27.11,31.38,30.80,PPT,Perpetual Ltd,31.12,29,"2,091",31.12,31.15,210,f,1.08,3.95,6.75,227.1,13.7
2.90,0.82,2.82,2.74,PRU,Perseus Min Ltd,2.75,,"21,758",2.75,2.76,-,,-,-,-,-2.43,-
6.34,4.44,4.97,4.86,PTM,Platinum Asset,4.91,-6,"5,405",4.91,4.92,22,f,1.11,-,4.48,24.39,20.1
1.29,0.615,0.645,0.62,PLA,Platinum Aust,0.63,-0.5,"13,776",0.63,0.635,-,,-,-,-,-7.8,-
6.56,3.01,3.29,3.21,PRY,Primary Health Care,3.23,,"21,472",3.23,3.24,25,f,1.11,-1.24,7.74,27.8,11.6
4.57,0.034,4.40,4.38,PIH,Prime Infr Grp stp,4.38,-2,"12,660",4.38,4.39,-,,-,-,-,-,-
