S&P/ASX200 - Daily,,,,,,,,,,,,,,,,,
XAO 4465.4 at 16:35 16/8/2010  Report at 19:05 Monday 16/8/2010. Processed 19:19 Monday 16/8/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
7.60,5.41,6.19,6.08,SVW,Seven Grp Hldgs,6.17,2,"1,298",6.17,6.35,-,,-,-,-,-,-
1.229,0.34,0.55,0.50,SIP,Sigma Pharmaceutical,0.52,2,"152,588",0.515,0.52,3,,-,0.15,5.77,-40.7,-
25.50,15.72,16.85,16.62,SGM,Sims Metal Mgmt,16.65,-26,"11,254",16.60,16.69,20,f,-,8.87,1.20,-17.7,-
2.70,2.25,2.50,2.42,SGT,Singapore Tel cdi,2.42,-5,"38,362",2.42,2.43,11.41,,1.68,0.65,4.71,19.12,12.7
7.21,4.20,6.15,6.08,SMX,SMS Management,6.11,-3,797,6.09,6.23,27.5,f,1.40,0.69,4.50,38.4,15.9
15.64,9.53,10.27,10.07,SHL,Sonic Healthcare,10.18,-9,"11,631",10.15,10.20,59,p,0.81,-1.48,5.80,47.6,21.4
0.975,0.725,0.79,0.775,SPN,SP AusNet stp,0.78,,"27,416",0.78,0.785,8,p,1.01,0.94,10.26,8.09,9.6
1.445,1.05,1.185,1.16,SKI,Spark Infrastructure stp,1.175,0.5,"21,000",1.17,1.18,13.56,,0.89,1.78,11.54,12.08,9.7
3.23,2.00,2.06,2.01,SPT,Spotless Grp Ltd,2.04,-5,"8,253",2.02,2.10,11,p,1.95,-,5.39,21.5,9.5
0.395,0.188,0.30,0.295,SBM,St Barbara Ltd,0.295,-0.5,"60,646",0.295,0.30,-,,-,0.21,-,-2.37,-
2.31,1.053,1.87,1.815,SXL,Sthn Cross Media,1.83,,"12,666",1.815,1.84,6.7,,-,-0.51,3.66,-36.65,-
4.23,3.33,3.89,3.81,SGP,Stockland stp,3.87,-1,"95,336",3.87,3.88,21.8,,0.92,3.59,5.63,20.1,19.3
2.157,1.165,1.475,1.445,SRL,Straits Res,1.46,1,"10,427",1.45,1.47,-,,-,2.58,-,51.8,2.8
9.59,7.20,7.97,7.88,SUN,Suncorp-Metway,7.92,-7,"30,446",7.91,7.93,35,f,0.98,5.43,4.42,34.21,23.2
0.20,0.105,0.155,0.145,SDL,Sundance Res,0.155,0.5,"73,506",0.15,0.155,-,,-,-,-,-0.54,-
