ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
XAO 4546.3 at 16:47 2/11/2009  Report at 19:05 Monday 2/11/2009. Processed 19:21 Monday 2/11/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
-,-,-,-,AOAO,  opt jun14,-,,-,-,-,-,,-,-,-,-,-
0.195,0.08,0.185,0.17,AQD,Ausquest Ltd,0.185,1,1700,0.16,0.185,-,,-,-,-,-1.92,-
0.045,0.005,0.009,0.009,AQDOA,  opt nov09,0.009,,9875,0.002,0.01,-,,-,-,-,-,-
0.10,0.03,0.078,0.077,AQR,Aussie Q Res,0.077,0.2,400,0.075,0.089,-,,-,-,-,-0.9,-
0.115,0.03,-,-,AGV,Aust Gold Invest,0.04,,-,0.033,0.04,-,,-,-,-,-2.4,-
0.02,0.001,0.002,0.001,AUZ,Aust Mines Ltd,0.001,-0.1,300845,0.001,0.002,-,,-,-,-,-0.75,-
0.001,0.001,-,-,AUZO,  opt jun13,0.001,,-,-,0.001,-,,-,-,-,-,-
0.135,0.036,0.10,0.091,AOC,Aust Oil Co,0.10,0.5,450,0.091,0.10,-,,-,-,-,-4.1,-
0.01,0.002,0.003,0.002,AOCO,  opt dec09,0.003,,3750,0.003,0.005,-,,-,-,-,-,-
0.009,0.003,0.006,0.006,AOM,Aust Oriental,0.006,,11507,0.005,0.006,-,,-,-,-,-0.16,-
0.033,0.004,0.023,0.021,ARW,Aust Renewable,0.023,-0.1,68069,0.023,0.024,-,,-,0.01,-,-2.65,-
3.06,1.87,2.61,2.51,AWE,Aust Worldwide Ex,2.58,-3,22703,2.58,2.59,-,,-,1.80,-,17.36,14.9
0.195,0.05,0.125,0.12,AOK,Austex Oil Ltd,0.125,,900,0.12,0.125,-,,-,-,-,-4.05,-
0.138,0.02,0.052,0.049,AKK,Austin Explore,0.049,-0.5,4125,0.049,0.051,-,,-,-,-,-3.44,-
0.084,0.028,0.036,0.035,APG,Austpac Res NL,0.036,0.1,5557,0.035,0.036,-,,-,-,-,-0.28,-
0.006,0.001,0.004,0.004,AAF,Austral Africa Res,0.004,,6252,0.003,0.004,-,,-,-,-,-0.6,-
0.23,0.065,-,-,AGD,Austral Gold,0.135,,-,0.135,0.15,-,,-,-,-,-2.53,-
0.32,0.11,0.19,0.17,AZX,Auzex Res,0.19,-3,166,0.17,0.19,-,,-,-,-,-15.3,-
0.07,0.006,-,-,AZXO,  opt sep10,0.015,,-,0.009,0.015,-,,-,-,-,-,-
0.25,0.053,0.22,0.195,AVI,Avalon Min,0.22,,23515,0.215,0.22,-,,-,-,-,-5.87,-
0.043,0.006,0.035,0.031,AVB,Avanco Res Ltd,0.035,-0.1,48843,0.034,0.035,-,,-,-,-,-1.45,-
0.15,0.001,0.002,0.002,AVBO,  opt jun10,0.002,,4000,0.002,0.005,-,,-,-,-,-,-
0.025,0.004,0.021,0.019,AVBOB,  opt apr12,0.021,-0.3,3300,0.02,0.022,-,,-,-,-,-,-
0.22,0.07,0.075,0.072,AVA,Aviva Corp,0.075,-0.1,6000,0.075,0.077,-,,-,-,-,-2.78,-
1.995,1.085,1.59,1.505,AVO,Avoca Res,1.55,2,8102,1.54,1.585,-,,-,0.61,-,-6.97,-
0.17,0.026,0.13,0.125,AVZ,Avonlea Min,0.125,,832,0.125,0.13,-,,-,-,-,-5.2,-
0.04,0.015,-,-,AXC,AXG Min Ltd,0.025,,-,0.022,0.025,-,,-,-,-,-1.4,-
0.006,0.001,-,-,AXCO,  opt aug10,0.002,,-,0.002,0.004,-,,-,-,-,-,-
0.31,0.04,0.235,0.205,AZM,Azumah Res,0.22,-2.5,15397,0.22,0.225,-,,-,-,-,-2.8,-
0.118,0.036,0.06,0.06,AZS,Azure Min,0.06,-0.2,5373,0.057,0.059,-,,-,-,-,-1.9,-
0.66,0.165,0.47,0.46,BND,Bandanna Energy,0.46,-1,271,0.46,0.495,-,,-,-,-,-0.22,-
1.485,0.30,1.06,1.01,BMN,Bannerman Res,1.045,-4.5,6701,1.045,1.06,-,,-,-,-,-6.22,-
0.03,0.003,0.005,0.005,BKP,Baraka Pet,0.005,,644816,0.005,0.006,-,,-,-,-,-0.15,-
0.22,0.041,0.115,0.105,BAR,Barra Res,0.11,-1,4578,0.105,0.11,-,,-,-,-,-1.78,-
0.04,0.002,-,-,BARO,  opt dec10,0.02,,-,0.011,0.02,-,,-,-,-,-,-
0.11,0.04,0.10,0.09,BSE,Base Iron Ltd,0.09,-1,1660,0.08,0.09,-,,-,-,-,-3.53,-
0.36,0.088,0.27,0.265,BSM,Bass Metals Ltd,0.265,-1.5,5624,0.265,0.275,-,,-,-,-,18.46,1.4
0.08,0.02,-,-,BSMOA,  opt apr10,0.065,,-,0.04,0.075,-,,-,-,-,-,-
0.068,0.013,0.032,0.029,BAS,Bass Strait Oil Co,0.032,-0.2,26808,0.03,0.031,-,,-,-,-,-0.7,-
-,-,-,-,BASN,  def,-,,-,-,-,-,,-,-,-,-,-
0.38,0.03,0.36,0.34,BSR,Bassari Res,0.36,1,813,0.36,0.37,-,,-,-,-,-0.9,-
0.14,0.066,-,-,BTV,Batavia Min,0.12,,-,0.11,0.115,-,,-,-,-,4.8,2.5
0.05,0.008,-,-,BTVO,  opt jun12,0.043,,-,0.033,0.043,-,,-,-,-,-,-
1.345,0.165,0.96,0.90,BAU,Bauxite Resource,0.96,-1,5756,0.955,0.97,-,,-,-,-,-4.4,-
1.476,0.17,1.07,1.01,BCI,BC Iron Ltd,1.03,-5.5,1582,1.025,1.05,-,,-,-,-,-2.2,-
1.122,0.678,0.78,0.75,BPT,Beach Pet,0.775,-2,47817,0.77,0.78,1.75,p,14.41,-,2.26,25.21,3.1
0.066,0.012,0.015,0.015,BPTO,  opt jun10,0.015,,991,0.015,0.017,-,,-,-,-,-,-
0.034,0.003,0.021,0.02,BCN,Beacon Min,0.021,-0.1,15960,0.02,0.021,-,,-,-,-,-3.44,-
0.015,0.001,-,-,BCNO,  opt aug10,0.004,,-,0.004,0.008,-,,-,-,-,-,-
0.02,0.001,0.011,0.011,BCNOA,  opt aug10,0.011,,1000,0.011,0.012,-,,-,-,-,-,-
0.21,0.09,0.11,0.105,BCD,Beaconsfield Gold,0.11,-0.5,3195,0.105,0.115,-,,-,0.09,-,2.29,4.8
0.16,0.041,0.095,0.094,BDR,Beadell Resource,0.094,,1607,0.088,0.094,-,,-,-,-,-4,-
0.32,0.096,0.225,0.22,BDG,Bendigo Min Ltd,0.22,-1,17037,0.22,0.225,0.5,,3.40,0.15,2.27,1.7,12.9
1.50,0.151,0.94,0.94,BKY,Berkeley Res,0.94,,12,0.88,0.94,-,,-,-,-,-9.47,-
0.76,0.40,-,-,BKYO,  opt may13,0.50,,-,0.41,0.47,-,,-,-,-,-,-
40.28,20.00,36.75,36.36,BHP,BHP Billiton Ltd,36.71,-74,117952,36.70,36.71,113.63,f,1.15,8.84,3.10,130.15,28.2
0.13,0.025,0.098,0.094,BFE,Black Fire Energy,0.095,,4700,0.093,0.098,-,,-,-,-,-3.48,-
0.027,0.002,-,-,BFEO,  opt jun10,0.01,,-,0.011,0.03,-,,-,-,-,-,-
0.105,0.011,0.055,0.052,BLR,Black Range Min,0.052,-0.4,4717,0.053,0.055,-,,-,-,-,-0.48,-
0.07,0.004,-,-,BLRO,  opt feb11,0.029,,-,0.027,0.031,-,,-,-,-,-,-
0.357,0.061,0.30,0.25,BLK,Blackham Res,0.30,1,635,0.25,0.28,-,,-,-,-,-1.4,-
0.475,0.055,0.44,0.42,BTR,Blackthorn Res,0.42,-3,883,0.41,0.45,-,,-,-,-,-67.49,-
0.04,0.009,-,-,BDI,Blina Diamonds NL,0.018,,-,0.018,0.021,-,,-,-,-,-11.3,-
0.335,0.09,0.23,0.215,BUL,Blue Energy Ltd,0.23,-1,19835,0.23,0.235,-,,-,-,-,-1.48,-
0.175,0.023,0.135,0.13,BOM,Bondi Min Ltd,0.135,,593,0.13,0.135,-,,-,-,-,-3.22,-
0.08,0.04,-,-,BOE,Boss Energy Ltd,0.049,,-,0.042,0.06,-,,-,-,-,-11.82,-
0.055,0.001,-,-,BOEO,  opt nov10,0.004,,-,0.005,0.019,-,,-,-,-,-,-
0.052,0.017,0.04,0.04,BML,Botswana Metals,0.04,-0.3,500,0.039,0.043,-,,-,-,-,-0.67,-
0.85,0.47,0.62,0.60,BOC,Bougainville Copper,0.62,2,234,0.60,0.645,-,,-,0.37,-,-0.44,-
0.38,0.018,0.15,0.14,BGD,Boulder Steel,0.15,,930,0.145,0.155,-,,-,-,-,-1.6,-
0.18,0.01,0.065,0.065,BGDO,  opt mar12,0.065,-0.4,500,0.06,0.065,-,,-,-,-,-,-
0.18,0.016,0.093,0.089,BUY,Bounty Oil & Gas,0.093,-0.1,29644,0.092,0.093,-,,-,-,-,1.08,8.6
1.60,0.146,1.395,1.26,BOW,Bow Energy Ltd,1.395,11.5,18985,1.37,1.395,-,,-,-,-,-0.46,-
0.19,0.05,0.125,0.125,BWN,Bowen Energy Ltd,0.125,0.5,236,0.125,0.13,-,,-,-,-,-6.5,-
0.05,0.001,-,-,BWNO,  opt nov09,0.006,,-,0.002,0.006,-,,-,-,-,-,-
0.13,0.027,0.094,0.09,BRW,Breakaway Res,0.094,-0.3,3882,0.09,0.094,-,,-,-,-,-3.37,-
2.23,0.40,1.97,1.90,BRM,Brockman Res,1.96,-5,2045,1.91,1.96,-,,-,-,-,-11.1,-
0.193,0.031,0.069,0.065,BMY,Brumby Res,0.069,-0.1,1756,0.069,0.07,-,,-,-,-,-3.5,-
0.10,0.01,-,-,BMYO,  opt jan10,0.01,,-,0.01,0.015,-,,-,-,-,-,-
0.101,0.027,0.072,0.064,BCC,Buccaneer Energy,0.069,-0.2,188355,0.068,0.069,-,,-,-,-,-8.94,-
0.042,0.007,0.042,0.033,BCCO,  opt nov12,0.038,,40922,0.037,0.038,-,,-,-,-,-,-
0.125,0.038,0.09,0.09,BKG,Buka Gold Ltd,0.09,,304,0.08,0.09,-,,-,-,-,-11.14,-
0.043,0.006,0.028,0.026,BYR,Burey Gold Ltd,0.026,-0.2,11629,0.025,0.028,-,,-,-,-,-0.6,-
0.09,0.036,0.074,0.07,BUR,Burleson Energy,0.074,-0.1,500,0.066,0.074,-,,-,-,-,-2.7,-
0.015,0.003,-,-,BURO,  opt aug10,0.013,,-,0.008,0.012,-,,-,-,-,-,-
0.245,0.155,0.20,0.19,BRU,Buru Energy,0.195,,730,0.195,0.20,-,,-,-,-,-28.46,-
0.035,0.003,-,-,BRUO,  opt oct10,0.006,,-,0.006,0.008,-,,-,-,-,-,-
0.073,0.026,-,-,BUX,Buxton Res Ltd,0.068,,-,0.059,0.068,-,,-,-,-,-1.2,-
1.35,0.20,0.965,0.96,CCD,Caledon Res cdi,0.96,-0.5,283,0.96,0.985,-,,-,0.42,-,5.98,16.1
0.031,0.003,0.024,0.022,CUU,Callabonna Uranium,0.023,-0.2,42470,0.023,0.024,-,,-,-,-,-0.6,-
0.55,0.34,0.49,0.49,CBX,Cape Alumina Ltd,0.49,-1,20,0.49,0.50,-,,-,-,-,-,-
0.535,0.155,0.465,0.445,CFE,Cape Lambert Iron,0.45,-3.5,34130,0.445,0.455,-,,-,-,-,47.27,1.0
0.10,0.037,0.07,0.065,CMY,Capital Min,0.065,-0.6,1172,0.06,0.065,-,,-,-,-,-0.67,-
0.028,0.002,-,-,CMYO,  opt oct10,0.011,,-,0.003,0.01,-,,-,-,-,-,-
0.035,0.015,0.03,0.027,CMYOA,  opt jul11,0.027,-0.3,4165,0.027,0.04,-,,-,-,-,-,-
0.05,0.02,-,-,CRB,Carbine Res,0.05,,-,0.05,-,-,,-,-,-,-9.01,-
0.885,0.195,0.675,0.645,CNX,Carbon Energy,0.665,-3.5,7339,0.665,0.675,-,,-,-,-,-3.11,-
3.60,1.40,-,-,CRM,Carbon Min Ltd,3.15,,-,2.55,3.35,-,,-,-,-,-0.66,-
0.885,0.23,0.52,0.51,CVN,Carnarvon Pet,0.515,-2.5,34760,0.51,0.515,-,,-,0.07,-,5.4,9.5
0.20,0.061,-,-,CAV,Carnavale Res,0.12,,-,0.105,0.13,-,,-,-,-,-6.2,-
0.195,0.035,0.05,0.05,CPN,Carpathian Res,0.05,,617,0.05,0.055,-,,-,-,-,-0.22,-
0.27,0.024,0.175,0.16,CAP,Carpentaria Exp,0.16,-1,2426,0.16,0.17,-,,-,-,-,-2.21,-
0.035,0.003,-,-,CAPO,  opt jun10,0.018,,-,0.019,0.026,-,,-,-,-,-,-
0.91,0.495,0.75,0.74,CRK,Carrick Gold Ltd,0.74,-6,254,0.725,0.74,-,,-,-,-,-1.12,-
0.028,0.008,0.015,0.014,CIG,Caspian Oil & Gas,0.015,,25160,0.014,0.015,-,,-,-,-,-0.5,-
0.27,0.09,0.20,0.20,CDT,Castle Min,0.20,-1,100,0.18,0.21,-,,-,-,-,-3.3,-
0.085,0.032,-,-,CGT,Castlemaine,0.041,,-,0.035,0.041,-,,-,-,-,-0.49,-
0.18,0.019,0.155,0.13,CAH,Catalpa Res,0.15,-0.5,32410,0.14,0.15,-,,-,-,-,-1.27,-
0.078,0.004,-,-,CAHO,  opt jun10,0.065,,-,0.045,0.06,-,,-,-,-,-,-
0.089,0.005,-,-,CAHOB,  opt oct11,0.074,,-,0.057,0.085,-,,-,-,-,-,-
0.125,0.03,-,-,CYL,Catalyst Metals,0.10,,-,0.10,0.125,-,,-,-,-,-6.4,-
0.57,0.10,0.47,0.45,CXU,Cauldron Energy,0.46,0.5,2886,0.455,0.465,-,,-,-,-,-3.28,-
