ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"XAO 4734.1 at 2011-03-21T16:38:31. Report at Monday, March 21, 2011. Processed Friday at 2011-03-25.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio
0.59,0.075,0.51,0.5,BSE,Base Res,0.5,0.5,18527,0.5,0.505,-,,-,-,-,-4.34,-
0.505,0.155,0.395,0.395,BSM,Bass Metals,0.395,0.5,1486,0.395,0.4,-,,-,-,-,-0.3,-
0.05,0.022,0.039,0.037,BAS,Bass Strait Oil Co,0.037,-,1733,0.037,0.04,-,,-,-,-,-0.14,-
0.327,0.105,0.12,0.12,BSR,Bassari Res,0.12,-,2690,0.115,0.125,-,,-,-,-,-1.4,-
0.1,0.036,-,-,BSRO,  opt jun12,0.039,-,-,0.023,0.05,-,,-,-,-,-,-
1.22,0.057,1.12,1.04,BTU,Bathurst Res,1.12,3,32672,1.085,1.125,-,,-,-,-,-8.26,-
0.84,0.13,0.245,0.24,BAU,Bauxite Resources,0.24,-,2561,0.24,0.25,-,,-,-,-,-7.56,-
3.29,1.3,2.56,2.48,BCI,BC Iron,2.5,6,7424,2.46,2.55,-,,-,-,-,1.59,157.2
0.18,0.013,0.015,0.015,BCD,BCD Res,0.015,-,9007,0.014,0.015,-,,-,0.06,-,-3.09,-
0.955,0.595,0.895,0.87,BPT,Beach Energy,0.885,-,24157,0.88,0.89,1.75,f,-,1.2,1.98,-8.08,-
0.035,0.012,0.015,0.014,BCN,Beacon Minerals,0.015,-,22533,0.014,0.015,-,,-,-,-,-0.13,-
0.88,0.14,0.81,0.775,BDR,Beadell Resources,0.81,3,54544,0.795,0.815,-,,-,-,-,-4,-
1.93,0.74,0.95,0.875,BKY,Berkeley Res,0.92,2,36102,0.91,0.935,-,,-,-,-,-15.56,-
1.15,0.29,0.36,0.36,BKYO,  opt may13,0.36,6,100,0.32,0.45,-,,-,-,-,-,-
47.63,35.58,44.64,44.11,BHP,BHP Billiton,44.5,-6,70924,44.48,44.5,94.58,f,3.5,9.91,2.13,331.41,13.4
0.215,0.075,0.13,0.12,BFE,Black Fire Minerals,0.12,-,2546,0.12,0.13,-,,-,-,-,-1.27,-
0.26,0.2,-,-,BMZ,Black Mountain,0.22,-,-,0.2,0.22,-,,-,-,-,-,-
0.091,0.022,0.049,0.042,BLR,Black Range Min,0.049,0.9,76816,0.048,0.049,-,,-,-,-,-0.04,-
0.035,0.006,0.015,0.014,BRD,Black Ridge Min,0.014,-,21229,0.013,0.014,-,,-,-,-,-0.24,-
0.25,0.195,0.24,0.23,BGG,Blackgold Int'l,0.23,-,3799,0.215,0.24,-,,-,-,-,-,-
0.335,0.17,-,-,BLK,Blackham Res,0.24,-,-,0.23,0.235,-,,-,-,-,-0.89,-
0.12,0.02,-,-,BLKO,  opt oct11,0.029,-,-,0.03,0.039,-,,-,-,-,-,-
0.93,0.45,0.54,0.54,BTR,Blackthorn Res,0.54,-,78,0.53,0.55,-,,-,-,-,16.29,3.3
0.34,0.05,0.28,0.27,BWD,Blackwood Corp,0.275,-,830,0.275,0.285,-,,-,-,-,-23.57,-
0.014,0.005,0.006,0.006,BLZ,Blaze Int'l,0.006,0.1,8000,0.006,0.007,-,,-,-,-,-0.11,-
0.039,0.009,0.02,0.02,BDI,Blina Diamonds,0.02,-,4500,0.02,0.021,-,,-,-,-,-0.4,-
0.24,0.081,0.088,0.085,BUL,Blue Energy,0.087,0.3,5630,0.085,0.088,-,,-,-,-,-0.74,-
0.15,0.05,-,-,BOM,Bondi Min,0.1,-,-,0.1,0.11,-,,-,-,-,-0.45,-
0.24,0.027,0.16,0.13,BOE,Boss Energy,0.16,1,1766,0.155,0.16,-,,-,-,-,-1.34,-
0.166,0.039,0.1,0.098,BML,Botswana Metals,0.1,0.3,1173,0.1,0.105,-,,-,-,-,-1.26,-
0.068,0.034,0.045,0.045,BMLO,  opt jun13,0.045,0.3,400,0.045,0.05,-,,-,-,-,-,-
2.2,0.475,1.59,1.5,BOC,Bougainville Copper,1.5,-,438,1.41,1.53,-,,-,0.34,-,0.26,576.9
0.185,0.081,-,-,BGD,Boulder Steel,0.1,-,-,0.09,0.095,-,,-,0.02,-,-0.55,-
0.074,0.029,-,-,BGDO,  opt mar12,0.037,-,-,0.011,0.036,-,,-,-,-,-,-
0.125,0.033,0.038,0.036,BUY,Bounty Oil & Gas,0.038,0.2,36010,0.037,0.038,-,,-,-,-,-0.25,-
1.605,0.83,1.07,1.005,BOW,Bow Energy,1.02,3,28098,1,1.02,-,,-,-,-,-1.99,-
0.11,0.043,-,-,BWN,Bowen Energy,0.05,-,-,0.043,0.055,-,,-,-,-,-0.8,-
0.326,0.033,0.145,0.13,BMG,Brazilian Metal Grp,0.145,-0.5,230,0.13,0.145,-,,-,-,-,-3.08,-
0.21,0.1,0.105,0.105,BZL,BrazIron,0.105,0.5,100,0.105,0.14,-,,-,-,-,-,-
0.12,0.039,0.07,0.066,BRW,Breakaway Res,0.07,0.3,3975,0.065,0.07,-,,-,-,-,-9.08,-
0.21,0.075,0.155,0.145,BUT,Bright Star Res,0.145,-,1810,0.145,0.15,-,,-,-,-,-2.68,-
