ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
XAO 4877.7 at 16:36 18/3/2010  Report at 19:06 Thursday 18/3/2010. Processed 19:26 Thursday 18/3/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
0.19,0.075,0.18,0.18,BTV,Batavia Min,0.18,,4171,0.17,0.18,-,,-,-,-,0.3,60.0
0.095,0.012,0.085,0.083,BTVO,  opt jun12,0.085,,625,0.085,0.089,-,,-,-,-,-,-
0.155,0.045,-,-,BTU,Bathurst Res,0.077,,-,0.076,0.08,-,,-,-,-,-22.24,-
0.05,0.007,-,-,BTUO,  opt dec10,0.007,,-,0.001,0.10,-,,-,-,-,-,-
1.345,0.245,0.80,0.70,BAU,Bauxite Resource,0.79,5.5,5349,0.79,0.81,-,,-,-,-,-7.59,-
1.476,0.409,1.38,1.33,BCI,BC Iron Ltd,1.34,-4,870,1.33,1.34,-,,-,-,-,-2.65,-
0.21,0.089,0.093,0.09,BCD,BCD Res NL,0.09,,885,0.09,0.097,-,,-,0.09,-,3.05,3.0
1.04,0.655,0.75,0.735,BPT,Beach Energy Ltd,0.745,1.5,68389,0.74,0.745,1.75,p,9.17,1.27,2.35,16.05,4.6
0.047,0.001,0.004,0.004,BPTO,  opt jun10,0.004,,20,0.004,0.005,-,,-,-,-,-,-
0.034,0.004,0.031,0.03,BCN,Beacon Min,0.031,0.1,80791,0.031,0.032,-,,-,-,-,1.96,1.6
0.008,0.001,-,-,BCNO,  opt aug10,0.003,,-,0.002,0.003,-,,-,-,-,-,-
0.021,0.002,0.019,0.019,BCNOA,  opt aug10,0.019,,11300,0.019,0.02,-,,-,-,-,-,-
0.40,0.045,0.205,0.20,BDR,Beadell Resource,0.20,-0.5,1300,0.205,0.21,-,,-,-,-,-2.78,-
0.32,0.205,0.24,0.23,BDG,Bendigo Min Ltd,0.24,,10744,0.23,0.24,0.5,,6.40,0.15,2.08,3.2,7.5
1.50,0.487,1.29,1.225,BKY,Berkeley Res,1.24,-5.5,1249,1.225,1.295,-,,-,-,-,-8.92,-
0.76,0.40,0.61,0.61,BKYO,  opt may13,0.61,-1,450,0.61,0.64,-,,-,-,-,-,-
44.49,31.25,43.50,42.91,BHP,BHP Billiton Ltd,43.16,-14,152045,43.15,43.16,95.15,f,1.95,8.76,2.20,185.29,23.3
0.20,0.037,0.16,0.155,BFE,Black Fire Min,0.16,1,2300,0.16,0.165,-,,-,-,-,-3.48,-
0.038,0.002,0.019,0.017,BFEO,  opt jun10,0.019,0.3,1500,0.016,0.019,-,,-,-,-,-,-
0.105,0.033,0.045,0.043,BLR,Black Range Min,0.043,-0.1,5600,0.044,0.045,-,,-,-,-,-0.48,-
0.07,0.016,-,-,BLRO,  opt feb11,0.025,,-,0.01,0.02,-,,-,-,-,-,-
0.018,0.003,-,-,BRD,Black Ridge Min,0.009,,-,0.006,0.009,-,,-,-,-,-0.26,-
0.005,0.001,-,-,BRDOA,  opt nov10,0.001,,-,0.001,0.002,-,,-,-,-,-,-
0.44,0.087,0.295,0.29,BLK,Blackham Res,0.29,-1,270,0.28,0.30,-,,-,-,-,-2.27,-
0.14,0.06,0.09,0.09,BLKO,  opt oct11,0.09,,500,0.08,0.10,-,,-,-,-,-,-
1.025,0.15,0.80,0.77,BTR,Blackthorn Res,0.795,1,3043,0.775,0.795,-,,-,-,-,-9.47,-
0.018,0.003,-,-,BLZ,Blaze Intl,0.009,,-,0.01,0.011,-,,-,-,-,-0.07,-
0.002,0.002,-,-,BLZO,  opt aug10,0.002,,-,0.001,0.004,-,,-,-,-,-,-
0.04,0.01,0.012,0.011,BDI,Blina Diamonds NL,0.012,0.1,49061,0.011,0.012,-,,-,-,-,-11.3,-
0.335,0.15,0.21,0.20,BUL,Blue Energy Ltd,0.20,,20259,0.195,0.205,-,,-,-,-,-2.16,-
0.175,0.04,-,-,BOM,Bondi Min Ltd,0.075,,-,0.077,0.08,-,,-,-,-,-5.48,-
0.069,0.039,-,-,BOE,Boss Energy Ltd,0.042,,-,0.036,0.05,-,,-,-,-,-4.42,-
0.01,0.001,-,-,BOEO,  opt nov10,0.001,,-,0.001,-,-,,-,-,-,-,-
0.185,0.025,0.084,0.078,BML,Botswana Metals,0.084,0.6,3161,0.08,0.084,-,,-,-,-,-0.67,-
0.81,0.45,0.49,0.47,BOC,Bougainville Copper,0.48,,985,0.45,0.48,-,,-,0.38,-,0.9,53.3
0.38,0.018,0.19,0.185,BGD,Boulder Steel,0.185,,1550,0.18,0.185,-,,-,0.02,-,-1.77,-
0.18,0.01,0.078,0.074,BGDO,  opt mar12,0.078,0.4,642,0.066,0.079,-,,-,-,-,-,-
0.178,0.016,0.09,0.083,BUY,Bounty Oil & Gas,0.084,-1,56292,0.083,0.084,-,,-,-,-,1.9,4.4
1.60,0.71,1.37,1.35,BOW,Bow Energy Ltd,1.36,1,14125,1.355,1.365,-,,-,-,-,4.42,30.8
0.19,0.065,-,-,BWN,Bowen Energy Ltd,0.08,,-,0.077,0.08,-,,-,-,-,-15.1,-
0.136,0.038,0.056,0.056,BRW,Breakaway Res,0.056,,300,0.056,0.057,-,,-,-,-,-0.5,-
3.95,1.00,3.85,3.76,BRM,Brockman Res,3.80,2,748,3.76,3.82,-,,-,-,-,-14.9,-
0.191,0.035,0.165,0.14,BMY,Brumby Res,0.145,1,47464,0.145,0.15,-,,-,-,-,-3.2,-
-,-,-,-,BMYNA,  def,-,,-,-,-,-,,-,-,-,-,-
-,-,-,-,BMYOA,  optsep11d,-,,-,0.07,-,-,,-,-,-,-,-
0.17,0.029,0.088,0.084,BCC,Buccaneer Energy,0.086,,37000,0.086,0.087,-,,-,-,-,-6.33,-
0.105,0.007,0.058,0.057,BCCO,  opt nov12,0.057,,2808,0.056,0.059,-,,-,-,-,-,-
0.058,0.016,0.052,0.05,BYR,Burey Gold Ltd,0.05,,10555,0.051,0.053,-,,-,-,-,-0.57,-
0.087,0.035,0.063,0.061,BUR,Burleson Energy,0.063,0.2,4172,0.062,0.063,-,,-,-,-,-1.75,-
-,-,-,-,BURN,  def,-,,-,-,-,-,,-,-,-,-,-
0.015,0.003,0.006,0.006,BURO,  opt aug10,0.006,0.1,250,0.006,0.01,-,,-,-,-,-,-
0.30,0.155,0.26,0.25,BRU,Buru Energy,0.26,0.5,708,0.245,0.26,-,,-,-,-,11.57,2.2
0.024,0.003,0.009,0.009,BRUO,  opt oct10,0.009,,46,0.009,0.012,-,,-,-,-,-,-
0.11,0.03,0.093,0.093,BUX,Buxton Res Ltd,0.093,,100,0.093,0.099,-,,-,-,-,-0.75,-
1.35,0.40,0.76,0.76,CCD,Caledon Res cdi,0.76,-5,60,0.755,0.81,-,,-,0.41,-,-5.4,-
0.031,0.006,0.013,0.013,CUU,Callabonna Uranium,0.013,,2000,0.012,0.013,-,,-,0.01,-,-0.9,-
0.55,0.34,-,-,CBX,Cape Alumina Ltd,0.49,,-,0.47,0.50,-,,-,-,-,-0.54,-
0.635,0.24,0.485,0.475,CFE,Cape Lambert Res,0.475,,23189,0.475,0.48,-,,-,-,-,10.88,4.4
0.10,0.036,-,-,CMY,Capital Min,0.038,,-,0.037,0.04,-,,-,-,-,-0.62,-
0.028,0.002,-,-,CMYO,  opt oct10,0.005,,-,0.001,0.01,-,,-,-,-,-,-
0.035,0.015,-,-,CMYOA,  opt jul11,0.02,,-,0.014,0.035,-,,-,-,-,-,-
0.25,0.02,0.24,0.215,CRB,Carbine Res,0.22,-1.5,350,0.22,0.235,-,,-,-,-,-9.01,-
