ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
XAO 4651.4 at 16:47 11/12/2009  Report at 19:05 Friday 11/12/2009. Processed 19:02 Sunday 13/12/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
2.26,1.415,1.885,1.84,AVO,Avoca Res,1.88,3.5,13200,1.865,1.90,-,,-,0.61,-,-6.97,-
0.17,0.026,-,-,AVZ,Avonlea Min,0.12,,-,0.105,0.12,-,,-,-,-,-5.2,-
3.06,2.11,2.73,2.60,AWE,AWE Ltd,2.71,11,23192,2.70,2.71,-,,-,1.80,-,17.36,15.6
0.04,0.015,-,-,AXC,AXG Min Ltd,0.025,,-,0.025,0.027,-,,-,-,-,-1.4,-
0.006,0.001,-,-,AXCO,  opt aug10,0.002,,-,0.001,0.005,-,,-,-,-,-,-
0.031,0.011,0.015,0.015,AVQ,Axiom Min Ltd cdi,0.015,,1660,0.014,0.02,-,,-,-,-,-9.67,-
0.325,0.05,0.265,0.25,AZM,Azumah Res,0.26,0.5,3008,0.25,0.26,-,,-,-,-,-2.8,-
0.113,0.036,0.051,0.045,AZS,Azure Min,0.045,-0.6,4220,0.045,0.05,-,,-,-,-,-1.9,-
0.66,0.165,0.54,0.525,BND,Bandanna Energy,0.54,1.5,88,0.51,0.54,-,,-,-,-,-0.22,-
1.485,0.555,1.155,1.135,BMN,Bannerman Res,1.15,,2034,1.145,1.15,-,,-,-,-,-6.22,-
0.03,0.003,0.007,0.006,BKP,Baraka Pet,0.007,,50783,0.006,0.007,-,,-,-,-,-0.15,-
0.22,0.041,0.089,0.088,BAR,Barra Res,0.088,-0.1,1267,0.088,0.089,-,,-,-,-,-1.78,-
0.04,0.002,-,-,BARO,  opt dec10,0.007,,-,0.007,0.01,-,,-,-,-,-,-
0.13,0.045,0.12,0.12,BSE,Base Iron Ltd,0.12,,100,0.105,0.125,-,,-,-,-,-3.53,-
0.349,0.089,0.245,0.24,BSM,Bass Metals Ltd,0.245,1,4789,0.235,0.245,-,,-,-,-,18.46,1.3
0.08,0.02,-,-,BSMOA,  opt apr10,0.065,,-,0.002,0.059,-,,-,-,-,-,-
0.068,0.013,0.034,0.033,BAS,Bass Strait Oil Co,0.033,,10810,0.032,0.034,-,,-,-,-,-0.7,-
0.42,0.03,0.33,0.315,BSR,Bassari Res,0.32,-1,970,0.32,0.33,-,,-,-,-,-0.9,-
0.124,0.06,-,-,BTV,Batavia Min,0.11,,-,0.11,0.12,-,,-,-,-,4.8,2.3
0.05,0.008,-,-,BTVO,  opt jun12,0.042,,-,0.035,0.041,-,,-,-,-,-,-
1.345,0.165,0.785,0.76,BAU,Bauxite Resource,0.785,2.5,1477,0.785,0.795,-,,-,-,-,-4.4,-
1.476,0.19,1.08,1.04,BCI,BC Iron Ltd,1.04,-1,1736,1.04,1.06,-,,-,-,-,-2.2,-
0.21,0.105,0.13,0.125,BCD,BCD Res NL,0.125,-1,456,0.125,0.13,-,,-,0.09,-,2.29,5.5
0.956,0.678,0.87,0.835,BPT,Beach Pet,0.87,3.5,55681,0.86,0.87,1.75,p,14.41,-,2.01,25.21,3.5
0.052,0.012,0.014,0.014,BPTO,  opt jun10,0.014,-0.2,7,0.014,0.018,-,,-,-,-,-,-
0.034,0.003,0.027,0.022,BCN,Beacon Min,0.024,-0.4,406136,0.023,0.024,-,,-,-,-,-3.44,-
0.015,0.001,-,-,BCNO,  opt aug10,0.002,,-,0.002,0.004,-,,-,-,-,-,-
0.021,0.001,0.018,0.013,BCNOA,  opt aug10,0.014,-0.4,187104,0.014,0.015,-,,-,-,-,-,-
0.26,0.041,0.24,0.21,BDR,Beadell Resource,0.225,-0.5,12133,0.225,0.25,-,,-,-,-,-4,-
0.32,0.135,0.245,0.23,BDG,Bendigo Min Ltd,0.24,0.5,5136,0.24,0.245,0.5,,3.40,0.15,2.08,1.7,14.1
1.50,0.20,1.245,1.18,BKY,Berkeley Res,1.18,-3.5,7375,1.18,1.23,-,,-,-,-,-9.47,-
0.76,0.40,-,-,BKYO,  opt may13,0.55,,-,0.55,-,-,,-,-,-,-,-
42.47,26.64,40.50,40.02,BHP,BHP Billiton Ltd,40.50,54,93784,40.43,40.50,113.63,f,1.15,8.84,2.81,130.15,31.1
0.20,0.025,0.125,0.12,BFE,Black Fire Min,0.12,,5100,0.12,0.13,-,,-,-,-,-3.48,-
0.038,0.002,-,-,BFEO,  opt jun10,0.019,,-,0.017,0.022,-,,-,-,-,-,-
0.105,0.016,0.046,0.043,BLR,Black Range Min,0.043,,2460,0.043,0.044,-,,-,-,-,-0.48,-
