ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
XAO 4776.7 at 16:47 2/12/2009  Report at 19:05 Wednesday 2/12/2009. Processed 19:32 Wednesday 2/12/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
0.145,0.027,0.098,0.091,BRW,Breakaway Res,0.091,-0.2,1325,0.091,0.097,-,,-,-,-,-3.37,-
2.23,0.46,2.10,2.00,BRM,Brockman Res,2.05,10,1485,2.01,2.05,-,,-,-,-,-11.1,-
0.193,0.031,0.067,0.062,BMY,Brumby Res,0.067,0.3,2077,0.063,0.067,-,,-,-,-,-3.5,-
0.10,0.01,-,-,BMYO,  opt jan10,0.01,,-,0.004,0.01,-,,-,-,-,-,-
0.17,0.027,0.135,0.125,BCC,Buccaneer Energy,0.125,-1,39020,0.125,0.13,-,,-,-,-,-8.94,-
0.105,0.007,0.064,0.059,BCCO,  opt nov12,0.059,-0.2,65239,0.059,0.06,-,,-,-,-,-,-
0.125,0.038,-,-,BKG,Buka Gold Ltd,0.086,,-,0.083,0.09,-,,-,-,-,-11.14,-
0.043,0.006,-,-,BYR,Burey Gold Ltd,0.03,,-,0.03,0.033,-,,-,-,-,-0.6,-
0.09,0.036,0.08,0.078,BUR,Burleson Energy,0.078,-0.2,263,0.067,0.078,-,,-,-,-,-2.7,-
0.015,0.003,-,-,BURO,  opt aug10,0.007,,-,0.007,0.012,-,,-,-,-,-,-
0.245,0.155,0.215,0.195,BRU,Buru Energy,0.21,1.5,5743,0.20,0.205,-,,-,-,-,-28.46,-
0.035,0.003,0.009,0.006,BRUO,  opt oct10,0.009,0.3,1594,0.007,0.008,-,,-,-,-,-,-
0.073,0.026,0.065,0.065,BUX,Buxton Res Ltd,0.065,0.6,250,0.059,0.065,-,,-,-,-,-1.2,-
1.35,0.20,1.005,0.99,CCD,Caledon Res cdi,0.99,-0.5,1423,0.99,1.02,-,,-,0.42,-,5.98,16.6
0.031,0.003,0.021,0.02,CUU,Callabonna Uranium,0.021,0.1,12948,0.021,0.022,-,,-,-,-,-0.6,-
0.55,0.34,-,-,CBX,Cape Alumina Ltd,0.40,,-,0.40,0.52,-,,-,-,-,-,-
0.575,0.18,0.545,0.525,CFE,Cape Lambert Res,0.54,1.5,25071,0.54,0.545,-,,-,-,-,47.27,1.1
0.10,0.037,0.069,0.056,CMY,Capital Min,0.056,-1,3988,0.056,0.065,-,,-,-,-,-0.67,-
0.028,0.002,-,-,CMYO,  opt oct10,0.011,,-,0.002,0.01,-,,-,-,-,-,-
0.035,0.015,-,-,CMYOA,  opt jul11,0.025,,-,0.026,0.03,-,,-,-,-,-,-
0.10,0.02,-,-,CRB,Carbine Res,0.08,,-,0.075,0.095,-,,-,-,-,-9.01,-
0.885,0.20,0.705,0.69,CNX,Carbon Energy,0.705,0.5,8414,0.695,0.71,-,,-,-,-,-3.11,-
3.60,1.40,-,-,CRM,Carbon Min Ltd,3.20,,-,2.10,3.40,-,,-,-,-,-0.66,-
0.885,0.25,0.52,0.51,CVN,Carnarvon Pet,0.52,1,31122,0.51,0.52,-,,-,0.07,-,5.4,9.6
0.20,0.07,0.13,0.13,CAV,Carnavale Res,0.13,-2,600,0.12,0.15,-,,-,-,-,-6.2,-
0.195,0.044,0.045,0.045,CPN,Carpathian Res,0.045,,250,0.043,0.056,-,,-,-,-,-0.22,-
0.27,0.024,0.135,0.13,CAP,Carpentaria Exp,0.135,0.5,300,0.13,0.135,-,,-,-,-,-2.21,-
0.035,0.003,0.02,0.02,CAPO,  opt jun10,0.02,0.3,39,0.021,0.026,-,,-,-,-,-,-
1.09,0.495,1.09,1.05,CRK,Carrick Gold Ltd,1.09,9,550,1.09,1.095,-,,-,-,-,-1.12,-
0.028,0.008,0.013,0.012,CIG,Caspian Oil & Gas,0.012,-0.1,21124,0.012,0.013,-,,-,-,-,-0.5,-
0.32,0.09,0.30,0.29,CDT,Castle Min,0.29,,352,0.29,0.30,-,,-,-,-,-3.3,-
0.085,0.032,-,-,CGT,Castlemaine,0.04,,-,0.037,0.04,-,,-,-,-,-0.49,-
1.775,1.70,1.775,1.75,CAHDA,Catalpa Res def,1.75,5,464,1.73,1.75,-,,-,-,-,-1.27,-
0.75,0.75,0.75,0.75,CAHDB,  optjun10d,0.75,,90,0.37,0.75,-,,-,-,-,-,-
0.78,0.78,0.78,0.78,CAHDC,  optoct11d,0.78,,184,0.78,1.15,-,,-,-,-,-,-
0.125,0.03,0.125,0.105,CYL,Catalyst Metals,0.105,,200,0.105,0.125,-,,-,-,-,-6.4,-
