ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
XAO 4277.8 at 16:37 7/7/2010  Report at 19:05 Wednesday 7/7/2010. Processed 09:34 Thursday 8/7/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
0.005,0.001,-,-,AXCO,  opt aug10,0.001,,-,-,0.001,-,,-,-,-,-,-
0.045,0.011,-,-,AVQ,Axiom Min Ltd cdi,0.02,,-,0.02,0.024,-,,-,-,-,0.29,6.9
0.53,0.10,0.415,0.385,AZM,Azumah Res,0.385,-1.5,4381,0.385,0.395,-,,-,-,-,-2.5,-
0.111,0.033,0.047,0.046,AZS,Azure Min,0.046,,2283,0.045,0.046,-,,-,-,-,-0.78,-
0.97,0.35,0.595,0.585,BND,Bandanna Energy,0.585,,107,0.56,0.585,-,,-,-,-,-0.73,-
1.43,0.24,0.275,0.265,BMN,Bannerman Res,0.27,,2960,0.27,0.275,-,,-,-,-,-7.84,-
0.03,0.003,-,-,BKP,Baraka Pet,0.003,,-,0.003,0.004,-,,-,-,-,-0.03,-
0.22,0.045,0.066,0.057,BAR,Barra Res,0.06,-0.4,17462,0.06,0.063,-,,-,-,-,-1.89,-
0.029,0.001,-,-,BARO,  opt dec10,0.005,,-,0.001,0.013,-,,-,-,-,-,-
0.16,0.06,-,-,BSE,Base Res Ltd,0.087,,-,0.08,0.09,-,,-,-,-,-2.4,-
0.349,0.155,0.17,0.17,BSM,Bass Metals Ltd,0.17,,1620,0.165,0.17,-,,-,-,-,13.32,1.3
0.068,0.022,0.027,0.027,BAS,Bass Strait Oil Co,0.027,-0.2,517,0.029,0.034,-,,-,-,-,-0.62,-
0.44,0.084,0.21,0.21,BSR,Bassari Res,0.21,1,200,0.205,0.21,-,,-,-,-,-1.33,-
0.375,0.093,0.18,0.165,BTV,Batavia Min,0.175,-1.5,4213,0.17,0.18,-,,-,-,-,0.3,58.3
0.21,0.03,0.09,0.09,BTVO,  opt jun12,0.09,0.9,1000,0.07,0.11,-,,-,-,-,-,-
0.205,0.046,0.18,0.155,BTU,Bathurst Res,0.175,2.5,4781,0.17,0.175,-,,-,-,-,-16.7,-
0.05,0.007,-,-,BTUO,  opt dec10,0.031,,-,0.031,0.07,-,,-,-,-,-,-
1.345,0.13,0.15,0.13,BAU,Bauxite Resource,0.14,,10839,0.135,0.14,-,,-,-,-,-7.59,-
2.23,0.93,1.665,1.63,BCI,BC Iron Ltd,1.64,1,700,1.64,1.65,-,,-,-,-,-2.65,-
0.18,0.085,0.12,0.11,BCD,BCD Res NL,0.12,1,2892,0.12,0.125,-,,-,0.09,-,3.05,3.9
