ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
XAO 4929.5 at 16:35 15/1/2010  Report at 19:05 Friday 15/1/2010. Processed 19:23 Friday 15/1/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
0.349,0.089,0.28,0.265,BSM,Bass Metals Ltd,0.265,-2.5,14791,0.265,0.275,-,,-,-,-,18.46,1.4
0.08,0.02,-,-,BSMOA,  opt apr10,0.04,,-,0.03,0.04,-,,-,-,-,-,-
0.068,0.013,0.044,0.04,BAS,Bass Strait Oil Co,0.044,0.4,32617,0.042,0.044,-,,-,-,-,-0.7,-
0.43,0.039,0.41,0.40,BSR,Bassari Res,0.41,0.5,937,0.38,0.41,-,,-,-,-,-0.9,-
0.19,0.062,0.165,0.16,BTV,Batavia Min,0.16,-1,5387,0.16,0.165,-,,-,-,-,4.8,3.3
0.08,0.011,-,-,BTVO,  opt jun12,0.08,,-,0.075,0.08,-,,-,-,-,-,-
1.345,0.18,1.01,1.00,BAU,Bauxite Resource,1.00,,1856,0.99,1.00,-,,-,-,-,-4.4,-
1.476,0.299,1.31,1.29,BCI,BC Iron Ltd,1.30,0.5,2068,1.295,1.30,-,,-,-,-,-2.2,-
0.21,0.105,0.12,0.12,BCD,BCD Res NL,0.12,-0.5,860,0.12,0.125,-,,-,0.09,-,2.29,5.2
1.04,0.678,0.995,0.97,BPT,Beach Energy Ltd,0.97,-2.5,34842,0.97,0.975,1.75,p,14.41,-,1.80,25.21,3.8
0.047,0.012,0.016,0.015,BPTO,  opt jun10,0.016,0.1,144,0.015,0.018,-,,-,-,-,-,-
0.034,0.003,0.031,0.028,BCN,Beacon Min,0.029,-0.1,688355,0.029,0.03,-,,-,-,-,-3.44,-
0.015,0.001,-,-,BCNO,  opt aug10,0.003,,-,0.002,0.004,-,,-,-,-,-,-
0.021,0.001,0.019,0.017,BCNOA,  opt aug10,0.019,,62054,0.018,0.019,-,,-,-,-,-,-
0.40,0.041,0.335,0.315,BDR,Beadell Resource,0.315,-2,5185,0.315,0.35,-,,-,-,-,-4,-
0.32,0.135,0.275,0.25,BDG,Bendigo Min Ltd,0.26,-1.5,14724,0.25,0.26,0.5,,3.40,0.15,1.92,1.7,15.3
1.50,0.234,1.35,1.32,BKY,Berkeley Res,1.33,-3.5,2491,1.32,1.34,-,,-,-,-,-9.47,-
0.76,0.40,-,-,BKYO,  opt may13,0.60,,-,0.60,0.65,-,,-,-,-,-,-
44.49,26.64,43.68,43.28,BHP,BHP Billiton Ltd,43.65,-13,141084,43.58,43.65,113.63,f,1.15,8.84,2.60,130.15,33.5
0.20,0.025,0.15,0.145,BFE,Black Fire Min,0.15,,1940,0.145,0.15,-,,-,-,-,-3.48,-
0.038,0.002,-,-,BFEO,  opt jun10,0.019,,-,0.019,0.024,-,,-,-,-,-,-
0.105,0.024,0.052,0.052,BLR,Black Range Min,0.052,-0.1,9850,0.051,0.052,-,,-,-,-,-0.48,-
0.07,0.008,-,-,BLRO,  opt feb11,0.032,,-,0.024,0.033,-,,-,-,-,-,-
0.44,0.064,0.32,0.32,BLK,Blackham Res,0.32,2,1000,0.295,0.32,-,,-,-,-,-1.4,-
0.14,0.06,-,-,BLKO,  opt oct11,0.10,,-,0.11,0.13,-,,-,-,-,-,-
1.025,0.071,1.02,0.96,BTR,Blackthorn Res,0.975,-1,2986,0.96,0.99,-,,-,-,-,-67.49,-
0.04,0.01,-,-,BDI,Blina Diamonds NL,0.013,,-,0.012,0.014,-,,-,-,-,-11.3,-
0.335,0.125,0.24,0.23,BUL,Blue Energy Ltd,0.235,,7019,0.23,0.235,-,,-,-,-,-1.48,-
0.175,0.04,0.13,0.125,BOM,Bondi Min Ltd,0.125,-2,200,0.13,0.135,-,,-,-,-,-3.22,-
0.08,0.04,-,-,BOE,Boss Energy Ltd,0.05,,-,0.046,0.055,-,,-,-,-,-11.82,-
0.01,0.001,-,-,BOEO,  opt nov10,0.004,,-,0.001,-,-,,-,-,-,-,-
0.052,0.02,0.039,0.039,BML,Botswana Metals,0.039,,750,0.039,0.04,-,,-,-,-,-0.67,-
0.85,0.46,0.70,0.665,BOC,Bougainville Copper,0.70,3.5,128,0.665,0.70,-,,-,0.37,-,-0.44,-
0.38,0.018,0.195,0.19,BGD,Boulder Steel,0.19,,1866,0.19,0.20,-,,-,-,-,-1.6,-
0.18,0.01,0.095,0.095,BGDO,  opt mar12,0.095,,680,0.095,0.105,-,,-,-,-,-,-
0.178,0.016,0.115,0.10,BUY,Bounty Oil & Gas,0.10,-0.5,85342,0.10,0.105,-,,-,-,-,1.08,9.3
1.60,0.252,1.445,1.39,BOW,Bow Energy Ltd,1.41,-0.5,6389,1.405,1.415,-,,-,-,-,-0.46,-
0.19,0.05,0.11,0.11,BWN,Bowen Energy Ltd,0.11,1.5,55,0.10,0.11,-,,-,-,-,-6.5,-
0.136,0.036,0.07,0.064,BRW,Breakaway Res,0.07,0.6,3097,0.066,0.07,-,,-,-,-,-3.37,-
2.86,0.81,2.75,2.67,BRM,Brockman Res,2.71,-4,5446,2.68,2.72,-,,-,-,-,-11.1,-
0.193,0.031,0.115,0.094,BMY,Brumby Res,0.095,-1.5,32010,0.095,0.099,-,,-,-,-,-3.5,-
0.10,0.001,0.002,0.002,BMYO,  opt jan10,0.002,,17500,0.001,0.002,-,,-,-,-,-,-
0.17,0.027,0.13,0.12,BCC,Buccaneer Energy,0.13,0.5,64008,0.125,0.13,-,,-,-,-,-8.94,-
0.105,0.007,0.082,0.078,BCCO,  opt nov12,0.08,-0.2,30623,0.08,0.082,-,,-,-,-,-,-
0.19,0.038,0.19,0.16,BKG,Buka Gold Ltd,0.185,3.5,7267,0.175,0.19,-,,-,-,-,-2.47,-
0.045,0.01,0.04,0.04,BYR,Burey Gold Ltd,0.04,0.2,7040,0.039,0.041,-,,-,-,-,-0.6,-
0.09,0.036,-,-,BUR,Burleson Energy,0.063,,-,0.063,0.066,-,,-,-,-,-2.7,-
0.015,0.003,0.009,0.007,BURO,  opt aug10,0.007,-0.2,250,0.007,0.01,-,,-,-,-,-,-
0.275,0.155,0.265,0.25,BRU,Buru Energy,0.26,1,3672,0.26,0.265,-,,-,-,-,-28.46,-
0.024,0.003,0.007,0.006,BRUO,  opt oct10,0.007,0.1,81,0.007,0.008,-,,-,-,-,-,-
0.09,0.026,-,-,BUX,Buxton Res Ltd,0.09,,-,0.085,0.095,-,,-,-,-,-1.2,-
1.35,0.27,0.785,0.76,CCD,Caledon Res cdi,0.775,0.5,540,0.77,0.79,-,,-,0.42,-,5.98,13.0
0.031,0.003,0.019,0.017,CUU,Callabonna Uranium,0.017,,9271,0.017,0.018,-,,-,-,-,-0.6,-
