ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4456.7 at 16:38 15/7/2010  Report at 19:06 Thursday 15/7/2010!. Processed 12:59 Friday 16/7/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""EWC",Energy World Corporation,FPO,"3,452,166","268,660",7.78,2.19,"1,561,166,672","0.01""",,,,,,,,,
"""AWE",AWE ,FPO,"2,507,968","193,389",7.71,-0.89,"521,871,941","0.03""",,,,,,,,,
"""CAB",Cabcharge Australia ,FPO,"253,698","19,563",7.71,-1.06,"120,437,014","0.01""",,,,,,,,,
"""HIL",Hills Industries ,FPO,"215,739","16,562",7.67,0.00,"248,219,660","0.00""",,,,,,,,,
"""PRU",Perseus Mining ,FPO,"788,529","58,644",7.43,-0.87,"419,232,088","0.01""",,,,,,,,,
"""COH",Cochlear ,FPO,"172,372","12,774",7.41,0.63,"56,543,401","0.02""",,,,,,,,,
"""GFF",Goodman Fielder,FPO,"1,781,586","130,956",7.35,-1.11,"1,380,386,438","0.00""",,,,,,,,,
"""TCL",Transurban Group,STAPLED,"20,224,616","1,476,228",7.29,2.72,"1,414,667,986","0.10""",,,,,,,,,
"""AIO",Asciano Group,STAPLED,"6,828,963","490,879",7.18,-0.29,"2,926,103,883","0.01""",,,,,,,,,
"""CHC",Charter Hall Group,FORUS,"1,482,316","106,440",7.18,0.81,"1,212,723,832","0.00""",,,,,,,,,
"""SPN",SP AusNet,STAPLED,"3,475,552","238,617",6.86,0.62,"2,748,353,504","0.00""",,,,,,,,,
"""ESG",Eastern Star Gas ,FPO,"2,306,467","153,047",6.63,-1.13,"872,224,422","0.01""",,,,,,,,,
"""TRS",The Reject Shop ,FPO,"37,611","2,495",6.63,-1.80,"26,033,570","0.01""",,,,,,,,,
"""SGT",Singapore Telecom,CDI,"1,708,922","111,477",6.52,-1.90,"440,346,022","0.02""",,,,,,,,,
"""PAN",Panoramic Resources ,FPO,"651,147","42,243",6.48,0.43,"205,262,842","0.02""",,,,,,,,,
"""CTX",Caltex Australia ,FPO,"452,218","28,445",6.29,-0.80,"270,000,000","0.01""",,,,,,,,,
"""SAI",SAI Global ,FPO,"105,436","6,599",6.25,-1.26,"159,602,639","0.00""",,,,,,,,,
"""BRG",Breville Group ,FPO,"16,203","1,000",6.17,0.00,"129,515,322","0.00""",,,,,,,,,
"""AXA",AXA Asia Pacific ,FPO,"2,727,431","163,290",5.98,-0.55,"2,067,095,545","0.00""",,,,,,,,,
"""IAU",Intrepid Mines ,FPO,"833,704","49,700",5.96,-4.31,"429,781,466","0.01""",,,,,,,,,
"""AAD",Ardent Leisure Group,STAPLED,"934,601","55,448",5.93,-2.32,"309,109,468","0.01""",,,,,,,,,
"""ABP",Abacus Property Group,STAPLED,"2,460,517","145,019",5.89,0.00,"1,813,551,794","0.00""",,,,,,,,,
"""CPB",Campbell Brothers ,FPO,"39,159","2,256",5.76,0.03,"63,517,495","0.00""",,,,,,,,,
"""NWSLV",News Corporation,A NONVOTE,"548,378","31,600",5.76,-1.31,"1,824,471,392","0.00""",,,,,,,,,
"""BPT",Beach Energy ,FPO,"4,141,042","231,103",5.58,-1.40,"1,092,548,972","0.02""",,,,,,,,,
"""TPM",TPG Telecom ,FPO,"135,877","7,565",5.56,0.00,"767,849,104","0.00""",,,,,,,,,
"""IOF",ING Office Fund,STAPLED,"8,400,280","464,349",5.52,-0.82,"2,729,071,212","0.01""",,,,,,,,,
"""AGO",Atlas Iron ,FPO,"2,399,821","131,244",5.46,-2.34,"473,773,816","0.02""",,,,,,,,,
"""QBE",QBE Insurance Group ,FPO,"14,645,562","780,487",5.32,2.47,"1,035,064,820","0.07""",,,,,,,,,
"""ALS",Alesco Corporation ,FPO,"860,981","43,208",5.01,0.00,"94,193,403","0.04""",,,,,,,,,
"""CEU",ConnectEast Group,STAPLED,"15,435,209","770,957",4.99,5.19,"3,940,145,951","0.02""",,,,,,,,,
"""MOL",Moly Mines ,FPO,"213,768","10,500",4.91,0.83,"363,916,323","0.00""",,,,,,,,,
"""WESN",Wesfarmers ,PART PROT,"195,929","9,533",4.86,-1.70,"151,904,499","0.00""",,,,,,,,,
"""DJW",Djerriwarrh Investments ,FPO,"127,476","6,000",4.70,-3.25,"212,420,146","0.00""",,,,,,,,,
"""PLA",Platinum Australia ,FPO,"491,719","23,018",4.68,-0.65,"321,130,521","0.00""",,,,,,,,,
"""GWT",GWA International ,FPO,"587,960","26,913",4.57,0.00,"301,102,514","0.00""",,,,,,,,,
"""AIX",Australian Infrastructure Fund,UNT/ORD,"1,463,085","61,741",4.22,0.00,"620,733,944","0.01""",,,,,,,,,
"""CWN",Crown ,FPO,"584,513","23,813",4.07,-1.14,"753,555,290","0.00""",,,,,,,,,
"""TAP",Tap Oil ,FPO,"169,169","6,805",4.02,1.74,"156,485,921","0.00""",,,,,,,,,
"""CFU",Ceramic Fuel Cells ,FPO,"1,287,606","50,000",3.88,0.00,"1,029,873,280","0.00""",,,,,,,,,
"""HGO",Hillgrove Resources ,FPO,"275,409","10,595",3.84,0.00,"481,553,890","0.00""",,,,,,,,,
"""VBA",Virgin Blue Holdings ,FPO,"7,009,913","269,009",3.83,0.00,"2,209,126,568","0.01""",,,,,,,,,
"""GUD",GUD Holdings ,FPO,"159,280","6,075",3.81,-0.92,"65,885,213","0.00""",,,,,,,,,
"""CNA",Coal & Allied Industries ,FPO,"23,466",883,3.76,-2.32,"86,584,735","0.00""",,,,,,,,,
"""CMW",Cromwell Group,STAPLED,"568,375","20,500",3.60,0.00,"807,834,934","0.00""",,,,,,,,,
"""FML",Focus Minerals,FPO,"6,762,989","240,000",3.54,-2.00,"2,865,543,210","0.00""",,,,,,,,,
"""SSM",Service Stream ,FPO,"734,974","26,001",3.53,1.66,"283,418,867","0.00""",,,,,,,,,
"""LLC",Lend Lease Group,STAPLED,"965,525","33,721",3.49,0.53,"565,558,754","0.00""",,,,,,,,,
"""COF",Coffey International ,FPO,"143,701","4,776",3.32,0.44,"129,035,760","0.00""",,,,,,,,,
