ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4686.8 at 16:34 17/2/2010  Report at 19:05 Wednesday 17/2/2010. Processed 12:10 Thursday 18/2/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""TRS",The Reject Shop ,FPO,"248,056","21,782",8.78,5.47,"25,973,070","0.08""",,,,,,,,,
"""SIP",Sigma Pharmaceuticals ,FPO,"2,118,745","185,296",8.74,0.00,"1,178,626,572","0.01""",,,,,,,,,
"""CWE",Carnegie Wave Energy ,FPO,"1,083,345","94,258",8.70,0.00,"565,237,627","0.01""",,,,,,,,,
"""EXS",Exco Resources ,FPO,"431,061","37,475",8.69,-4.08,"326,065,892","0.01""",,,,,,,,,
"""OSH",Oil Search ,FPO 10T,"3,669,355","318,213",8.67,2.12,"1,299,562,220","0.02""",,,,,,,,,
"""WTF",Wotif.Com Holdings ,FPO,"671,044","58,012",8.64,6.54,"208,918,744","0.02""",,,,,,,,,
"""AGK",AGL Energy ,FPO,"865,553","74,585",8.61,0.00,"448,868,339","0.01""",,,,,,,,,
"""MQA",Macquarie Atlas Roads Group,STAPLED,"2,977,867","255,942",8.59,0.00,"452,345,907","0.05""",,,,,,,,,
"""CGF",Challenger Financial Services,FPO,"2,374,269","203,078",8.55,3.26,"517,504,767","0.03""",,,,,,,,,
"""BOW",Bow Energy ,FPO,"262,833","22,399",8.52,1.86,"279,035,702","0.00""",,,,,,,,,
"""FLT",Flight Centre ,FPO,"328,817","27,637",8.40,1.84,"99,755,858","0.02""",,,,,,,,,
"""CXP",Corporate Express Australia,FPO,"125,545","10,303",8.20,0.46,"168,132,810","0.00""",,,,,,,,,
"""ABP",Abacus Property Group,STAPLED,"5,731,411","465,886",8.12,1.37,"1,751,297,420","0.02""",,,,,,,,,
"""PZC",Pan Asia Corporation ,FPO,"2,465,227","200,000",8.11,-5.71,"968,927,499","0.02""",,,,,,,,,
