ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4856.7 at 16:34 29/12/2009  Report at 19:07 Tuesday 29/12/2009!. Processed 11:40 Wednesday 30/12/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""GBG",Gindalbie Metals,FPO,"1,308,043","164,110",12.54,-1.01,"707,187,674","0.02""",,,,,,,,,
"""NWS",News Corporation,B VOTING,"724,931","90,414",12.47,1.12,"798,520,953","0.01""",,,,,,,,,
"""NXS",Nexus Energy ,FPO,"6,022,755","749,829",12.45,3.27,"958,061,849","0.07""",,,,,,,,,
"""GFF",Goodman Fielder,FPO,"4,719,218","584,273",12.38,1.89,"1,380,386,438","0.04""",,,,,,,,,
"""APA",APA Group,STAPLED,"696,415","86,050",12.35,1.14,"508,816,964","0.01""",,,,,,,,,
"""SPN",SP AusNet,STAPLED,"1,679,134","206,431",12.29,1.11,"2,705,140,151","0.00""",,,,,,,,,
"""TSI",Transfield Services Infra,STAPLED,"142,042","17,208",12.11,1.38,"272,071,024","0.00""",,,,,,,,,
"""CMJ",Consolidated Media,FPO,"578,226","69,343",11.99,-0.32,"620,709,233","0.01""",,,,,,,,,
"""AMP",AMP ,FPO,"2,700,429","322,425",11.94,0.59,"2,048,645,162","0.01""",,,,,,,,,
"""GWT",GWA International ,FPO,"460,280","54,998",11.94,-1.81,"300,667,514","0.01""",,,,,,,,,
"""ABC",Adelaide Brighton ,FPO,"1,336,062","157,084",11.75,0.36,"634,144,970","0.02""",,,,,,,,,
"""AMC",Amcor ,FPO,"3,164,190","365,080",11.53,0.81,"1,220,810,970","0.03""",,,,,,,,,
"""FXJ",Fairfax Media ,FPO,"5,200,762","591,775",11.37,1.47,"2,351,955,725","0.02""",,,,,,,,,
"""KAR",Karoon Gas Aust ,FPO,"962,274","107,629",11.18,1.42,"177,116,198","0.06""",,,,,,,,,
"""VBA",Virgin Blue Holdings ,FPO,"9,823,169","1,096,510",11.16,1.77,"2,209,126,568","0.05""",,,,,,,,,
"""CSL",CSL ,FPO,"657,679","71,840",10.92,-0.30,"589,177,186","0.01""",,,,,,,,,
"""ASX",ASX ,FPO,"297,385","32,215",10.83,0.66,"172,305,698","0.01""",,,,,,,,,
"""MGX",Mount Gibson Iron ,FPO,"1,303,290","140,877",10.80,0.00,"1,077,028,611","0.01""",,,,,,,,,
"""LLC",Lend Lease Group,STAPLED,"666,573","71,946",10.79,3.10,"460,768,608","0.01""",,,,,,,,,
"""BEN",Bendigo & Adelaide Bank ,FPO,"641,741","68,625",10.69,2.34,"350,190,429","0.02""",,,,,,,,,
"""EAU",Eldorado Gold,CDI 1:1,"181,885","19,379",10.65,1.57,"115,824,028","0.01""",,,,,,,,,
"""IMD",Imdex ,FPO,"128,089","13,589",10.60,-0.66,"195,003,794","0.00""",,,,,,,,,
"""TZN",Terramin Australia ,FPO,"143,449","14,810",10.32,5.03,"158,388,677","0.00""",,,,,,,,,
"""BPT",Beach Energy ,FPO,"4,583,570","472,082",10.29,0.00,"1,080,653,789","0.04""",,,,,,,,,
"""ERA",ERA,FPO 'A',"146,338","14,997",10.24,1.28,"190,737,934","0.00""",,,,,,,,,
"""NHC",New Hope Corp ,FPO,"220,450","22,267",10.10,1.54,"826,230,549","0.00""",,,,,,,,,
"""CAB",Cabcharge Australia ,FPO,"257,257","25,254",9.81,-0.32,"120,437,014","0.02""",,,,,,,,,
"""WOR",WorleyParsons ,FPO,"394,298","38,715",9.81,0.62,"236,468,040","0.01""",,,,,,,,,
"""AWC",Alumina ,FPO,"8,817,606","835,817",9.47,2.22,"2,440,196,187","0.03""",,,,,,,,,
"""BLY",Boart Longyear ,FPO,"37,812,077","3,530,481",9.33,1.40,"4,611,574,674","0.07""",,,,,,,,,
"""WAN",West Australian Newspapers,FPO,"313,698","29,181",9.30,1.85,"213,673,497","0.01""",,,,,,,,,
"""PRY",Primary Health Care ,FPO,"689,597","63,968",9.27,0.33,"481,279,331","0.01""",,,,,,,,,
"""MMW",Magma Metals ,FPO,"118,046","10,901",9.23,4.28,"184,743,782","0.00""",,,,,,,,,
"""MMX",Murchison Metals,FPO,"1,845,355","169,573",9.18,5.04,"431,425,768","0.03""",,,,,,,,,
"""BWP",Bunnings Warehouse Prop Tr,ORD UNITS,"877,439","80,170",9.13,4.17,"414,227,380","0.01""",,,,,,,,,
"""CGG",Citadel Resource Group ,FPO,"354,131","32,203",9.09,1.31,"1,438,434,570","0.00""",,,,,,,,,
"""AQA",Aquila Resources ,FPO,"465,696","42,048",9.02,2.93,"322,273,136","0.01""",,,,,,,,,
"""SDL",Sundance Resources ,FPO,"5,367,937","480,163",8.94,0.00,"2,709,027,072","0.01""",,,,,,,,,
"""IGO",Independence Group,FPO,"394,007","35,162",8.92,3.30,"113,651,039","0.03""",,,,,,,,,
"""NUF",Nufarm ,FPO,"5,778,635","510,260",8.83,Suspended,"218,126,718","0.23""",,,,,,,,,
"""BXB",Brambles ,FPO,"1,566,766","138,166",8.81,-0.58,"1,412,203,433","0.01""",,,,,,,,,
"""CFX",CFS Retail Property Trust,UNIT,"3,404,006","298,666",8.77,0.53,"2,483,693,809","0.01""",,,,,,,,,
"""CHC",Charter Hall Group,FORUS,"1,038,004","91,056",8.77,0.70,"750,594,010","0.01""",,,,,,,,,
"""AXA",AXA Asia Pacific ,FPO,"7,708,959","667,484",8.65,-0.76,"2,067,095,545","0.03""",,,,,,,,,
"""FBU",Fletcher Building ,FPO NZ,"144,221","12,474",8.64,0.15,"606,118,435","0.00""",,,,,,,,,
"""GNC",Graincorp ,FPO,"1,187,693","101,506",8.54,0.16,"198,318,900","0.05""",,,,,,,,,
"""HST",Hastie Group ,FPO,"944,015","80,622",8.54,1.89,"236,132,996","0.03""",,,,,,,,,
"""SGT",Singapore Telecom,CDI,"600,920","50,749",8.44,0.40,"525,803,012","0.01""",,,,,,,,,
"""MSL",Mac Services Group (The) ,FPO,"38,442","3,244",8.43,2.81,"164,737,018","0.00""",,,,,,,,,
"""PBG",Pacific Brands ,FPO,"1,562,822","130,944",8.37,0.00,"931,386,248","0.01""",,,,,,,,,
"""WSA",Western Areas,FPO,"188,861","15,785",8.35,0.20,"179,735,899","0.00""",,,,,,,,,
"""MBN",Mirabela Nickel ,FPO,"338,836","28,209",8.32,2.38,"354,694,375","0.00""",,,,,,,,,
"""CWN",Crown ,FPO,"972,772","80,390",8.26,2.71,"753,555,290","0.01""",,,,,,,,,
"""CRG",Crane Group ,FPO,"135,997","11,149",8.19,-0.41,"77,684,223","0.01""",,,,,,,,,
"""IRE",Iress Market Technology ,FPO,"252,512","20,675",8.18,1.69,"123,812,455","0.01""",,,,,,,,,
"""FMG",Fortescue Metals Group,FPO,"1,720,768","140,073",8.14,-0.22,"3,095,165,944","0.00""",,,,,,,,,
"""SEV",Seven Network ,FPO,"278,496","22,244",7.98,2.38,"190,260,281","0.01""",,,,,,,,,
