ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4403.7 at 16:35 2/6/2010  Report at 19:06 Wednesday 2/6/2010!. Processed 11:56 Thursday 3/6/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""MGX",Mount Gibson Iron ,FPO,"6,877,596","999,662",14.53,-3.57,"1,077,174,611","0.09""",,,,,,,,,
"""GFF",Goodman Fielder,FPO,"8,805,164","1,276,463",14.49,0.74,"1,380,386,438","0.09""",,,,,,,,,
"""PRY",Primary Health Care ,FPO,"2,786,163","401,605",14.41,2.98,"491,328,342","0.08""",,,,,,,,,
"""EQN",Equinox Minerals ,CDI,"6,716,107","966,148",14.38,2.90,"707,536,545","0.13""",,,,,,,,,
"""IIF",ING Industrial Fund,UNITS,"10,033,779","1,443,518",14.38,0.00,"2,592,249,647","0.05""",,,,,,,,,
"""CXP",Corporate Express Australia,FPO,"85,767","11,595",13.51,0.00,"169,264,716","0.00""",,,,,,,,,
"""SPN",SP AusNet,STAPLED,"5,018,046","676,738",13.48,-2.35,"2,705,140,151","0.02""",,,,,,,,,
"""ESG",Eastern Star Gas ,FPO,"3,185,555","429,028",13.46,-2.50,"872,224,422","0.04""",,,,,,,,,
"""NUF",Nufarm ,FPO,"1,318,226","176,133",13.36,-1.81,"261,775,731","0.06""",,,,,,,,,
"""AQA",Aquila Resources ,FPO,"471,736","62,019",13.14,-2.32,"322,273,136","0.01""",,,,,,,,,
"""EHL",Emeco Holdings ,FPO,"3,619,078","475,344",13.13,-7.47,"631,237,586","0.07""",,,,,,,,,
"""JHX",James Hardie Industries,CDI,"2,261,989","287,215",12.69,-0.27,"434,550,172","0.06""",,,,,,,,,
"""KCN",Kingsgate Consolidated,FPO,"315,162","39,089",12.40,-1.27,"97,972,949","0.04""",,,,,,,,,
"""CCL",Coca-Cola Amatil ,FPO,"2,435,030","294,097",12.07,0.91,"754,316,919","0.03""",,,,,,,,,
"""AMP",AMP ,FPO,"8,366,768","1,006,936",12.03,-0.89,"2,071,925,423","0.04""",,,,,,,,,
"""BEN",Bendigo & Adelaide Bank ,FPO,"1,618,008","193,772",11.97,-1.16,"354,423,437","0.05""",,,,,,,,,
"""ITO",Intoll Group,STAPLED,"7,327,698","870,479",11.87,-1.88,"2,261,732,048","0.03""",,,,,,,,,
"""PMP",PMP ,FPO,"93,228","11,073",11.87,0.94,"335,348,483","0.00""",,,,,,,,,
"""GUD",GUD Holdings ,FPO,"288,178","34,032",11.80,-0.61,"61,065,933","0.05""",,,,,,,,,
"""ILU",Iluka Resources ,FPO,"2,443,962","287,682",11.77,-1.84,"418,700,517","0.06""",,,,,,,,,
"""FKP",FKP Property Group,STAPLED,"2,380,091","278,985",11.72,-1.27,"1,165,034,662","0.02""",,,,,,,,,
"""TEN",Ten Network Holdings ,FPO,"4,929,597","577,749",11.72,-1.74,"1,045,236,720","0.05""",,,,,,,,,
"""GPT",GPT Group,STAPLED,"7,148,366","832,671",11.64,1.94,"1,855,529,431","0.04""",,,,,,,,,
"""TAP",Tap Oil ,FPO,"192,863","22,392",11.61,-1.08,"156,485,921","0.01""",,,,,,,,,
"""AXA",AXA Asia Pacific ,FPO,"3,162,346","366,562",11.59,-0.68,"2,067,095,545","0.01""",,,,,,,,,
"""SOL",Soul Pattinson (WH),FPO,"9,561","1,102",11.52,0.00,"238,640,580","0.00""",,,,,,,,,
"""ASX",ASX ,FPO,"663,034","75,339",11.36,-0.56,"173,573,245","0.04""",,,,,,,,,
"""MND",Monadelphous Group ,FPO,"283,962","32,123",11.31,-1.72,"86,036,700","0.03""",,,,,,,,,
"""WAN",West Australian Newspapers,FPO,"693,904","78,461",11.30,-3.16,"216,011,546","0.03""",,,,,,,,,
"""AVO",Avoca Resources ,FPO,"717,049","80,725",11.25,2.85,"289,477,135","0.02""",,,,,,,,,
"""DOM",Dominion Mining ,FPO,"127,247","14,218",11.17,0.00,"103,327,059","0.01""",,,,,,,,,
"""KZL",Kagara,FPO,"4,325,915","482,787",11.16,-5.17,"674,489,717","0.07""",,,,,,,,,
"""ACR",Acrux ,FPO,"171,634","19,027",11.08,-1.27,"160,556,216","0.01""",,,,,,,,,
"""GNS",Gunns ,FPO,"27,538,557","2,955,104",10.73,5.81,"806,734,892","0.36""",,,,,,,,,
"""SKI",Spark Infrastructure Group,STAPLED,"3,253,530","347,041",10.66,-1.75,"1,031,911,394","0.03""",,,,,,,,,
"""CPU",Computershare,FPO,"2,101,488","220,744",10.50,-1.55,"555,664,059","0.04""",,,,,,,,,
"""HDF",Hastings Diversified Utilities,STAPLED,"621,171","65,183",10.49,-2.30,"500,273,209","0.01""",,,,,,,,,
"""CDU",Cudeco ,FPO,"473,519","49,115",10.37,-2.23,"137,285,632","0.03""",,,,,,,,,
"""AHE",Automotive Holdings Group ,FPO,"184,816","19,023",10.29,0.00,"225,731,300","0.00""",,,,,,,,,
"""SGT",Singapore Telecom,CDI,"3,459,423","356,130",10.29,2.04,"496,295,791","0.07""",,,,,,,,,
"""SPT",Spotless Group ,FPO,"1,727,013","175,494",10.16,0.00,"259,309,656","0.06""",,,,,,,,,
"""MEL",Metgasco ,FPO,"567,534","57,351",10.10,0.00,"249,006,674","0.02""",,,,,,,,,
"""LNC",Linc Energy,FPO,"1,098,589","110,858",10.09,-4.50,"484,868,148","0.02""",,,,,,,,,
"""TCL",Transurban Group,STAPLED,"4,996,261","503,940",10.08,-1.15,"1,386,031,522","0.03""",,,,,,,,,
"""FGL",Foster's Group ,FPO,"14,611,120","1,462,075",10.00,0.36,"1,930,432,682","0.07""",,,,,,,,,
"""SXL",Southern Cross Media Group LIMITE,FPO,"1,461,037","146,104",10.00,-4.22,"378,827,750","0.03""",,,,,,,,,
"""AAX",Ausenco ,FPO,"3,419,491","340,118",9.94,-8.59,"122,360,596","0.27""",,,,,,,,,
"""CRZ",carsales.com ,FPO,"199,823","19,754",9.88,-0.20,"232,470,800","0.00""",,,,,,,,,
"""TRY",Troy Resources,FPO,"90,682","8,947",9.86,-0.39,"87,464,323","0.01""",,,,,,,,,
"""PPT",Perpetual ,FPO,"244,725","23,842",9.74,0.06,"43,411,178","0.05""",,,,,,,,,
"""AJA",Astro Japan Property Group,STAPLED,"808,174","78,096",9.66,0.00,"508,212,161","0.01""",,,,,,,,,
"""AAD",Ardent Leisure Group,STAPLED,"827,087","79,140",9.56,-3.31,"309,109,468","0.02""",,,,,,,,,
"""IPL",Incitec Pivot ,FPO,"9,598,378","917,223",9.55,0.33,"1,624,932,978","0.05""",,,,,,,,,
"""CEY",Centennial Coal ,FPO,"3,855,086","367,844",9.54,-0.73,"394,889,237","0.09""",,,,,,,,,
"""FXJ",Fairfax Media ,FPO,"28,342,590","2,652,181",9.35,-4.31,"2,351,955,725","0.11""",,,,,,,,,
"""SBM",St Barbara ,FPO,"17,782,289","1,634,778",9.19,-3.17,"1,952,668,407","0.08""",,,,,,,,,
