ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4929.5 at 16:35 15/1/2010  Report at 19:05 Friday 15/1/2010!. Processed 13:33 Monday 18/1/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""MCC",Macarthur Coal ,FPO,"1,151,012","59,463",5.16,-1.38,"254,333,109","0.02""",,,,,,,,,
"""ALZ",Australand Property Group,STAPLED,"2,936,130","150,739",5.13,0.00,"2,884,031,620","0.00""",,,,,,,,,
"""CDU",Cudeco ,FPO,"598,335","30,688",5.12,-1.39,"137,751,181","0.02""",,,,,,,,,
"""CEU",ConnectEast Group,STAPLED,"6,149,570","311,928",5.07,0.00,"3,873,085,929","0.00""",,,,,,,,,
"""CAH",Catalpa Resources ,FPO,"659,061","33,314",5.05,-3.53,"194,581,040","0.01""",,,,,,,,,
"""PBG",Pacific Brands ,FPO,"3,228,095","162,099",5.02,2.64,"931,386,248","0.01""",,,,,,,,,
"""GXY",Galaxy Resources ,FPO,"374,642","18,560",4.95,0.35,"150,234,608","0.01""",,,,,,,,,
"""TAL",Tower Australia Group ,FPO,"520,942","25,307",4.85,-1.41,"361,141,400","0.00""",,,,,,,,,
"""SEK",Seek ,FPO,"969,555","45,262",4.66,-1.36,"335,766,988","0.01""",,,,,,,,,
"""MCW",Macquarie Countrywide Trust,UNIT,"3,599,614","165,975",4.61,-1.72,"1,488,668,825","0.01""",,,,,,,,,
"""KZL",Kagara,FPO,"3,113,722","142,923",4.59,-1.66,"674,489,717","0.02""",,,,,,,,,
"""PRY",Primary Health Care ,FPO,"754,353","34,287",4.54,-0.51,"481,297,331","0.00""",,,,,,,,,
"""ATI",Atlantic ,FPO,"1,698,889","75,000",4.41,2.85,"1,228,130,222","0.00""",,,,,,,,,
"""MRM",Mermaid Marine Aust ,FPO,"399,095","17,483",4.38,-1.90,"186,109,338","0.00""",,,,,,,,,
"""IFN",Infigen Energy,STAPLED,"1,782,216","74,127",4.15,-2.39,"802,460,585","0.00""",,,,,,,,,
"""PNA",PanAust ,FPO,"10,496,672","431,834",4.11,-2.45,"2,932,776,179","0.01""",,,,,,,,,
"""TRY",Troy Resources,FPO,"48,572","2,000",4.11,-1.60,"87,455,889","0.00""",,,,,,,,,
"""VTA",Viterra Inc,CDI 1:1,"88,086","3,627",4.11,-0.99,"68,629,939","0.00""",,,,,,,,,
"""PGA",Photon Group ,FPO,"292,251","12,000",4.10,-1.96,"178,416,628","0.00""",,,,,,,,,
"""ABC",Adelaide Brighton ,FPO,"907,568","37,121",4.09,0.38,"634,144,970","0.00""",,,,,,,,,
"""BCC",Buccaneer Energy ,FPO,"6,400,847","261,466",4.08,4.00,"372,522,862","0.07""",,,,,,,,,
"""CHC",Charter Hall Group,FORUS,"1,035,621","41,586",4.01,0.00,"750,594,010","0.00""",,,,,,,,,
"""MYR",Myer Holdings ,FPO,"3,205,008","127,625",3.98,0.00,"581,517,884","0.02""",,,,,,,,,
