S&P/ASX300 - Daily,,,,,,,,,,,,,,,,,
XAO 4803.3 at 14:41 24/12/2009  Report at 15:41 Thursday 24/12/2009. Processed 15:56 Thursday 24/12/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
3.49,1.63,3.49,3.39,IPL,Incitec Pivot,3.48,8,"34,547",3.47,3.48,4.4,,-,0.14,1.26,-11.7,-
5.52,1.735,4.88,4.73,IGO,Independence Grp,4.84,4,912,4.63,4.84,5,f,2.83,1.34,1.03,14.14,34.2
1.235,0.215,1.235,1.225,IRN,Indophil Res,1.225,-1,"8,248",1.225,1.23,-,,-,-,-,-2.93,-
0.51,0.089,0.445,0.43,IDL,Industrea Ltd,0.43,-1.5,"4,701",0.43,0.435,1.25,f,1.45,-0.03,2.91,1.81,23.8
1.55,0.75,1.41,1.375,IFN,Infigen Energy stpld,1.41,3,"7,032",1.405,1.41,4.5,,5.02,0.58,3.19,22.6,6.2
0.603,0.057,0.485,0.475,IIF,ING Industrial Fd unt,0.48,0.5,"194,810",0.48,0.485,9.8,,-,0.96,20.42,-103.8,-
0.804,0.184,0.62,0.605,IOF,ING Office Fd stpld,0.615,1,"112,569",0.615,0.62,6.2,,-,0.99,10.08,-49.8,-
4.21,2.94,3.98,3.90,IAG,Insurance Aust Grp,3.97,5,"13,205",3.92,3.98,10,f,0.93,1.16,2.52,9.32,42.6
0.385,0.16,0.25,0.25,IGR,Integra Min Ltd,0.25,,"7,848",0.25,0.255,-,,-,-,-,-1.1,-
0.42,0.19,0.305,0.285,IAU,Intrepid Mines,0.29,-0.5,"3,010",0.29,0.30,-,,-,0.17,-,-7.97,-
6.48,4.48,6.09,5.98,IVC,Invocare Ltd,6.07,5,"1,205",5.98,6.07,24.5,f,1.22,0.35,4.04,29.9,20.3
6.20,2.112,6.16,5.98,IFL,IOOF Hldgs Ltd,6.04,-14,"2,610",6.03,6.12,4,f,4.17,0.55,0.66,16.7,36.2
8.92,4.58,8.28,8.15,IRE,IRESS Market Tech,8.28,16,925,8.17,8.29,32,f,0.98,0.67,3.86,31.29,26.5
0.93,0.561,0.785,0.77,ISF,iSOFT Group Ltd,0.775,-0.5,"6,424",0.77,0.78,1,,4.30,-0.27,1.29,4.3,18.0
0.485,0.089,0.405,0.395,JML,Jabiru Metals Ltd,0.40,0.5,"7,857",0.40,0.405,-,,-,-,-,-12,-
8.59,2.89,8.33,8.23,JHX,James Hardie Ind cdi,8.30,,"6,757",8.12,8.33,-,,-,-0.40,-,18.89,43.9
23.71,8.48,22.48,22.07,JBH,JB Hi-Fi Ltd,22.24,-11,"2,115",22.20,22.27,44,f,2.01,1.21,1.98,88.26,25.2
1.32,0.23,1.02,1.00,KZL,Kagara Ltd,1.02,3,"8,923",1.01,1.02,-,,-,0.74,-,-34.98,-
12.10,2.45,9.93,9.71,KAR,Karoon Gas Aust,9.83,33,"12,764",9.75,9.83,-,,-,-,-,3.02,325.5
10.30,3.10,9.05,8.72,KCN,Kingsgate Cons,8.99,31,"1,683",8.98,9.09,15,f,2.33,2.55,1.67,34.9,25.8
38.99,16.15,37.87,37.20,LEI,Leighton Hldgs,37.54,-16,"1,662",37.51,37.61,115,f,1.30,7.43,3.06,149.5,25.1
11.29,4.85,10.00,9.82,LLC,Lend Lease Grp stpld,10.00,15,"3,092",9.91,10.00,41,f,-,4.20,4.10,-164.7,-
3.77,2.41,3.26,3.19,LGL,Lihir Gold Ltd,3.26,9,"79,841",3.25,3.26,1.62,,-,1.29,0.50,-9.97,-
2.68,0.975,1.515,1.495,LNC,Linc Energy Ltd,1.51,0.5,"3,257",1.505,1.52,-,,-,-,-,-10.36,-
