S&P/ASX300 - Daily,,,,,,,,,,,,,,,,,
XAO 4722.6 at 16:47 13/11/2009  Report at 19:05 Friday 13/11/2009. Processed 19:09 Friday 13/11/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
0.595,0.27,0.54,0.52,ENV,Envestra Ltd,0.53,0.5,"12,546",0.53,0.535,5.5,,0.73,-0.08,10.38,4,13.3
4.37,1.24,3.86,3.71,EQN,Equinox Min Ltd cdi,3.81,-15,"23,700",3.81,3.82,-,,-,-,-,25.35,15.0
11.45,0.785,8.37,8.10,EXT,Extract Res,8.31,-9,"4,473",8.11,8.33,-,,-,-,-,-5.38,-
1.805,0.795,1.68,1.645,FXJ,Fairfax Media Ltd,1.675,0.5,"117,667",1.65,1.68,2,,-,-0.37,1.19,-21.6,-
17.925,4.65,17.41,17.35,FLX,Felix Res Ltd,17.37,1,"2,967",17.36,17.43,53,f,2.57,2.53,3.05,136.18,12.8
0.83,0.204,0.735,0.715,FKP,FKP Prop Grp stpld,0.73,,"27,717",0.73,0.735,3.45,,-,3.15,4.73,-70.3,-
8.86,3.27,7.82,7.64,FWD,Fleetwood Corp,7.64,-14,"1,152",7.64,7.74,66,f,1.04,2.63,8.64,68.7,11.1
1.795,0.206,1.495,1.455,FXL,Flexigrp Ltd,1.49,1,"1,555",1.455,1.50,6,f,2.40,0.11,4.03,14.4,10.3
17.75,3.39,17.56,16.88,FLT,Flight Centre,17.39,31,"2,594",17.38,17.41,9,,4.26,1.92,0.52,38.3,45.4
0.197,0.028,0.18,0.165,FMS,Flinders Mines,0.17,0.5,"168,417",0.17,0.175,-,,-,-,-,-0.33,-
4.75,1.16,4.04,3.97,FMG,Fortescue Metals Grp,4.04,-3,"35,592",4.02,4.04,-,,-,0.35,-,21.9,18.4
