Derivatives: Call Options - daily trades ,,,,,,,,,,,,
XAO 4554.4 at 16:36 2/8/2010  Report at 19:05 Monday 2/8/2010. Processed 19:22 Monday 2/8/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
CALL OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $14.90,,,,,,,,,,,,
Nov,10,5.00,0.15,0.10,6,10,25.50,0.44,9.92,,,
Foster's Grp Last Sale Price $5.75,,,,,,,,,,,,
Aug,10,5.75,0.14,0.14,99,1961,21.60,0.54,34.28,,,
Sep,10,6.00,0.11,0.12,10,4725,27.00,0.39,13.17,,,
Dec,10,6.25,0.13,0.13,2,519,22.50,0.36,5.73,,,
Jun,11,6.50,0.18,0.18,10,29,21.90,0.41,3.50,,,
Fortescue Metals Grp Last Sale Price $4.40,,,,,,,,,,,,
Aug,10,4.25,0.23,0.20,10,328,30.70,0.70,26.55,,,
Aug,10,4.50,0.09,0.09,270,1153,28.80,0.41,29.86,,,
Aug,10,4.75,0.02,0.03,17,222,26.30,0.15,6.64,,,
Sep,10,4.50,0.19,0.20,16,200,33.20,0.48,29.74,,,
Sep,10,4.75,0.10,0.10,79,121,32.80,0.31,15.65,,,
Sep,10,5.00,0.06,0.05,2,413,34.40,0.20,8.61,,,
Fairfax Media Ltd Last Sale Price $1.50,,,,,,,,,,,,
Aug,10,1.50,0.04,0.04,176,150,31.20,0.52,43.95,,,
GPT Grp Last Sale Price $2.89,,,,,,,,,,,,
Oct,10,3.00,0.09,0.08,5,955,22.80,0.44,12.92,,,
Dec,10,3.25,0.06,0.06,10,201,21.90,0.27,4.82,,,
Harvey Norman Last Sale Price $3.50,,,,,,,,,,,,
Oct,10,3.50,0.19,0.19,3,5,25.10,0.57,22.52,,,
Insurance Aust Grp Last Sale Price $3.42,,,,,,,,,,,,
Aug,10,3.50,0.05,0.04,32,139,22.20,0.38,21.35,,,
Oct,10,3.75,0.04,0.04,6,7,23.20,0.26,4.85,,,
Incitec Pivot Last Sale Price $3.33,,,,,,,,,,,,
Aug,10,2.75,0.59,0.60,10,91,44.80,0.96,6.58,,,
Aug,10,3.25,0.13,0.14,29,1822,21.20,0.71,19.73,,,
Aug,10,3.50,0.02,0.03,6,1315,20.40,0.20,8.77,,,
Sep,10,3.25,0.18,0.17,6,1314,24.80,0.65,20.68,,,
Sep,10,3.50,0.06,0.06,117,263,23.30,0.33,12.41,,,
Oct,10,3.50,0.12,0.11,459,135,26.00,0.41,14.32,,,
Nov,10,3.50,0.15,0.14,20,8,27.30,0.45,14.17,,,
Jan,11,3.75,0.13,0.13,20,-,27.20,0.35,7.65,,,
Mar,11,4.00,0.12,0.12,10,-,28.10,0.30,5.36,,,
James Hardie Ind Last Sale Price $6.54,,,,,,,,,,,,
Aug,10,6.75,0.13,0.13,5,117,30.50,0.38,27.91,,,
Leighton Hldgs Last Sale Price $30.09,,,,,,,,,,,,
Aug,10,30.50,0.62,0.56,10,9,24.90,0.45,30.08,,,
Aug,10,31.00,0.42,0.43,16,42,24.50,0.35,20.62,,,
Aug,10,31.50,0.28,0.25,8,11,24.30,0.26,13.59,,,
Sep,10,31.00,0.66,0.59,1,17,24.30,0.43,14.99,,,
Sep,10,31.50,0.48,0.43,6,12,23.80,0.35,10.99,,,
Sep,10,32.00,0.34,0.34,10,13,23.40,0.29,7.78,,,
Jun,11,25.00,6.49,6.45,4,-,32.80,0.82,5.21,,,
Lihir Gold Ltd Last Sale Price $4.18,,,,,,,,,,,,
Aug,10,4.01,0.23,0.22,57,527,25.90,0.76,19.21,,,
Aug,10,4.25,0.09,0.09,128,1794,25.80,0.44,29.69,,,
Sep,10,4.00,0.28,0.28,100,600,23.90,0.73,15.65,,,
Sep,10,4.25,0.14,0.12,10,1014,24.50,0.48,22.24,,,
Sep,10,4.50,0.06,0.06,183,1223,24.60,0.26,9.06,,,
Oct,10,4.25,0.20,0.16,5,65,24.90,0.52,19.35,,,
Oct,10,4.50,0.10,0.10,20,76,23.70,0.32,9.43,,,
Lend Lease Grp Last Sale Price $7.49,,,,,,,,,,,,
Aug,10,7.50,0.18,0.17,5,142,22.70,0.53,35.09,,,
Aug,10,7.75,0.09,0.07,13,140,22.90,0.31,16.57,,,
MAP Grp Last Sale Price $3.03,,,,,,,,,,,,
Aug,10,2.72,0.33,0.30,10,15,27.50,0.95,7.23,,,
Aug,10,2.96,0.12,0.13,15,175,22.60,0.69,21.68,,,
Sep,10,2.96,0.16,0.16,71,611,24.30,0.65,20.46,,,
Oct,10,3.00,0.19,0.19,5,9,25.70,0.60,21.22,,,
Dec,10,3.50,0.04,0.04,20,43,22.50,0.21,3.35,,,
Macq Grp Ltd Last Sale Price $37.67,,,,,,,,,,,,
Aug,10,37.00,1.68,1.89,8,29,32.90,0.62,39.15,,,
Aug,10,37.50,1.34,1.33,2,9,31.10,0.56,45.35,,,
Aug,10,38.00,1.07,1.08,17,90,30.40,0.49,41.47,,,
Aug,10,38.50,0.84,0.82,12,52,30.00,0.42,32.75,,,
Aug,10,39.00,0.60,0.60,56,154,28.10,0.35,23.25,,,
Aug,10,39.50,0.46,0.46,7,114,28.10,0.28,17.63,,,
Aug,10,40.00,0.33,0.31,42,358,27.70,0.22,12.79,,,
Aug,10,41.00,0.17,0.17,34,382,27.90,0.14,6.78,,,
Aug,10,42.00,0.09,0.09,17,372,27.80,0.08,3.29,,,
Sep,10,38.50,1.56,1.65,1,10,32.10,0.48,28.52,,,
Sep,10,39.00,1.32,1.44,4,13,31.30,0.43,24.13,,,
Sep,10,39.50,1.12,1.10,3,23,31.00,0.39,20.38,,,
Sep,10,40.00,0.95,1.00,1,26,30.80,0.35,17.46,,,
Sep,10,41.00,0.65,0.66,2,48,30.10,0.27,11.88,,,
Sep,10,42.00,0.44,0.44,23,98,29.70,0.20,7.95,,,
Sep,10,43.00,0.28,0.28,3,40,29.30,0.14,5.12,,,
Oct,10,44.00,0.48,0.48,4,26,29.50,0.18,5.34,,,
Nov,10,38.00,2.76,2.80,1,-,34.00,0.56,23.05,,,
Nov,10,44.00,0.69,0.71,5,-,30.70,0.24,5.76,,,
Dec,10,38.00,3.06,3.12,3,14,34.40,0.57,20.62,,,
Dec,10,46.00,0.57,0.56,4,30,30.50,0.20,3.87,,,
Dec,10,50.00,0.22,0.21,4,316,29.90,0.10,1.45,,,
Mar,11,37.50,4.43,4.57,5,-,35.80,0.61,17.56,,,
Mar,11,40.00,3.24,3.22,6,-,34.30,0.52,13.36,,,
Mar,11,50.00,0.68,0.67,2,27,30.60,0.19,2.80,,,
Mar,11,54.00,0.36,0.34,2,27,30.60,0.12,1.48,,,
Jun,11,0.01,37.44,37.40,6,-,-,-,-,,,
Jun,11,35.00,6.21,6.43,1,1,36.10,0.70,10.54,,,
Jun,11,35.50,5.96,6.15,2,-,36.10,0.69,11.25,,,
Jun,11,51.00,0.98,0.95,4,16,31.80,0.25,2.93,,,
Myer Hldgs Ltd Last Sale Price $3.45,,,,,,,,,,,,
Aug,10,3.50,0.06,0.04,32,470,22.50,0.44,25.39,,,
National Aust Bank Last Sale Price $25.31,,,,,,,,,,,,
Aug,10,22.50,2.93,2.98,2,25,31.00,0.94,6.92,,,
Aug,10,23.00,2.45,2.25,10,82,28.60,0.92,8.08,,,
Aug,10,24.00,1.53,1.51,45,186,24.40,0.83,12.98,,,
Aug,10,24.50,1.14,1.14,16,552,23.20,0.74,18.75,,,
Aug,10,25.00,0.77,0.72,39,1223,21.50,0.63,26.25,,,
Aug,10,25.50,0.45,0.44,57,975,19.30,0.48,25.67,,,
Aug,10,26.00,0.23,0.24,84,1073,18.40,0.32,13.56,,,
Aug,10,26.50,0.11,0.11,93,233,17.80,0.18,6.35,,,
Aug,10,27.00,0.06,0.05,142,183,18.30,0.10,3.17,,,
Aug,10,28.00,0.01,0.02,30,183,18.50,0.02,0.52,,,
Sep,10,25.00,1.09,1.06,11,1141,21.80,0.61,21.09,,,
Sep,10,25.50,0.79,0.81,7,804,21.00,0.52,21.50,,,
Sep,10,26.00,0.54,0.56,17,720,19.80,0.42,14.56,,,
Sep,10,26.01,0.52,0.50,1,50,19.50,0.41,14.01,,,
Sep,10,26.50,0.34,0.33,108,544,19.00,0.31,9.25,,,
Sep,10,27.00,0.21,0.22,48,1211,18.60,0.22,5.71,,,
