Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,,
 XAO 4479.0 at 16:37 28/5/2010  Report at 19:06 Friday 28/5/2010. Processed 07:19 Saturday 29/5/2010.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move,
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobile & Components,,,,,,,,,,,,,,,,,,,,,,
Sky City Entertain,SKC,2.37,-,2.34,2.59,1950,2.41,2.36,2.41,2.32,2.89,2.03,11.69,,1.63,0.53,4.93,19.09,12.4,-6.0,-2.47,
Slater & Gordon,SGH,1.565,6.5,1.565,1.57,217,1.57,1.50,1.575,1.49,1.82,1.425,5.25,f,3.16,0.82,3.35,16.6,9.4,-1.5,-0.95,
Stanfield Funds,SFN,0.009,-,0.009,0.01,-,-,-,0.009,0.009,0.028,0.009,-,,-,-0.01,-,-0.14,-,-,-,
Success Res Global,SGU,0.012,-,0.012,0.024,-,-,-,0.012,0.012,0.06,0.003,-,,-,-,-,1.26,1.0,-,-,
Superwoman Grp,SPG,0.002,-,-,-,-,-,-,0.002,0.002,0.016,0.002,-,,-,-,-,-0.39,-,-,-,
Tabcorp Hldgs Ltd,TAH,6.67,17,6.61,6.67,57849,6.67,6.53,6.76,6.32,7.52,6.28,60,f,1.44,-1.53,9.00,86.1,7.7,31.0,4.87,
Tatts Grp Ltd,TTS,2.38,1,2.37,2.38,66208,2.38,2.34,2.39,2.32,2.67,2.19,21,f,1.04,-0.51,8.82,21.9,10.9,3.0,1.28,
Transmetro Corp,TCO,0.70,-,0.43,-,-,-,-,0.70,0.70,0.70,0.67,3,,2.28,1.18,4.29,6.85,10.2,-,-,
Viagold Capital,VIA,0.35,-,0.36,-,-,-,-,0.35,0.35,1.30,0.046,-,,-,0.36,-,3,11.7,-,-,
Webjet Ltd,WEB,1.985,3,1.98,1.99,4909,2.02,1.985,2.04,1.90,2.70,1.096,8,f,1.52,0.41,4.03,12.2,16.3,11.5,6.15,
Xiaoxiao Education,XXL,0.15,-,0.125,0.16,-,-,-,0.15,0.15,0.30,0.15,-,,-,-,-,-,-,-,-,
INDUSTRY GROUP: Media,,,,,,,,,,,,,,,,,,,,,,
Adcorp Aust,AAU,0.17,-,0.18,0.20,-,-,-,0.17,0.17,0.305,0.17,1,,-,0.07,5.88,-2.18,-,-,-,
Amalgamated Hldgs,AHD,5.89,32,5.80,5.95,513,5.89,5.55,5.89,5.40,6.24,3.73,35,f,1.96,4.65,5.94,68.5,8.6,35.0,6.32,
APN News & Media,APN,2.20,3,2.08,2.21,20618,2.23,2.17,2.27,2.07,2.61,1.27,4,f,4.17,-0.78,1.82,16.7,13.2,-5.0,-2.22,
Aspermont Ltd,ASP,0.10,-,0.11,0.145,-,-,-,0.10,0.10,0.256,0.10,-,,-,-0.03,-,0.88,11.4,-,-,
Austar United,AUN,0.985,-1,0.955,0.995,22552,1.01,0.98,1.085,0.955,1.465,0.72,-,,-,-0.31,-,4.7,21.0,-6.0,-5.74,
Austereo Grp Ltd,AEO,1.61,-6,1.61,1.68,735,1.655,1.605,1.68,1.54,1.925,1.27,9.1,f,1.32,-0.57,5.65,11.98,13.4,0.5,0.31,
Beyond Intl,BYI,0.78,-,0.72,0.78,-,-,-,0.78,0.78,0.78,0.50,6,,1.36,0.45,7.69,8.18,9.5,4.0,5.41,
Brisbane Broncos,BBL,0.32,2,0.32,0.35,20,0.32,0.32,0.33,0.30,0.40,0.30,0.5,f,1.78,0.12,1.56,0.89,36.0,-1.0,-3.03,
BSA Ltd,BSA,0.185,0.5,0.175,0.185,930,0.19,0.185,0.19,0.18,0.34,0.125,2,f,1.49,-0.01,10.81,2.99,6.2,-,-,
Commstrat Ltd,COJ,0.005,-,0.005,0.007,-,-,-,0.005,0.004,0.01,0.003,-,,-,-,-,0.06,8.3,0.1,25,
Consolidated Media,CMJ,3.10,5,3.08,3.11,14866,3.11,3.03,3.11,2.97,3.44,2.17,16.5,f,3.48,0.88,5.32,57.44,5.4,8.0,2.65,
Facilitate Digital,FAC,0.076,-,0.061,0.076,-,-,-,0.076,0.076,0.149,0.035,-,,-,0.01,-,0.29,26.2,-,-,
Fairfax Media Ltd,FXJ,1.50,5.5,1.475,1.515,163233,1.52,1.475,1.52,1.40,1.885,1.07,1.1,,8.45,-0.31,0.73,9.3,16.1,-0.5,-0.33,
Hyro Ltd,HYO,0.019,0.1,0.018,0.02,13240,0.019,0.018,0.02,0.017,0.044,0.017,-,,-,-,-,2.39,0.8,-,-,
Infochoice Ltd,ICH,0.485,-,-,0.44,-,-,-,0.485,0.485,0.485,0.485,-,,-,0.02,-,-1.35,-,-,-,
IPGA Ltd,IPP,0.50,4,0.49,0.50,560,0.50,0.49,0.50,0.45,0.58,0.079,-,,-,-,-,-1.69,-,7.0,16.28,
Macq Radio,MRN,0.78,-,0.71,0.78,-,-,-,0.78,0.78,0.90,0.23,4,f,0.96,0.02,5.13,3.84,20.3,-,-,
MCM Entertainment Gr,MEG,0.18,-,0.02,0.15,-,-,-,0.18,0.18,0.23,0.14,-,,-,0.04,-,1.01,17.8,-,-,
Media Grp Int Ltd,MUI,0.009,-,0.01,0.013,-,-,-,0.01,0.008,0.25,0.008,-,,-,-,-,-2.68,-,-,-,
Medic Vision Ltd,MVH,0.02,-0.1,0.02,0.024,1800,0.021,0.02,0.025,0.019,0.045,0.017,-,,-,-,-,-1.06,-,-0.3,-13.04,
  opt jan12,MVHOA,0.003,-,-,0.015,-,-,-,0.003,0.003,0.003,0.003,-,,-,-,-,-,-,-,-,
Mitchell Comms,MCU,0.885,6.5,0.83,0.885,2152,0.89,0.84,0.89,0.80,0.985,0.54,4.4,f,1.50,-,4.97,6.6,13.4,5.5,6.63,
News Corp b voting,NWS,18.44,42,18.28,18.50,29165,18.44,18.12,18.44,17.73,20.18,12.01,5.14,,14.51,0.45,0.28,74.58,24.7,52.0,2.9,
  a nonvote,NWSLV,15.95,34,15.90,15.99,11985,15.99,15.70,15.99,15.26,17.56,10.40,12.87,,-,-,0.81,-,-,64.0,4.18,
Oohmedia Grp Ltd,OOH,0.145,-,0.145,0.15,-,-,-,0.145,0.145,0.15,0.06,-,,-,-0.08,-,1.3,11.2,-,-,
Pac Star Net,PNW,0.05,-,0.041,0.05,-,-,-,0.05,0.05,0.065,0.025,-,,-,0.01,-,0.1,50.0,-,-,
Photon Grp Ltd,PGA,0.94,-1.5,0.93,0.975,4887,0.995,0.92,0.995,0.87,2.182,0.81,9.5,f,1.87,-1.43,10.11,17.72,5.3,8.0,9.3,
Prime Media Grp,PRT,0.74,-,0.74,0.77,996,0.74,0.71,0.75,0.71,0.86,0.455,2.2,f,-,-,2.97,-2.7,-,-,-,
Q Ltd,QXQ,0.05,-,0.048,0.05,871,0.05,0.048,0.05,0.047,0.198,0.047,-,,-,0.02,-,-237.1,-,0.3,6.38,
REA Grp,REA,10.73,51,10.50,10.80,1329,10.80,10.25,10.99,10.17,12.60,5.14,10,,1.00,0.45,0.93,10.04,106.9,18.0,1.71,
Resourc & En Grp,REZ,0.125,-,0.125,0.145,240,0.125,0.125,0.125,0.12,0.375,0.046,-,,-,0.07,-,-1.35,-,0.5,4.17,
Sky Net,SKT,3.57,-18,3.60,3.57,1900,3.57,3.57,3.78,3.57,4.15,3.05,11.39,,1.72,-0.47,3.19,19.63,18.2,-21.0,-5.56,
Sthn Cross Media,SXL,1.84,10,1.80,1.86,12068,1.88,1.69,1.88,1.69,2.31,0.988,6.7,,-,-0.51,3.64,-36.65,-,-1.0,-0.54,
STW Comms,SGN,0.935,0.5,0.92,0.94,15388,0.94,0.925,0.94,0.885,0.95,0.52,3.5,f,2.09,0.15,3.74,7.32,12.8,3.5,3.89,
Swish Grp Ltd,SWG,0.002,-0.1,0.001,0.002,784850,0.002,0.002,0.003,0.002,0.005,0.002,-,,-,-,-,-0.53,-,-0.1,-33.33,
Ten Network Hldgs,TEN,1.77,4,1.63,1.785,41812,1.77,1.715,1.77,1.61,1.94,0.92,2,,2.31,-0.29,1.13,4.62,38.3,11.5,6.95,
TPL Corp Ltd,TPL,0.018,0.1,0.017,0.018,5700,0.019,0.018,0.019,0.016,0.028,0.003,-,,-,-,-,-0.21,-,0.1,5.88,
Two Way Ltd,TTV,0.038,-,0.038,0.039,333,0.038,0.038,0.039,0.035,0.078,0.025,-,,-,0.01,-,-3.44,-,0.3,8.57,
Village Roadshow,VRL,1.995,3.5,1.95,2.05,295,2.07,1.995,2.07,1.93,2.54,0.91,3.75,,11.12,-1.97,1.88,41.69,4.8,-5.5,-2.68,
  'a' pref,VRLPA,2.06,-,2.02,2.39,-,-,-,2.15,2.00,2.71,0.54,3.75,,-,-,1.82,-,-,-9.0,-4.19,
WAG Ltd,WAG,0.007,-,0.006,0.009,-,-,-,0.007,0.007,0.011,0.003,-,,-,-,-,-0.01,-,-,-,
West Aust News,WAN,6.80,33,6.72,7.00,5904,6.83,6.53,6.91,6.40,8.48,3.96,29,f,1.29,-,4.26,37.3,18.2,13.0,1.95,
World Wide Ent Grp,WWG,0.08,-,0.055,0.08,7,0.08,0.08,0.08,0.08,0.20,0.055,-,,-,-,-,3.05,2.6,-,-,
INDUSTRY GROUP: Retailing,,,,,,,,,,,,,,,,,,,,,,
Adtrans Grp,ADG,3.50,-,3.50,3.70,-,-,-,3.50,3.50,3.70,2.00,20,f,1.86,2.44,5.71,37.1,9.4,-,-,
Adultshop Com,ASC,0.008,-,0.008,0.01,8050,0.008,0.008,0.008,0.008,0.015,0.004,-,,-,0.02,-,-0.19,-,-,-,
