Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,,
 XAO 4414.5 at 16:35 9/7/2010  Report at 19:06 Friday 9/7/2010. Processed 20:49 Friday 9/7/2010.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move,
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobiles & Components,,,,,,,,,,,,,,,,,,,,,,
Fantastic Hldgs,FAN,2.16,1,2.15,2.20,291,2.20,2.15,2.20,2.15,4.29,1.90,11.75,f,2.06,0.81,5.44,24.21,8.9,-4.0,-1.82,
Harvey Norman,HVN,3.64,-1,3.63,3.65,30445,3.68,3.58,3.68,3.42,4.85,3.05,13,f,1.98,2.10,3.57,25.78,14.1,21.0,6.12,
Hire Intelligence,HII,0.10,-,0.09,0.26,-,-,-,0.10,0.10,0.18,0.10,0.4,f,2.45,-,4.00,0.98,10.2,-,-,
JB Hi-Fi Ltd,JBH,19.18,-12,19.15,19.22,9158,19.60,18.95,19.60,18.41,23.71,14.27,62,f,1.67,1.71,3.23,103.42,18.5,28.0,1.48,
Joyce Corp,JYC,0.40,-,0.30,0.49,-,-,-,0.40,0.40,0.58,0.37,2,,-,0.67,5.00,-8.49,-,-,-,
Kathmandu Hldgs,KMD,1.605,0.5,1.58,1.61,2514,1.66,1.585,1.66,1.55,1.97,1.435,-,,-,-0.09,-,-0.17,-,-3.5,-2.13,
Manaccom Corp Ltd,MNL,0.29,-,0.28,0.285,-,-,-,0.30,0.28,0.55,0.215,0.5,,14.36,-,1.72,7.18,4.0,3.0,11.54,
Myer Hldgs Ltd,MYR,3.32,-1,3.28,3.33,10478,3.35,3.30,3.35,3.16,3.98,2.86,-,f,-,-0.21,-,-,-,15.0,4.73,
Nick Scali Ltd,NCK,1.37,-,1.38,1.45,-,-,-,1.46,1.37,1.75,0.68,10.5,f,1.00,0.22,7.66,10.46,13.1,1.0,0.74,
Noni B Ltd,NBL,1.05,-0.5,1.02,1.055,195,1.055,1.05,1.055,1.05,1.50,0.81,6,f,1.77,0.51,5.71,10.6,9.9,-0.5,-0.47,
