Derivatives: Put Options - Weekly
"Traded positions for the week ending Friday, September 18, 2015"
"Report at Friday, September 18, 2015. Processed Monday at 21/09/2015 3:58:11 PM."



ASX Code/Series,,Ex Price,Fair Value,Last Sale,Weekly Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,
PUT OPTIONS,
AGL Energy Last Sale Price $16.36,
Sep,2015,29.92,5.46,6.00,8,1768,30.60,-1.00,-,
Sep,2015,29.93,5.46,5.50,98,1598,30.60,-1.00,-,
Sep,2015,30.39,5.93,5.92,8,2225,30.20,-1.00,-,
Sep,2015,30.40,5.93,6.00,60,1221,30.30,-1.00,-,
Sep,2015,30.87,6.40,7.13,40,2138,30.30,-1.00,-,
Sep,2015,31.34,6.87,7.94,90,474,31.00,-1.00,-,
Sep,2015,31.80,7.34,7.94,40,45,32.60,-1.00,-,
Sep,2015,31.81,7.34,8.60,805,1882,32.60,-1.00,-,
Sep,2015,32.26,7.80,5.05,7,-,35.60,-1.00,-,
Sep,2015,32.27,7.80,9.90,10,3172,35.70,-1.00,-,
Sep,2015,32.73,8.27,8.99,2,15,40.50,-1.00,-,
Sep,2015,32.74,8.27,8.31,399,2846,40.70,-1.00,-,
Sep,2015,33.21,8.74,8.69,320,381,47.80,-1.00,-,
Sep,2015,33.68,9.21,10.05,180,3120,57.30,-1.00,-,
Sep,2015,34.14,9.67,10.25,23,529,68.40,-1.00,-,
Sep,2015,34.60,10.14,10.63,20,-,80.30,-1.00,-,
Sep,2015,34.61,10.14,8.62,250,422,80.60,-1.00,-,
Sep,2015,35.07,10.61,11.43,19,-,92.20,-1.00,-,
Sep,2015,35.08,10.61,9.80,220,341,92.40,-1.00,-,
Sep,2015,35.55,11.08,11.80,26,890,102.70,-1.00,-,
Sep,2015,36.48,12.01,12.04,152,425,110.50,-1.00,-,
Sep,2015,36.95,12.48,8.80,169,264,110.50,-1.00,-,
Sep,2015,39.29,14.82,15.50,56,3016,110.50,-1.00,-,
Sep,2015,39.75,15.28,15.97,7,10,110.50,-1.00,-,
Sep,2015,40.22,15.74,15.10,100,464,110.50,-1.00,-,
Sep,2015,42.09,17.61,18.41,20,169,110.50,-1.00,-,
Sep,2015,43.03,18.56,16.60,15,500,110.50,-1.00,-,
Oct,2015,19.64,.07,.10,50,29,41.80,-.05,2.66,
Oct,2015,20.11,.10,.25,41,91,41.20,-.06,3.55,
Oct,2015,20.57,.14,.28,200,1382,40.30,-.08,4.97,
Oct,2015,21.04,.18,.51,75,241,39.30,-.10,6.40,
Oct,2015,21.51,.23,.24,112,578,38.00,-.13,8.17,
Oct,2015,21.98,.29,.62,20,1815,36.70,-.16,10.48,
Oct,2015,21.99,.29,.29,25,-,36.70,-.16,10.48,
Oct,2015,22.44,.37,.38,475,1950,35.40,-.20,13.15,
Oct,2015,22.91,.46,.48,494,1214,34.10,-.25,16.34,
Oct,2015,23.38,.58,1.03,251,696,32.90,-.30,20.61,
Oct,2015,23.39,.58,.92,200,4233,32.80,-.30,20.61,
Oct,2015,23.85,.73,.77,476,1108,31.80,-.37,25.94,
Oct,2015,23.86,.73,1.00,10,10,31.80,-.37,25.94,
Oct,2015,24.31,.91,1.22,412,3478,30.80,-.44,32.33,
Oct,2015,24.78,1.13,1.72,90,896,30.10,-.51,28.78,
Oct,2015,25.25,1.40,1.54,135,2502,29.50,-.59,21.50,
Oct,2015,25.72,1.70,2.05,5,495,29.10,-.67,15.63,
Oct,2015,26.18,2.04,2.19,100,1085,28.90,-.74,11.19,
Oct,2015,26.66,2.40,3.05,55,297,28.90,-.80,7.28,
Oct,2015,27.13,2.80,3.42,20,110,29.10,-.86,4.62,
Oct,2015,28.99,4.56,5.21,17,22,31.50,-1.00,1.07,
Oct,2015,32.74,8.22,7.01,20,160,39.60,-1.00,-,
Nov,2015,20.00,.27,.41,40,108,42.00,-.11,5.65,
Nov,2015,21.50,.44,.70,20,220,37.60,-.18,9.38,
Nov,2015,22.00,.53,.70,51,751,36.30,-.21,11.19,
Nov,2015,23.00,.75,1.06,50,1389,33.90,-.29,15.99,
Nov,2015,23.50,.91,1.10,10,7475,32.80,-.34,19.29,
Nov,2015,24.00,1.09,1.42,50,1805,31.90,-.39,23.13,
Nov,2015,24.50,1.29,1.26,40,185,31.00,-.45,26.65,
Nov,2015,25.50,1.81,1.79,21,550,29.50,-.58,16.52,
Nov,2015,27.01,2.83,3.39,25,110,27.80,-.78,5.86,
Nov,2015,28.00,3.67,4.27,30,355,27.00,-.90,2.77,
Nov,2015,28.01,3.64,4.25,40,243,27.00,-.90,1.92,
Nov,2015,28.50,4.12,5.06,223,225,26.80,-.96,1.60,
Dec,2015,13.56,.03,.05,600,3324,56.50,-.01,.49,
Dec,2015,16.83,.14,.42,40,1055,49.70,-.05,2.21,
Dec,2015,18.71,.25,.26,461,12006,44.40,-.08,4.02,
Dec,2015,20.11,.37,.49,15,1805,40.50,-.13,6.07,
Dec,2015,21.04,.49,.47,1,10,38.00,-.17,8.04,
Dec,2015,21.52,.57,.75,190,1303,36.80,-.19,9.35,
Dec,2015,21.98,.66,1.60,200,1045,35.70,-.22,10.74,
Dec,2015,23.38,1.03,1.28,17,4154,32.80,-.33,16.89,
Dec,2015,23.85,1.19,1.53,50,1165,31.90,-.38,19.51,
Dec,2015,24.31,1.37,1.70,20,2841,31.10,-.43,22.47,
Dec,2015,24.32,1.37,2.96,52,696,31.10,-.43,22.38,
