Warrants Market - Daily,,,,,,,,,,,,
XAO 4262.7 at 16:36 1/7/2010  Report at 19:05 Thursday 1/7/2010. Processed 19:37 Thursday 1/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $5.20,,,,,,,,,,,,
STOUMP,13.00,23/09/10,4:1,0.345,0.355,0.26,-,-,,,,
Suncorp-Metway Last Sale Price $7.86,,,,,,,,,,,,
SUNUMP,8.00,23/09/10,4:1,0.165,0.175,-,-,-,,,,
Telstra Corp Last Sale Price $3.18,,,,,,,,,,,,
TLSWOS,3.00,26/08/10,2:1,0.069,0.074,0.04,-,-,,,,
TLSWMV,2.92,23/09/10,1:1,0.105,0.12,-,-,-,,,,
TLSUMP,3.15,23/09/10,1:1,0.205,0.225,-,-,-,,,,
TLSVMP,3.24,23/09/10,1:1,0.26,0.275,-,-,-,,,,
TLSVMQ,3.40,23/09/10,1:1,0.37,0.39,-,-,-,,,,
Toll Hldgs Ltd Last Sale Price $5.40,,,,,,,,,,,,
TOLVMP,6.00,23/09/10,1:1,0.785,0.81,-,-,-,,,,
Westpac Banking Last Sale Price $20.81,,,,,,,,,,,,
WBCVZU,22.00,28/07/10,4:1,0.39,0.425,0.335,-,-,,,,
WBCWMV,20.00,23/09/10,4:1,0.275,0.285,2.01,-,-,,,,
WBCWOV,21.00,23/09/10,4:1,0.41,0.415,0.31,-,-,,,,
WBCUMQ,22.00,23/09/10,4:1,0.50,0.515,0.52,-,-,,,,
WBCWOW,23.00,23/09/10,4:1,0.645,0.65,-,-,-,,,,
WBCUMT,24.00,23/09/10,4:1,0.845,0.86,-,-,-,,,,
WBCWOX,25.00,23/09/10,4:1,1.03,1.035,0.805,-,-,,,,
WBCUMU,26.00,23/09/10,4:1,1.26,1.28,-,-,-,,,,
WBCVMP,21.00,27/01/11,4:1,0.64,0.65,-,-,-,,,,
WBCVMQ,25.00,27/01/11,4:1,1.27,1.295,-,-,-,,,,
WBCVMR,28.00,27/01/11,4:1,1.875,1.895,-,-,-,,,,
WBCVMS,32.00,27/01/11,4:1,2.78,2.81,-,-,-,,,,
Wesfarmers Ltd Last Sale Price $27.77,,,,,,,,,,,,
WESWOP,29.00,26/08/10,5:1,0.505,0.51,0.605,-,-,,,,
WESUMP,28.00,23/09/10,4:1,0.51,0.535,0.435,-,-,,,,
WorleyParsons Ltd Last Sale Price $21.20,,,,,,,,,,,,
WORVMP,28.00,23/09/10,4:1,1.785,1.855,-,-,-,,,,
Woolworths Ltd Last Sale Price $26.64,,,,,,,,,,,,
WOWWOQ,26.50,26/08/10,4:1,0.205,0.21,0.14,-,-,,,,
WOWVMP,24.00,23/09/10,4:1,0.12,0.135,-,-,-,,,,
WOWUMP,27.00,23/09/10,4:1,0.37,0.40,-,-,-,,,,
WOWVMQ,30.00,23/09/10,4:1,0.925,0.97,-,-,-,,,,
Woodside Pet Last Sale Price $42.03,,,,,,,,,,,,
WPLVZT,42.00,28/07/10,5:1,0.38,0.41,0.33,-,-,,,,
WPLWOS,44.00,26/08/10,5:1,0.65,0.655,0.74,-,-,,,,
WPLWMV,40.00,23/09/10,4:1,0.53,0.55,-,-,-,,,,
WPLUMP,44.00,23/09/10,4:1,0.945,1.02,-,-,-,,,,
Basket Put Warrants ,,,,,,,,,,,,
Equity Endowment Warrants ,,,,,,,,,,,,
ANZ Banking Grp Last Sale Price $21.08,,,,,,,,,,,,
ANZEEA,5.63,15/02/12,1:1,15.83,-,17.55,-,-,,,,
C'wlth Bank  of Aust  Last Sale Price $47.47,,,,,,,,,,,,
