Warrants Market,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4403.9 at 2011-10-27T16:36:25. Report at Thursday, October 27, 2011. Processed Friday at 2011-10-28T01:00:08+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Equity Call Warrants,
ANZ Banking Grp Last Sale Price $22.00,
SUNSWD,15.47,30/06/16,1:1,.32,,.305,,,,
SUNSZC,8.25,30/06/17,1:1,1.51,,.04,,,,
SUNSZD,7.88,28/06/18,1:1,1.645,,3.22,,,,
SUNSMB,9.59,29/06/18,1:1,1.40,,2.67,,,,
SUNSZX,2.54,04/02/19,1:1,6.07,6.11,5.74,,,,
SUNSZW,4.08,04/02/19,1:1,4.53,4.57,3.68,,,,
SUNSRX,2.95,06/08/21,1:1,5.65,5.69,,,,,
,
Seven West Media Last Sale Price $3.51,
SWMJR1,1.84,27/01/12,1:1,1.67,1.675,,,,,
SWMSZW,1.44,28/12/17,1:1,2.06,2.07,1.855,,,,
SWMSRX,1.01,06/08/21,1:1,2.50,2.51,1.75,,,,
,
SPDR MSCI Aus Sel HDY Last Sale Price $23.37,
SYISZX,12.38,04/02/19,1:1,10.98,11.07,12.94,,,,
SYISOX,12.59,19/11/20,1:1,8.11,,,,,,
SYISRX,9.64,06/08/21,1:1,13.72,13.81,,,,,
,
TAH Egp Options,
TA8SSR,2.50,29/06/12,1:1,4.56,4.57,4.55,,,,
TA8SSA,8.85,30/06/14,1:1,.805,,,,,,
,
Tabcorp Hldgs Last Sale Price $2.96,
TAHJZ2,2.17,22/12/11,1:1,.79,.795,.635,,,,
TAHIOF,1.75,28/06/12,1:1,1.355,1.365,1.195,,,,
TAHSST,2.17,29/06/12,1:1,.965,.975,,,,,
TAHSMW,5.99,29/06/12,1:1,.29,,.41,,,,
TAHIZZ,0.58,03/12/12,1:1,2.42,2.43,,,,,
TAHSMA,2.64,28/06/13,1:1,.59,,1.13,,,,
TAHSZA,0.93,30/06/15,1:1,1.885,,1.815,,,,
TAHSOE,1.31,23/06/16,1:1,1.815,1.825,,,,,
TAHSWB,1.43,30/06/16,1:1,1.73,,1.56,,,,
TAHSWD,4.40,30/06/16,1:1,.125,,.081,,,,
TAHSMX,5.40,30/06/16,1:1,.26,,.295,,,,
TAHSZB,6.51,30/06/16,1:1,,,.625,,,,
TAHSMY,7.13,30/06/17,1:1,.345,,.60,,,,
TAHSMB,2.99,29/06/18,1:1,.465,,,,,,
TAHSZX,1.10,04/02/19,1:1,1.855,1.86,1.37,,,,
TAHSZW,1.67,04/02/19,1:1,1.29,1.295,.84,,,,
TAHSRX,1.40,06/08/21,1:1,1.555,1.56,,,,,
,
Transurban Grp Last Sale Price $5.42,
TCLIZQ,2.70,02/12/11,1:1,2.72,2.74,2.80,,,,
TCLSOA,4.43,28/06/12,1:1,1.425,1.435,1.74,,,,
TCLSSR,1.88,29/06/12,1:1,3.66,3.67,3.56,,,,
TCLSST,3.71,29/06/12,1:1,1.975,1.985,,,,,
TCLMMI,4.49,29/06/12,1:1,1.195,,,,,,
TCLSMW,5.11,29/06/12,1:1,.595,,.64,,,,
TCLSMA,3.95,28/06/13,1:1,1.71,,1.695,,,,
TCLSZA,2.00,30/06/15,1:1,3.40,,2.96,,,,
TCLSSB,3.44,30/06/15,1:1,2.80,,2.80,,,,
TCLSOE,2.50,23/06/16,1:1,3.23,3.24,,,,,
TCLSWB,2.51,30/06/16,1:1,3.04,,2.77,,,,
TCLSWG,2.87,30/06/16,1:1,3.21,3.23,3.27,,,,
TCLSZB,3.27,30/06/16,1:1,2.30,,2.22,,,,
TCLSMX,4.06,30/06/16,1:1,1.585,,1.25,,,,
TCLSMY,5.49,30/06/17,1:1,.91,,.905,,,,
TCLSMB,4.30,29/06/18,1:1,1.435,,2.91,,,,
TCLSZX,1.94,04/02/19,1:1,3.46,3.48,2.14,,,,
