Warrants Market - Daily,,,,,,,,,,,,
XAO 4680.0 at 16:37 23/9/2010  Report at 17:17 Thursday 23/9/2010. Processed 13:10 Friday 24/9/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
Asciano Grp Last Sale Price $1.62,,,,,,,,,,,,
QBEWOB,22.50,23/09/10,4:1,0.001,-,0.006,-,-,,,,
QBEWOC,24.50,23/09/10,4:1,-,-,0.006,-,-,,,,
QBEWOD,18.00,25/11/10,4:1,0.185,0.195,0.195,2.5,400,,,,
QBEWOE,19.50,25/11/10,4:1,0.077,0.082,0.084,-3.1,130,,,,
QBEWOA,21.50,25/11/10,4:1,0.024,0.034,-,-,-,,,,
QBEWMA,17.00,27/01/11,4:1,0.385,0.395,0.435,-,-,,,,
QBEWOF,18.00,28/01/11,4:1,0.28,0.285,-,-,-,,,,
QBEWOG,20.00,28/01/11,4:1,0.11,0.115,-,-,-,,,,
Rio Tinto Ltd Last Sale Price $76.04,,,,,,,,,,,,
RIOUMI,63.00,23/09/10,4:1,3.24,-,2.80,-,-,,,,
RIOUMJ,65.00,23/09/10,4:1,2.74,-,2.50,-,-,,,,
RIOUMK,68.00,23/09/10,4:1,1.995,1.89,1.89,34.5,28,,,,
RIOVMG,70.00,23/09/10,4:1,1.495,-,1.40,-,-,,,,
RIOUML,72.00,23/09/10,4:1,0.995,-,0.925,-,-,,,,
RIOVZI,72.00,23/09/10,6:1,0.65,0.54,0.355,-,-,,,,
RIOVMH,76.00,23/09/10,4:1,0.001,-,0.041,-,-,,,,
RIOUMM,80.00,23/09/10,4:1,0.001,-,0.05,-,-,,,,
RIOWMH,95.00,23/09/10,4:1,-,-,0.001,-,-,,,,
RIOWMI,100.00,23/09/10,4:1,0.001,-,0.001,-,-,,,,
RIOWOC,71.00,28/10/10,6:1,1.095,1.10,0.735,-,-,,,,
RIOWOD,75.00,28/10/10,6:1,0.64,0.645,0.64,9,150,,,,
RIOVZJ,77.00,28/10/10,6:1,0.335,0.385,-,-,-,,,,
RIOWOE,80.00,28/10/10,6:1,0.29,0.295,0.265,-5,100,,,,
RIOVZK,78.00,25/11/10,6:1,0.46,0.51,-,-,-,,,,
RIOWOF,74.00,23/12/10,6:1,1.185,1.19,-,-,-,,,,
RIOWOH,78.00,23/12/10,6:1,0.81,0.815,-,-,-,,,,
RIOWOI,82.00,23/12/10,6:1,0.515,0.52,-,-,-,,,,
RIOVMI,65.00,27/01/11,4:1,3.57,3.59,-,-,-,,,,
RIOVMJ,70.00,27/01/11,4:1,2.63,2.65,2.31,-,-,,,,
RIOVMK,75.00,27/01/11,4:1,1.88,1.89,1.715,-,-,,,,
RIOVML,80.00,27/01/11,4:1,1.275,1.285,0.935,-,-,,,,
RIOVMM,85.00,27/01/11,4:1,0.80,0.81,0.74,-,-,,,,
RIOWMC,80.00,24/03/11,4:1,1.61,1.625,-,-,-,,,,
Santos Ltd Last Sale Price $12.72,,,,,,,,,,,,
STOUMC,13.00,23/09/10,4:1,-,-,0.03,-,-,,,,
STOUMD,14.00,23/09/10,4:1,0.001,-,0.092,-,-,,,,
STOWOA,14.00,28/10/10,4:1,0.042,0.052,0.08,-,-,,,,
STOWOB,16.00,28/10/10,4:1,0.012,0.017,-,-,-,,,,
STOWOE,13.00,23/12/10,4:1,0.22,0.225,0.24,-,-,,,,
STOWOF,14.00,23/12/10,4:1,0.125,0.13,-,-,-,,,,
STOWOG,15.00,23/12/10,4:1,0.068,0.073,-,-,-,,,,
STOWMA,15.00,27/01/11,4:1,0.11,0.115,0.14,-,-,,,,
Suncorp-Metway Last Sale Price $9.01,,,,,,,,,,,,
SUNUMC,8.00,23/09/10,4:1,0.25,-,0.10,-,-,,,,
Ten Network Hldgs Last Sale Price $1.34,,,,,,,,,,,,
TENWMH,1.75,23/09/10,1:1,0.001,-,-,-,-,,,,
Telstra Corp Last Sale Price $2.68,,,,,,,,,,,,
TLSUMD,2.92,23/09/10,1:1,-,-,0.001,-,-,,,,
TLSUMF,3.15,23/09/10,1:1,-,-,-,-,-,,,,
TLSWMH,3.24,23/09/10,1:1,0.001,-,0.11,-,-,,,,
TLSVMF,3.40,23/09/10,1:1,-,-,-,-,-,,,,
TLSWMI,3.65,23/09/10,1:1,-,-,0.039,-,-,,,,
TLSWOA,3.25,28/10/10,2:1,0.01,0.011,0.019,-,-,,,,
TLSWOB,3.50,28/10/10,2:1,0.01,0.02,-,-,-,,,,
TLSWMC,2.75,27/01/11,1:1,0.15,0.16,0.145,-0.5,500,,,,
TLSWMD,3.00,27/01/11,1:1,0.062,0.068,0.067,-,-,,,,
TLSWOC,2.75,28/01/11,2:1,0.095,0.10,0.10,-0.5,800,,,,
TLSWOD,3.00,28/01/11,2:1,0.048,0.053,0.049,-,400,,,,
Toll Hldgs Ltd Last Sale Price $6.57,,,,,,,,,,,,
