Warrants Market - Daily,,,,,,,,,,,,
XAO 4695.2 at 16:47 7/12/2009  Report at 19:05 Monday 7/12/2009. Processed 19:20 Monday 7/12/2009.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $6.16,,,,,,,,,,,,
BHPVMU,40.00,29/04/10,4:1,0.935,0.94,0.91,7.5,9
BlueScope Steel Last Sale Price $2.89,,,,,,,,
BSLWOQ,2.75,17/12/09,2:1,0.027,0.032,0.061,-,-
BSLVMS,3.25,25/03/10,2:1,0.26,0.265,0.28,-,-
C'wlth Bank  of Aust  Last Sale Price $53.79,,,,,,,,
CBAWOV,30.00,17/12/09,5:1,-,-,0.058,-,-
CBAWOW,42.00,17/12/09,5:1,-,0.011,0.008,-,-
CBAWZX,50.00,17/12/09,5:1,0.017,-,0.025,-,-
CBAWOX,51.00,17/12/09,5:1,0.079,0.089,0.215,-,-
CBAWZW,54.00,17/12/09,5:1,0.28,0.31,0.32,-2,100
CBAWZY,55.00,28/01/10,5:1,0.705,0.73,0.76,4,30
CBAWOY,41.00,25/02/10,5:1,0.076,0.081,0.079,-0.1,200
CBAVOP,46.00,25/02/10,5:1,0.20,0.205,0.20,-,280
CBAWZZ,48.00,25/02/10,5:1,0.35,0.375,0.565,-,-
CBAWOZ,50.00,25/02/10,5:1,0.41,0.385,0.40,-,-
CBAVMS,53.00,25/03/10,5:1,0.86,0.865,0.845,-,-
CBAVMT,55.00,25/03/10,5:1,1.06,1.065,-,-,-
CBAVMU,57.00,29/04/10,5:1,1.385,1.39,-,-,-
Computershare Ltd Last Sale Price $10.97,,,,,,,,
CPUVMS,11.00,25/03/10,2:1,0.495,0.50,-,-,-
CSL Ltd Last Sale Price $31.26,,,,,,,,
CSLVMS,33.00,25/03/10,4:1,0.775,0.78,-,-,-
Incitec Pivot Last Sale Price $3.11,,,,,,,,
IPLVMS,3.00,25/03/10,2:1,0.145,0.15,-,-,-
Lihir Gold Ltd Last Sale Price $3.36,,,,,,,,
LGLWOT,3.25,17/12/09,2:1,0.033,0.038,0.042,-,-
LGLWOS,3.50,17/12/09,2:1,0.105,0.11,-,-,-
LGLVMS,3.50,25/03/10,2:1,0.22,0.225,0.185,-,-
Macq Grp Ltd Last Sale Price $48.00,,,,,,,,
MQGVZQ,50.00,17/12/09,5:1,0.595,0.62,0.63,-,-
MQGVZR,55.00,17/12/09,5:1,1.43,1.46,1.54,-,-
