Warrants Market - Daily,,,,,,,,,,,,
XAO 4526.8 at 16:43 1/9/2010  Report at 19:06 Wednesday 1/9/2010. Processed 19:14 Wednesday 1/9/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $5.12,,,,,,,,,,,,
CBAWOY,49.00,25/11/10,5:1,0.365,0.37,-,-,-,,,,
CBAWOR,51.00,25/11/10,5:1,0.515,0.525,-,-,-,,,,
CBAWOQ,53.00,25/11/10,5:1,0.71,0.715,-,-,-,,,,
CBAWOP,56.00,25/11/10,5:1,1.075,1.085,1.06,-,30,,,,
CBAVMQ,47.00,27/01/11,4:1,-,-,-,-,-,,,,
CBAVMR,49.00,27/01/11,4:1,-,-,1.32,-,-,,,,
CBAVMS,51.00,27/01/11,4:1,-,-,-,-,-,,,,
CBAVMT,53.00,27/01/11,4:1,-,-,-,-,-,,,,
Computershare Ltd Last Sale Price $9.58,,,,,,,,,,,,
CPUUMP,11.50,23/09/10,1:1,1.895,-,1.97,-,-,,,,
CSL Ltd Last Sale Price $32.89,,,,,,,,,,,,
CSLUMP,34.00,23/09/10,4:1,0.44,0.445,0.665,-,-,,,,
Fortescue Metals Grp Last Sale Price $4.92,,,,,,,,,,,,
FMGUMP,4.50,23/09/10,1:1,0.066,0.071,0.10,-4.5,200,,,,
Incitec Pivot Last Sale Price $3.44,,,,,,,,,,,,
IPLUMP,3.00,23/09/10,1:1,0.011,-,0.042,-,-,,,,
Macq Grp Ltd Last Sale Price $37.80,,,,,,,,,,,,
MQGVZP,38.00,23/09/10,5:1,0.245,0.285,0.34,-,-,,,,
MQGWOS,38.00,23/09/10,6:1,0.29,0.30,0.335,-,-,,,,
MQGWOP,42.50,23/09/10,6:1,0.825,0.83,0.89,-,-,,,,
MQGVZQ,34.00,28/10/10,5:1,0.115,0.15,-,-,-,,,,
