Warrants Market - Daily,,,,,,,,,,,,
XAO 4483.1 at 16:36 30/8/2010  Report at 19:05 Monday 30/8/2010. Processed 19:17 Monday 30/8/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $5.09,,,,,,,,,,,,
FMGUMP,4.50,23/09/10,1:1,0.135,0.14,0.305,-,-,,,,
Incitec Pivot Last Sale Price $3.37,,,,,,,,,,,,
IPLUMP,3.00,23/09/10,1:1,0.025,0.03,0.042,-,-,,,,
Macq Grp Ltd Last Sale Price $37.84,,,,,,,,,,,,
MQGVZP,38.00,23/09/10,5:1,0.28,0.32,0.34,-,-,,,,
MQGWOS,38.00,23/09/10,6:1,0.31,0.32,0.465,-,-,,,,
MQGWOP,42.50,23/09/10,6:1,0.845,0.85,0.89,-,-,,,,
MQGWOU,34.00,25/11/10,6:1,0.27,0.275,-,-,-,,,,
MQGWOT,38.00,25/11/10,6:1,0.55,0.555,-,-,-,,,,
MQGWOQ,42.00,25/11/10,6:1,1.025,1.03,-,-,-,,,,
National Aust Bank Last Sale Price $23.55,,,,,,,,,,,,
NABVZW,23.00,23/09/10,4:1,0.10,0.135,0.155,-,-,,,,
NABWOV,24.00,23/09/10,4:1,0.22,0.225,0.275,-,-,,,,
NABWOW,25.50,23/09/10,4:1,0.455,0.46,0.64,-,-,,,,
NABWOX,27.50,23/09/10,4:1,0.92,0.925,1.115,-,-,,,,
NABVOP,18.50,25/11/10,4:1,0.055,0.06,-,-,-,,,,
NABWOZ,20.00,25/11/10,4:1,0.105,0.11,-,-,-,,,,
NABWOY,22.00,25/11/10,4:1,0.235,0.24,0.26,-,-,,,,
NABWOR,24.00,25/11/10,4:1,0.46,0.465,-,-,-,,,,
NABWOQ,26.00,25/11/10,4:1,0.79,0.795,-,-,-,,,,
NABWOP,28.00,25/11/10,4:1,1.215,1.22,-,-,-,,,,
Newcrest Min Last Sale Price $36.01,,,,,,,,,,,,
NCMVZU,32.00,23/09/10,4:1,0.011,0.04,0.071,-,-,,,,
NCMWOS,28.00,28/10/10,4:1,0.028,0.033,0.089,-,-,,,,
NCMWOR,32.00,28/10/10,4:1,0.11,0.135,0.155,-,-,,,,
News Corp Last Sale Price $15.75,,,,,,,,,,,,
NWSUMQ,18.00,23/09/10,4:1,0.575,-,0.38,-,-,,,,
NWSVMP,20.00,23/09/10,4:1,1.065,-,-,-,-,,,,
Orica Ltd Last Sale Price $25.35,,,,,,,,,,,,
ORIUMP,23.47,23/09/10,4:1,0.038,0.043,0.13,-,-,,,,
Qantas Airways Last Sale Price $2.54,,,,,,,,,,,,
QANUMP,2.75,23/09/10,1:1,0.235,-,0.28,-,-,,,,
QBE Insurance Grp Last Sale Price $16.74,,,,,,,,,,,,
QBEUMP,20.00,23/09/10,4:1,0.80,-,0.995,-,-,,,,
QBEWOS,15.00,25/11/10,4:1,0.105,0.11,-,-,-,,,,
QBEWOR,17.50,25/11/10,4:1,0.365,0.37,-,-,-,,,,
QBEWOQ,19.00,25/11/10,4:1,0.63,0.635,-,-,-,,,,
Rio Tinto Ltd Last Sale Price $71.01,,,,,,,,,,,,
RIOUMU,60.00,23/09/10,4:1,0.043,0.049,0.049,-4.4,80,,,,
RIOUMX,63.00,23/09/10,4:1,0.095,0.105,0.20,-,-,,,,
RIOUMV,65.00,23/09/10,4:1,0.16,0.175,0.31,-,-,,,,
RIOVZP,65.00,23/09/10,6:1,0.095,0.13,0.12,-,-,,,,
RIOUMY,68.00,23/09/10,4:1,0.33,0.35,0.695,-,-,,,,
RIOUMW,70.00,23/09/10,4:1,0.505,0.53,0.82,-,-,,,,
RIOWMV,72.00,23/09/10,4:1,0.74,0.77,0.60,-,-,,,,
RIOVMP,76.00,23/09/10,4:1,1.40,1.44,1.37,-,-,,,,
RIOWOU,64.00,28/10/10,6:1,0.25,0.255,0.32,-,-,,,,
RIOWOT,68.00,28/10/10,6:1,0.445,0.45,0.455,-,-,,,,
RIOWOS,72.00,28/10/10,6:1,0.72,0.725,0.915,-,-,,,,
RIOVMQ,65.00,27/01/11,4:1,0.985,1.005,0.91,-,-,,,,
RIOVMR,70.00,27/01/11,4:1,1.465,1.49,-,-,-,,,,
