Industrial Market - Daily,,,,,,,,,,,,,,,,,
XAO 4856.7 at 16:34 29/12/2009  Report at 17:15 Tuesday 29/12/2009. Processed 17:16 Tuesday 29/12/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
0.002,0.002,-,-,BLZO,  opt aug10,0.002,,-,0.001,0.004,-,,-,-,-,-,-
0.055,0.013,-,-,BIV,Blue Capital Ltd,0.015,,-,0.016,0.02,-,,-,0.03,-,-0.79,-
3.48,1.675,3.04,2.96,BSL,BlueScope Steel,3.02,6,97126,3.02,3.03,5,,-,2.46,1.66,-7.1,-
0.385,0.15,0.19,0.175,BLG,Bluglass Ltd,0.175,-0.5,2639,0.175,0.19,-,,-,0.04,-,-5.06,-
0.375,0.054,0.365,0.35,BLY,Boart Longyear,0.36,0.5,378121,0.36,0.365,2.87,,2.38,-0.10,7.97,6.84,5.3
0.25,0.10,-,-,BNE,Bone Medical Ltd,0.135,,-,0.155,0.185,-,,-,-0.01,-,-3.55,-
0.75,0.27,0.41,0.39,BOL,Boom Logistics,0.395,-1,33019,0.395,0.40,1,,-,0.89,2.53,-16.1,-
6.40,2.29,5.87,5.73,BLD,Boral Ltd,5.87,16,9867,5.86,5.87,13,f,1.85,4.12,2.21,24.1,24.4
7.55,0.945,6.71,6.54,BKN,Bradken Ltd,6.57,-3,3636,6.57,6.58,23,f,2.28,1.31,3.50,52.5,12.5
0.35,0.185,0.30,0.30,BRC,Brain Resource,0.30,1,175,0.29,0.30,-,,-,0.01,-,4.6,6.5
0.06,0.007,-,-,BZI,Brainz Instruments,0.038,,-,0.038,0.044,-,,-,0.03,-,-0.68,-
8.37,4.08,6.81,6.73,BXB,Brambles Ltd,6.76,-4,15668,6.75,6.78,30,p,1.34,0.58,4.44,40.18,16.8
0.045,0.013,0.021,0.02,BNV,Brand New Vintage,0.02,-0.1,10000,0.02,0.022,-,,-,0.03,-,0.1,20.0
0.315,0.119,0.205,0.20,BVA,Bravura Solutions,0.205,-0.5,938,0.205,0.21,-,,-,-0.35,-,1.15,17.8
0.025,0.01,-,-,BPK,Bremer Park Ltd,0.01,,-,0.01,0.02,-,,-,-,-,-0.6,-
