Industrial Market - Daily,,,,,,,,,,,,,,,,,,
XAO 4846.2 at 16:47 21/10/2009  Report at 19:05 Wednesday 21/10/2009. Processed 19:28 Wednesday 21/10/2009.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio,
8.60,6.84,7.90,7.90,AIB,Aurora Infrastructur unt,7.90,20,50,7.90,8.30,106,,-,8.24,13.42,-13.91,-
5.10,4.20,-,-,AUP,Aurora Prop unt,5.10,,-,5.32,5.70,-,,-,5.36,-,-,-
1.245,1.055,1.115,1.11,AOD,Aurora Sandringham ,1.115,0.5,480,1.105,1.115,5,f,-,1.09,4.48,-6.57,-
1.95,0.675,1.79,1.70,ASL,Ausdrill Ltd,1.71,-6.5,6080,1.71,1.74,11,f,2.11,1.73,6.43,23.23,7.4
5.95,1.855,5.42,5.26,AAX,Ausenco Ltd,5.33,-15,9683,5.30,5.34,18.5,f,2.38,0.76,3.47,43.94,12.1
0.58,0.10,0.55,0.53,AET,Ausmelt Ltd,0.54,1,450,0.50,0.53,2,,-,-,3.70,-32.9,-
2.42,1.16,1.495,1.47,AAC,Aust Agriculture,1.485,,3645,1.47,1.485,-,,-,2.55,-,-25.7,-
0.014,0.002,0.008,0.008,AAK,Aust China Hldgs,0.008,0.1,2433,0.007,0.008,-,,-,0.06,-,0.34,2.4
0.005,0.001,-,-,AAKO,  opt dec13,0.003,,-,0.003,0.004,-,,-,-,-,-,-
0.54,0.145,0.52,0.48,AEU,Aust Education unt,0.50,,755,0.48,0.50,6.7,,-,1.33,13.40,-21.5,-
7.35,5.00,6.45,6.40,AYF,Aust Enhanced unt,6.40,,101,6.32,6.40,65,p,-,6.28,10.16,-157,-
37.00,17.00,-,-,AEF,Aust Ethical,34.30,,-,32.50,34.30,147,f,0.83,8.53,4.29,121.6,28.2
5.30,3.41,5.30,5.24,AFI,Aust Foundation,5.29,5,2455,5.28,5.30,21,f,0.51,4.79,3.97,10.61,49.9
1.866,0.991,1.70,1.61,AIX,Aust Infra unt,1.685,6.5,47214,1.67,1.695,13,p,2.03,3.14,7.72,26.33,6.4
1.265,0.55,1.21,1.20,ALF,Aust Leaders,1.20,-2,350,1.21,1.22,5,f,2.37,1.49,4.17,11.85,10.1
0.10,0.05,0.056,0.055,ALFO,  opt nov10,0.055,,1208,0.055,0.057,-,,-,-,-,-,-
1.10,0.35,-,-,API,Aust Pharmaceutical,1.055,,-,1.18,1.065,1,,5.90,0.84,0.95,5.9,17.9
0.38,0.12,0.33,0.33,APK,Aust Power,0.33,-2,300,0.335,0.35,-,,-,-0.08,-,-9.8,-
7.45,4.25,-,-,AUI,Aust United Invest,7.06,,-,7.15,7.25,25,f,0.56,6.82,3.54,14,50.4
0.735,0.125,0.305,0.295,AVG,Aust Vintage Ltd,0.305,0.5,1745,0.305,0.31,-,,-,0.88,-,-96,-
3.12,1.38,2.61,2.53,ASB,Austal Ltd,2.53,-3,3413,2.53,2.63,6,f,0.83,1.24,2.37,5,50.6
1.39,0.60,1.39,1.29,AUN,Austar United,1.365,5.5,70663,1.33,1.365,-,,-,-0.33,-,-2.4,-
5.65,3.30,5.10,5.06,AUB,Austbrokers Hldgs,5.10,4,498,5.06,5.10,20.5,f,1.55,0.88,4.02,31.7,16.1
1.74,1.02,1.565,1.51,AEO,Austereo Grp Ltd,1.54,1.5,1534,1.50,1.56,9.1,f,1.32,-0.01,5.91,11.98,12.9
2.80,0.78,2.77,2.62,ANG,Austin Engineer,2.77,9,1791,2.76,2.77,8,f,3.92,0.63,2.89,31.39,8.8
0.35,0.15,0.28,0.28,ACK,Austock Grp Ltd,0.28,3,4237,0.28,0.30,1,,-,0.19,3.57,-17.6,-
1.00,0.75,-,-,AYX,Austofix Grp Ltd,1.00,,-,1.00,-,-,,-,0.26,-,-6.3,-
0.585,0.174,0.55,0.54,ALZ,Australand Prop stpld,0.55,,33268,0.545,0.55,10,,-,0.92,18.18,-15.55,-
0.057,0.016,-,-,AIY,Authorised Invest,0.033,,-,0.023,0.033,-,,-,0.03,-,-0.23,-
-,-,-,-,AIYO,  opt feb13,-,,-,-,-,-,,-,-,-,-,-
0.01,0.01,-,-,AIYOA,  opt mar10,0.01,,-,-,-,-,,-,-,-,-,-
0.193,0.028,-,-,ATJ,Auto Tech Ltd,0.063,,-,0.05,0.064,-,,-,0.01,-,-5.55,-
0.11,0.02,0.11,0.10,AIE,Autodom Ltd,0.11,2,996,0.10,0.11,-,,-,0.12,-,2.32,4.7
2.25,0.42,2.23,2.16,AHE,Automotive Hldgs,2.23,4,3126,2.18,2.25,14,f,-,0.69,6.28,-,-
0.03,0.01,-,-,AAT,Autron Corp,0.02,,-,0.02,0.021,-,,-,-,-,-1.63,-
0.22,0.054,0.195,0.185,AVX,Avexa Ltd,0.185,-0.5,10784,0.185,0.19,-,,-,0.03,-,-7.87,-
0.275,0.031,0.165,0.16,AVH,Avita Medical Ltd,0.165,,1085,0.16,0.17,-,,-,0.05,-,-5.49,-
0.55,0.16,0.525,0.51,AVJ,AVJennings,0.525,,780,0.51,0.535,2,,-,1.04,3.81,-4.68,-
2.995,0.592,1.275,1.235,AWB,AWB Ltd,1.24,-3.5,76377,1.235,1.245,5,,3.70,1.81,4.03,18.5,6.7
0.006,0.002,0.005,0.005,AWL,AWH Corp Ltd,0.005,0.1,21900,0.005,0.006,-,,-,-,-,-0.31,-
5.19,2.52,4.70,4.61,AXA,AXA Asia Pacific,4.66,-3,45937,4.61,4.70,18.5,p,-,0.96,3.97,-7.39,-
0.08,0.021,-,-,AXI,Axiom Prop,0.063,,-,0.064,0.067,-,,-,0.06,-,-2.76,-
0.20,0.095,-,-,AZU,Azurn Int Ltd,0.095,,-,-,-,-,,-,-,-,-,-
0.27,0.024,0.041,0.038,BBI,Babcock & Br Infr stp,0.038,-0.2,414008,0.038,0.039,2.5,,-,1.84,65.79,-40.69,-
0.14,0.024,0.086,0.08,BBP,Babcock & Br Pwr stp,0.086,0.4,80207,0.083,0.087,-,,-,-1.48,-,-20.34,-
0.17,0.041,0.12,0.12,BLP,Babcock & Br Res stp,0.12,0.5,460,0.12,0.125,4.12,,-,0.66,34.33,-14.95,-
13.938,6.228,13.30,13.05,BOQ,Bank of Qld,13.10,-25,7838,13.09,13.20,52,f,1.46,6.62,3.97,75.9,17.3
0.03,0.01,-,-,BBX,BBX Hldgs,0.02,,-,0.002,0.04,-,,-,0.01,-,-12.17,-
0.285,0.043,0.099,0.093,BEC,Becton Prop Grp stpld,0.098,-0.2,11643,0.098,0.099,16.3,,-,0.23,166.33,-167.28,-
1.22,0.37,1.22,1.18,BFG,Bell Financial Grp,1.18,-2,830,1.16,1.18,4,f,1.23,0.27,3.39,4.9,24.1
2.00,1.10,-,-,BET,Belmont Hldgs,1.10,,-,1.10,-,12.5,,0.02,1.77,11.36,0.19,578.9
13.828,5.733,9.94,9.79,BEN,Bendigo & Adelaide,9.87,-1,11456,9.85,9.88,43,f,0.60,4.03,4.36,25.6,38.6
0.06,0.02,0.05,0.047,BLT,Benitec Ltd,0.047,,2443,0.047,0.05,-,,-,-,-,-0.8,-
0.03,0.005,-,-,BLTO,  opt apr14,0.023,,-,0.022,0.033,-,,-,-,-,-,-
0.019,0.002,-,-,BLTOA,  opt apr11,0.006,,-,0.003,0.016,-,,-,-,-,-,-
0.34,0.20,0.315,0.315,BEL,Bentley Capital,0.315,0.5,550,0.31,0.315,-,f,-,0.42,-,-1.46,-
0.62,0.25,0.54,0.54,BER,Berklee Ltd,0.54,-1,210,0.53,0.54,-,f,-,0.89,-,13,4.2
0.65,0.50,-,-,BYI,Beyond Intl,0.55,,-,0.55,0.64,5,,1.46,0.42,9.09,7.28,7.6
0.054,0.007,0.007,0.007,BSI,Beyond Sportswear,0.007,-1.3,400,0.008,0.024,-,,-,-0.01,-,-0.23,-
0.18,0.029,0.14,0.14,BGL,Bigair Grp Ltd,0.14,1,98,0.14,0.15,-,,-,0.06,-,1.2,11.7
12.307,5.815,11.55,11.28,BBG,Billabong Intl,11.48,4,18775,11.44,11.57,45,p,1.54,0.70,3.92,69.2,16.6
0.23,0.065,-,-,BDM,Biodiem Ltd,0.20,,-,0.20,0.235,-,,-,0.05,-,-1.98,-
0.08,0.02,-,-,BOD,bioMD Ltd,0.055,,-,0.055,0.058,-,,-,0.01,-,-1.09,-
-,-,-,-,BODO,  opt aug10,-,,-,0.001,-,-,,-,-,-,-,-
0.31,0.175,0.285,0.28,BNO,Bionomics Ltd,0.28,0.5,285,0.275,0.28,-,,-,0.03,-,-2.8,-
0.40,0.015,0.145,0.135,BPH,Biopharmica Ltd,0.14,,3072,0.14,0.145,-,,-,-,-,-3.04,-
0.048,0.011,0.048,0.043,BPO,BioProspect Ltd,0.047,0.5,37667,0.044,0.047,-,,-,0.01,-,-0.62,-
0.006,0.001,0.005,0.003,BPOOB,  opt mar10,0.003,,49315,0.003,0.005,-,,-,-,-,-,-
3.47,0.29,2.90,2.63,BTA,Biota Hldgs,2.80,-8,34708,2.78,2.82,-,,-,0.55,-,21.7,12.9
0.26,0.075,0.26,0.25,BTC,Biotech Capital,0.25,,191,0.255,0.26,-,,-,0.34,-,-5.18,-
0.175,0.061,0.125,0.125,BIT,Biotron Ltd,0.125,-0.5,215,0.125,0.13,-,,-,0.01,-,-1.67,-
0.40,0.13,-,-,BIS,Bisalloy Steel,0.23,,-,0.22,0.23,-,,-,0.02,-,-3,-
0.06,0.02,-,-,BSN,Bisan Ltd,0.05,,-,0.045,0.054,-,,-,0.06,-,-2.82,-
0.01,0.003,0.008,0.008,BKM,BKM Management,0.008,-0.2,130,0.008,0.01,-,,-,-,-,-0.25,-
