Industrial Market - Daily,,,,,,,,,,,,,,,,,
XAO 4665.9 at 16:35 24/2/2010  Report at 19:05 Wednesday 24/2/2010. Processed 19:37 Wednesday 24/2/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
-,-,-,-,BODO,  opt aug10,-,,-,-,-,-,,-,-,-,-,-
0.43,0.185,0.31,0.30,BNO,Bionomics Ltd,0.31,1.5,15596,0.305,0.32,-,,-,0.06,-,-2.4,-
0.06,0.011,-,-,BPO,BioProspect Ltd,0.026,,-,0.028,0.028,-,,-,0.01,-,-0.62,-
0.006,0.001,-,-,BPOOB,  opt mar10,0.001,,-,-,0.001,-,,-,-,-,-,-
0.035,0.004,0.018,0.017,BOS,Biosignal Ltd,0.017,-0.1,2654,0.016,0.018,-,,-,-,-,-3.3,-
3.336,0.413,2.22,2.10,BTA,Biota Hldgs,2.20,8,14495,2.20,2.21,-,,-,0.60,-,36.6,6.0
0.31,0.08,0.215,0.21,BTC,Biotech Capital,0.215,-0.5,170,0.215,0.22,-,,-,0.35,-,0.47,45.7
0.175,0.075,0.095,0.095,BIT,Biotron Ltd,0.095,,1000,0.09,0.094,-,,-,0.01,-,-1.67,-
0.037,0.024,0.025,0.025,BITO,  opt dec11,0.025,-0.2,1191,0.025,0.029,-,,-,-,-,-,-
0.30,0.13,0.21,0.20,BIS,Bisalloy Steel,0.21,2,4592,0.20,0.215,-,,-,0.03,-,-3.44,-
0.05,0.03,-,-,BSN,Bisan Ltd,0.04,,-,0.04,0.05,-,,-,0.06,-,-2.82,-
1.325,0.787,1.27,1.265,BKI,BKI Invest Ltd,1.265,-0.5,309,1.26,1.27,5.5,f,1.18,1.45,4.35,6.47,19.6
0.011,0.003,-,-,BKM,BKM Management,0.004,,-,0.004,0.009,-,,-,-,-,-0.25,-
23.00,10.77,20.73,20.50,BKL,Blackmores Ltd,20.50,-23,62,20.50,20.75,96,f,1.33,3.46,4.68,127.5,16.1
0.031,0.013,0.022,0.022,BIV,Blue Capital Ltd,0.022,,310,0.022,0.028,-,,-,0.03,-,-0.79,-
3.48,1.675,2.48,2.43,BSL,BlueScope Steel,2.44,-6,148820,2.44,2.45,5,,-,2.47,2.05,-61.37,-
0.385,0.15,0.18,0.17,BLG,Bluglass Ltd,0.17,-1,290,0.17,0.18,-,,-,0.04,-,-5.06,-
0.41,0.054,0.32,0.305,BLY,Boart Longyear,0.315,-0.5,588395,0.31,0.315,-,,-,0.14,-,-0.67,-
0.25,0.10,-,-,BNE,Bone Medical Ltd,0.14,,-,0.14,0.20,-,,-,-0.01,-,-3.55,-
0.70,0.27,0.34,0.325,BOL,Boom Logistics,0.33,-1.5,30196,0.325,0.33,1,,-,0.89,3.03,-16.1,-
6.40,2.29,5.54,5.43,BLD,Boral Ltd,5.46,-5,46485,5.44,5.48,12.5,f,1.82,4.23,2.29,22.7,24.1
0.391,0.016,0.07,0.068,BPH,BPH Corp Ltd,0.068,-0.4,2041,0.068,0.071,-,,-,0.07,-,-2.68,-
0.018,0.003,0.004,0.003,BPHO,  opt may10,0.003,,20654,0.002,0.003,-,,-,-,-,-,-
7.55,0.945,6.76,6.50,BKN,Bradken Ltd,6.71,1,4557,6.68,6.76,26,f,1.67,1.58,3.87,43.3,15.5
0.35,0.185,0.27,0.27,BRC,Brain Resource,0.27,,292,0.27,0.28,-,,-,-0.01,-,1.6,16.9
0.08,0.013,0.08,0.08,BZI,Brainz Instruments,0.08,2,1260,0.08,0.15,-,,-,0.03,-,-0.68,-
8.37,4.08,7.23,7.12,BXB,Brambles Ltd,7.19,-4,120617,7.16,7.19,25,p,1.38,0.66,3.48,34.45,20.9
0.04,0.013,-,-,BNV,Brand New Vintage,0.013,,-,0.013,0.034,-,,-,0.03,-,0.1,13.0
