Industrial Market - Daily,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"XAO 4734.1 at 2011-03-21T16:38:31. Report at Monday, March 21, 2011. Processed Friday at 2011-03-25.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio
5.3,1.71,3.37,3.28,AAX,Ausenco,3.33,-4,1612,3.3,3.34,4.5,,-,0.43,1.35,-8.8,-
1.7,1.22,1.635,1.59,AAC,Aust Agriculture,1.61,1,4188,1.58,1.675,-,,-,2.23,-,0.34,473.5
0.007,0.001,0.002,0.002,AAK,Aust China Hldgs,0.002,-,1510,0.002,0.003,-,,-,0.02,-,-0.05,-
0.001,0.001,-,-,AAKO,  opt dec13,0.001,-,-,-,0.001,-,,-,-,-,-,-
0.89,0.44,0.83,0.83,AEU,Aust Education unt,0.83,-,250,0.83,0.83,0.67,,7.72,1.34,0.81,5.17,16.1
6.72,6.1,-,-,AYF,Aust Enhanced unt,6.65,-,-,6.6,6.65,50,p,1.02,6.94,7.52,51,13
29.1,18.345,20.39,20.39,AEF,Aust Ethical,20.39,-3,8,20.35,26.5,95,f,0.85,7.16,4.66,80.34,25.4
5.3,4.52,4.69,4.6,AFI,Aust Foundation,4.64,-,3967,4.62,4.64,21,f,1.01,4.93,4.53,21.17,21.9
2.09,1.54,1.88,1.83,AIX,Aust Infrastructure Fd unt,1.87,-1.5,13338,1.845,1.875,10,p,2.44,2.7,5.35,24.4,7.7
1.28,1.015,-,-,ALF,Aust Leaders Fund,1.26,-,-,1.245,1.25,9,f,0.82,1.43,7.14,7.35,17.1
0.625,0.305,0.315,0.305,API,Aust Pharmaceutical,0.31,0.5,4628,0.31,0.32,2.5,f,2.04,0.89,8.06,5.1,6.1
0.57,0.335,0.45,0.45,APK,Aust Power & Gas,0.45,1,100,0.44,0.45,-,,-,-,-,-5.42,-
7.79,6.37,-,-,AUI,Aust United Invest,6.55,-,-,6.6,6.74,26,f,1.22,7.43,3.97,31.8,20.6
0.465,0.195,0.315,0.3,AVG,Aust Vintage,0.3,-2.5,560,0.295,0.305,-,,-,1.02,-,3.9,7.7
3.58,1.935,2.94,2.87,ASB,Austal,2.9,-,1527,2.84,2.94,6,,3.25,1.43,2.07,19.52,14.9
1.46,0.835,1.25,1.225,AUN,Austar United,1.245,-0.5,50187,1.225,1.25,-,,-,-0.21,-,7.9,15.8
6.15,4.54,6.05,5.95,AUB,Austbrokers Hldgs,6.05,10,309,5.97,6.15,23.5,f,1.6,1.2,3.88,37.5,16.1
2.14,1.49,2.07,2.06,AEO,Austereo Grp,2.07,-1,1873,2.06,2.08,10.7,f,1.35,-0.53,5.17,14.46,14.3
4.9,2.55,4.78,4.64,ANG,Austin Engineer,4.74,-,327,4.64,4.74,10.5,f,2.97,0.37,2.22,31.19,15.2
0.28,0.1,-,-,ACK,Austock Grp,0.13,-,-,0.13,0.14,-,,-,0.19,-,-0.9,-
1.2,0.6,-,-,AYX,Austofix Grp,0.6,-,-,0.15,0.58,-,,-,0.13,-,-9.5,-
3.17,2.25,2.99,2.9,ALZ,Australand Prop stp,2.99,5,10155,2.87,2.99,20.5,,1.4,3.52,6.86,28.7,10.4
0.055,0.01,-,-,AIY,Authorised Invest,0.011,-,-,0.007,0.029,-,,-,0.02,-,-1,-
0.016,0.01,-,-,AIYO,  opt feb13,0.016,-,-,-,0.016,-,,-,-,-,-,-
0.056,0.024,-,-,ATJ,Auto Technology,0.039,-,-,0.032,0.039,-,,-,0.01,-,-1.43,-
0.011,0.001,-,-,ATJO,  opt jun11,0.002,-,-,-,0.005,-,,-,-,-,-,-
0.01,0.003,-,-,ATJOA,  opt jun12,0.01,-,-,0.003,0.01,-,,-,-,-,-,-
0.084,0.036,-,-,AIE,Autodom,0.046,-,-,0.046,0.05,-,,-,0.05,-,-3.43,-
2.88,2.1,2.66,2.56,AHE,Automotive Hldgs,2.66,6,400,2.56,2.7,17,f,1.47,0.78,6.39,24.96,10.7
0.155,0.024,0.038,0.037,AVX,Avexa,0.038,-0.1,845,0.037,0.038,-,,-,0.03,-,-4.41,-
0.17,0.099,0.115,0.1,AVH,Avita Medical,0.1,-,177,0.105,0.115,-,,-,0.02,-,-4.83,-
0.6,0.38,0.55,0.55,AVJ,AVJennings,0.55,-,300,0.525,0.56,2.5,f,3.15,1.1,4.55,7.87,7
6.46,4.86,-,-,AXA,AXA Asia Pacific,6.42,-,-,-,-,18.5,,1.58,1.01,2.88,29.19,22
0.046,0.017,0.04,0.04,AXI,Axiom Prop,0.04,0.3,500,0.037,0.04,-,,-,0.05,-,-1.96,-
13.03,9.16,9.76,9.54,BOQ,Bank of Qld,9.74,18,4159,9.69,9.75,52,f,1.55,7.55,5.34,80.6,12.1
0.045,0.01,-,-,BBX,BBX Hldgs,0.035,-,-,0.035,0.05,-,,-,0.01,-,4.77,0.7
0.09,0.036,0.043,0.043,BEC,Becton Property stp,0.043,-,50,0.04,0.043,-,,-,-,-,-44.53,-
