Industrial Market - Daily,,,,,,,,,,,,,,,,,,
XAO 4526.8 at 16:43 1/9/2010  Report at 19:06 Wednesday 1/9/2010. Processed 19:11 Wednesday 1/9/2010.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio,
1.925,1.315,1.65,1.595,AEO,Austereo Grp Ltd,1.645,3,360,1.635,1.645,9.7,f,1.41,-0.01,5.90,13.66,12.0,
3.69,1.98,3.62,3.59,ANG,Austin Engineer,3.62,3,464,3.61,3.62,9.5,f,2.97,0.65,2.62,28.25,12.8,
0.33,0.135,-,-,ACK,Austock Grp Ltd,0.14,,-,-,-,-,,-,0.24,-,-6.58,-,
1.25,0.75,-,-,AYX,Austofix Grp Ltd,0.95,,-,-,-,-,,-,0.24,-,-2.5,-,
3.05,2.20,2.84,2.76,ALZ,Australand Prop stp,2.84,7,12168,2.80,2.84,12,,1.24,3.44,4.23,14.9,19.1,
0.055,0.008,-,-,AIY,Authorised Invest,0.03,,-,-,-,-,,-,0.03,-,0.05,60.0,
0.016,0.01,-,-,AIYO,  opt feb13,0.016,,-,-,-,-,,-,-,-,-,-,
0.07,0.04,0.048,0.045,ATJ,Auto Tech Ltd,0.045,-0.4,1400,0.043,0.045,-,,-,0.02,-,-4.29,-,
0.011,0.003,-,-,ATJO,  opt jun11,0.003,,-,-,-,-,,-,-,-,-,-,
0.11,0.041,-,-,AIE,Autodom Ltd,0.045,,-,0.051,0.06,-,,-,0.05,-,2.09,2.2,
2.88,1.88,2.39,2.31,AHE,Automotive Hldgs,2.39,4,1661,2.35,2.39,17,f,1.57,0.80,7.11,26.7,9.0,
0.235,0.024,0.029,0.029,AVX,Avexa Ltd,0.029,,35434,0.029,0.03,-,,-,0.03,-,-5.4,-,
0.195,0.105,0.11,0.105,AVH,Avita Medical Ltd,0.11,,1035,0.105,0.11,-,,-,0.05,-,-3.66,-,
0.63,0.37,0.47,0.455,AVJ,AVJennings,0.47,1.5,170,0.47,0.475,1.5,f,3.46,1.08,3.19,5.19,9.1,
1.49,0.865,1.46,1.445,AWB,AWB Ltd,1.46,1.5,228340,1.455,1.46,-,,-,1.85,-,3.67,39.8,
0.011,0.003,-,-,AWL,AWH Corp Ltd,0.004,,-,-,-,-,,-,-,-,-0.2,-,
6.72,4.05,5.65,5.51,AXA,AXA Asia Pacific,5.58,8,31988,5.51,5.65,18.5,p,1.66,1.01,3.32,30.79,18.1,
0.071,0.017,0.03,0.029,AXI,Axiom Prop,0.029,-0.1,2468,0.029,0.032,-,,-,0.04,-,-3.74,-,
13.49,9.68,10.26,9.94,BOQ,Bank of Qld,10.26,43,8624,10.21,10.27,52,f,1.78,7.20,5.07,92.4,11.1,
0.02,0.01,-,-,BBX,BBX Hldgs,0.01,,-,-,-,-,,-,0.06,-,19.48,0.1,
0.135,0.036,0.055,0.036,BEC,Becton Prop Grp stp,0.051,-0.5,38991,0.05,0.054,-,,-,0.16,-,-141.93,-,
1.40,0.815,0.87,0.825,BFG,Bell Financial Grp,0.84,1,178,0.86,0.865,8.5,f,1.42,0.22,10.12,12.1,6.9,
1.30,1.00,-,-,BET,Belmont Hldgs,1.00,,-,-,-,3.5,f,-,1.48,3.50,-2.47,-,
10.48,7.72,8.70,8.44,BEN,Bendigo & Adelaide,8.69,26,16154,8.48,8.69,58,f,1.16,5.27,6.67,67.4,12.9,
0.09,0.022,0.023,0.022,BLT,Benitec Ltd,0.022,-0.1,12119,0.022,0.023,-,,-,-,-,-0.65,-,
0.037,0.006,-,-,BLTO,  opt apr14,0.006,,-,-,-,-,,-,-,-,-,-,
0.006,0.001,-,-,BLTOA,  opt apr11,0.001,,-,-,-,-,,-,-,-,-,-,
0.31,0.22,0.24,0.24,BEL,Bentley Capital,0.24,1,150,0.23,0.24,2,f,5.31,0.41,8.33,10.62,2.3,
0.737,0.35,0.59,0.58,BER,Berklee Ltd,0.59,6,370,0.59,0.60,2,f,9.82,1.23,3.39,19.64,3.0,
0.78,0.50,-,-,BYI,Beyond Intl,0.72,,-,0.62,1.50,6,,1.36,0.45,8.33,8.18,8.8,
0.028,0.007,-,-,BSI,Beyond Sportswear,0.01,,-,-,-,-,,-,-0.01,-,-0.57,-,
0.22,0.095,0.205,0.20,BGL,Bigair Grp Ltd,0.205,0.5,729,0.20,0.21,-,,-,0.07,-,1.7,12.1,
12.32,7.31,7.74,7.58,BBG,Billabong Intl,7.71,15,25731,7.70,7.73,36,p,1.62,0.40,4.67,58.3,13.2,
0.228,0.08,0.14,0.14,BDM,Biodiem Ltd,0.14,,77,0.09,0.15,-,,-,0.05,-,-4.4,-,
0.075,0.02,-,-,BOD,bioMD Ltd,0.026,,-,-,-,-,,-,0.01,-,-0.91,-,
0.016,0.003,-,-,BODOA,  opt dec11,0.003,,-,-,-,-,,-,-,-,-,-,
0.43,0.235,0.28,0.26,BNO,Bionomics Ltd,0.26,-1,2123,0.25,0.26,-,,-,0.05,-,-2.7,-,
0.06,0.011,-,-,BPO,BioProspect Ltd,0.012,,-,-,-,-,,-,-,-,-0.65,-,
3.336,0.85,0.955,0.93,BTA,Biota Hldgs,0.94,1,4643,0.935,0.95,-,,-,0.54,-,9.2,10.2,
0.31,0.145,-,-,BTC,Biotech Capital,0.17,,-,-,-,2,,0.24,0.31,11.76,0.47,36.2,
0.175,0.057,-,-,BIT,Biotron Ltd,0.064,,-,0.051,0.064,-,,-,-,-,-1.56,-,
0.037,0.008,0.012,0.01,BITO,  opt dec11,0.012,0.4,3000,0.009,0.015,-,,-,-,-,-,-,
0.27,0.15,0.17,0.17,BIS,Bisalloy Steel,0.17,,958,0.17,0.18,-,,-,0.04,-,0.01,1700.0,
0.05,0.032,-,-,BSN,Bisan Ltd,0.032,,-,-,-,-,,-,0.04,-,-2.07,-,
1.32,1.086,1.18,1.16,BKI,BKI Invest Ltd,1.165,0.5,1115,1.165,1.17,5.25,f,1.44,1.38,4.51,7.57,15.4,
0.013,0.003,-,-,BKM,BKM Management,0.008,-0.1,-,-,-,-,,-,-,-,-0.2,-,
24.92,18.75,24.50,24.20,BKL,Blackmores Ltd,24.50,35,13,24.20,24.80,112,f,1.31,4.13,4.57,146.8,16.7,
0.029,0.013,-,-,BIV,Blue Capital Ltd,0.018,,-,-,-,-,,-,0.02,-,-1.23,-,
