ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Thursday, April 5, 2012,,,,,,,,,,,,,,,,,,,,
"XAO 4402.3 at 2012-04-05T16:35:50. Report at Thursday, April 5, 2012. Processed Saturday at 2012-04-07T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ANZ,30069.2,527.350,511.524,61.736,11.44,2.0,208.20,11.1,140.00,1.49,6.08,f,ANZ Banking Grp,,23.04,-22,22.96,23.09,23.59,22.77,-.55,24.49,17.63,,
APE,13.871,.171,.088,.421,8.37,1.6,127.70,10.5,80.00,1.60,5.97,f,AP Eagers,,13.40,-,-,-,13.49,13.06,+.40,14.20,9.20,,
APP,-,.015,.881,-,.02,.4,-.08,-,-,-,-,,APA Fin Services,,.008,-,-,-,.008,.008,+.40,.022,.005,,
APA,9595.21,195.489,56.568,3.326,1.64,3.1,17.30,29.8,34.90,.50,6.76,,APA Grp,,5.16,+6,5.08,5.19,5.23,5.06,+1.58,5.34,3.53,,
AEZ,-,280.409,51.405,-,-.20,-,-23.10,-,-,-,-,,APN European Ret,,.001,-,-,-,.001,.001,+.40,.014,.001,,
APN,8847.03,93.871,103.348,.565,-.57,-,-7.30,-,8.50,-,9.77,p,APN News & Media,,.87,-3.5,.85,.875,.90,.845,-3.47,1.63,.695,,
APD,59.482,1.359,3.264,.022,.19,.7,1.34,10.1,1.25,1.07,9.26,f,APN Prop Grp,,.135,-1,-,-,.145,.135,-6.50,.205,.125,,
ARP,366.693,4.866,9.621,.673,1.75,5.3,52.63,17.7,24.00,2.19,2.58,f,ARB Corp,,9.29,+9,9.24,9.29,9.40,9.15,+1.38,9.48,6.65,,
AAD,8651.87,59.721,85.223,.414,.92,1.3,10.32,12.0,11.50,.90,9.27,,Ardent Leisure Grp,,1.24,+13,1.215,1.25,1.25,1.105,+12.11,1.59,1.005,,
ARG,910.500,10.822,9.394,3.255,5.59,.9,27.10,19.2,26.00,1.04,5.00,f,Argo Invest,,5.20,+1,5.16,5.20,5.21,5.14,+.59,6.25,4.75,,
ARA,68.478,2.291,.993,.075,.34,1.1,3.29,11.1,2.00,1.64,5.48,,Ariadne Aust,,.365,-,-,-,.365,.36,+.40,.38,.29,,
ALL,10868.5,140.278,127.822,1.745,.26,12.2,12.30,25.8,6.50,1.89,2.05,,Aristocrat Leisure,,3.17,+15,3.10,3.25,3.24,3.01,+5.37,3.24,1.88,,
AIK,26.197,.160,4.694,.011,.10,.7,9.52,.7,-,-,-,,Armidale Invest,,.065,+.4,-,-,.065,.055,+6.96,.076,.04,,
