ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, March 21, 2014,,,,,,,,,,,,,,,,,,,,
"XAO 5354.0 at 2014-03-21T16:43:06. Report at Friday, March 21, 2014. Processed Saturday at 2014-03-22T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
AFI,1387.54,14.685,20.196,6.294,5.78,1.04,23.83,25.2,21.00,1.13,3.50,f,Aust Foundation,,6.00,-,5.98,6.01,6.02,5.96,-.13,6.33,5.10,,
ANI,1403.80,5.582,-,.158,1.91,1.05,-2.96,-,3.21,-,1.60,,Australian Ind Reit,,2.00,-,1.995,2.02,2.04,2.00,-.13,2.128,1.959,,
AIX,2833.51,104.220,275.117,.004,.01,.60,-2.00,-,5.50,-,916.67,f,Aust Infrastructure Fd,,.006,-,.005,.006,.006,.005,-.13,.009,.00,,
ALF,3915.82,21.421,12.403,.379,1.53,1.14,24.60,7.1,12.00,2.05,6.90,f,Aust Leaders Fund,,1.74,+2,1.73,1.745,1.745,1.71,+1.03,1.84,1.405,,
ALFO,2438.73,11.475,-,.012,-,-,-,-,-,-,-,,  opt sep14,,.325,-1,.315,.325,.35,.315,-3.11,.425,.095,,
API,2395.60,20.420,40.229,.278,.77,.74,5.00,11.4,3.25,1.54,5.70,f,Aust Pharmaceutical,,.57,-.5,.565,.59,.605,.57,-1.00,.67,.395,,
AYB,-,.623,.558,.011,.04,1.77,3.02,2.4,-,-,-,,Aust Proteins,,.071,-,.071,.075,.071,.071,-.13,.083,.035,,
AUI,44.803,.524,.615,.886,8.53,.95,36.00,22.6,30.50,1.18,3.76,f,Aust United Invest,,8.12,+12,8.00,8.12,8.12,7.99,+1.37,8.18,6.57,,
AVG,947.914,14.036,4.397,.079,.81,.42,5.00,6.8,2.60,1.92,7.65,f,Aust Vintage,,.34,+2,.33,.34,.34,.315,+6.12,.501,.315,,
AWI,1328.18,12.747,.713,.038,.33,.95,-24.36,-,-,-,-,,Aust Wealth Invest,,.315,+.5,.31,.315,.345,.29,+1.48,.56,.241,,
ASB,2359.16,18.217,27.825,.333,1.20,.80,13.77,7.0,-,-,-,,Austal,,.96,+8,.955,.97,.97,.87,+8.96,.97,.61,,
AUB,625.520,2.314,3.046,.633,1.53,6.94,50.57,21.0,36.50,1.39,3.44,f,Austbrokers Hldgs,,10.62,+47,10.10,10.66,10.62,9.88,+4.50,13.00,9.30,,
ANG,637.240,8.704,5.276,.183,.95,2.28,16.55,13.1,15.00,1.10,6.91,f,Austin Engineer,,2.17,-19,2.15,2.19,2.38,2.17,-8.18,5.96,2.03,,
ACK,43.100,1.653,2.595,.023,.10,2.30,-.79,-,2.00,-,8.70,f,Austock Grp,,.23,-,.22,.23,.23,.23,-.13,.265,.15,,
ALZ,54757.8,127.010,45.825,2.391,-,-,23.40,17.6,21.50,1.09,5.21,,Australand Prop,,4.13,+26,4.11,4.14,4.15,3.85,+6.59,4.15,3.14,,
AIY,-,.506,3.854,.004,.01,2.60,-.11,-,-,-,-,,Authorised Invest,,.026,-,.014,.04,.026,.026,-.13,.045,.019,,
AHE,3656.64,24.634,25.351,.938,.88,4.09,25.72,14.0,20.50,1.25,5.69,f,Automotive Hldgs,,3.60,+6,3.56,3.62,3.66,3.50,+1.57,4.29,3.05,,
AOG,7713.82,76.325,69.425,1.030,2.78,.74,-46.11,-,1.00,-,.49,,Aveo Grp,,2.06,+11,2.05,2.08,2.07,1.935,+5.51,2.39,.915,,
AEH,4.214,.036,.004,.132,2.31,.69,-1.80,-,2.20,-,1.37,,Aveo Healthcare,,1.60,-36,1.60,1.90,1.96,1.60,-18.50,2.30,1.60,,
AVX,13360.7,24.204,49.396,.019,.01,2.00,-.31,-,-,-,-,,Avexa,,.02,+.4,.02,.021,.026,.016,+24.87,.026,.012,,
AVH,950.676,16.781,33.988,.039,.02,6.00,-2.24,-,-,-,-,,Avita Medical,,.12,-,.11,.12,.12,.11,-.13,.155,.085,,
