ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, January 24, 2014,,,,,,,,,,,,,,,,,,,,
"XAO 5254.3 at 2014-01-24T16:41:36. Report at Friday, January 24, 2014. Processed Saturday at 2014-01-25T23:15:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
AFV,-,.042,.070,.008,.28,2.45,-5.49,-,-,-,-,,Aurora Funds,,.685,-,.61,.80,.685,.685,+1.17,.69,.25,,
AIB,35.200,.090,.088,.008,.90,.99,11.01,8.1,10.11,1.09,11.30,,Aurora Global Inc Tr,,.895,-1,.88,.95,.905,.895,+.06,1.065,.895,,
AQF,43.918,.229,.165,.065,1.90,.99,7.61,24.7,6.00,1.27,3.19,f,Aust Gov Index Fund,,1.88,-5,1.86,1.89,1.88,1.88,-1.42,1.99,1.63,,
ANB,-,-,-,.051,.15,1.60,8.60,2.8,-,-,-,,Aust New Agri,,.24,-,.14,.18,.24,.24,+1.17,.285,.11,,
AZF,6.888,.091,.265,.067,2.48,.94,28.53,8.2,13.85,2.06,5.92,,Aust Social Infra Fd,,2.34,+4,2.30,2.34,2.34,2.30,+2.91,2.42,2.00,,
ASL,6398.45,27.808,19.954,.292,2.39,.39,29.63,3.2,12.00,2.47,12.83,f,Ausdrill,,.935,+4,.93,.95,.965,.89,+5.64,3.27,.76,,
AAX,2423.16,16.499,5.517,.115,.52,1.31,19.80,3.4,12.10,1.64,17.79,,Ausenco,,.68,+1,.675,.695,.72,.67,+2.66,3.627,.57,,
AAP,-,.250,1.346,.002,.03,.43,1.20,1.1,-,-,-,,Aust Agricultural,,.013,-,.011,.014,.013,.013,+1.17,.016,.008,,
AAC,1169.13,4.629,9.346,.663,1.58,.79,-9.02,-,-,-,-,,Aust Agriculture,,1.245,-.5,1.23,1.25,1.25,1.222,+.77,1.33,.997,,
AAK,250.000,3.763,4.419,.004,.02,.05,.01,10.0,-,-,-,,Aust China Hldgs,,.001,-,.001,.002,.001,.001,+1.17,.002,.001,,
AEU,897.739,2.439,2.026,.312,1.33,1.14,22.64,6.7,8.70,2.60,5.72,,Aust Education,,1.52,-1,1.50,1.525,1.535,1.51,+.52,1.606,1.317,,
AYF,1.550,.019,.048,.015,6.42,1.00,53.50,12.1,42.50,1.26,6.59,p,Aust Enhanced,,6.45,-4,6.38,6.46,6.45,6.45,+.55,6.49,6.22,,
AEF,2.271,.004,.008,.030,6.72,4.40,104.84,28.2,85.00,1.23,2.87,f,Aust Ethical,,29.60,-90,29.24,29.60,30.50,29.60,-1.78,30.50,19.50,,
AFI,1349.11,3.951,5.723,6.444,5.78,1.07,23.83,25.9,22.00,1.08,3.56,f,Aust Foundation,,6.18,-7,6.18,6.22,6.32,6.18,+.05,6.33,5.10,,
ANI,168.505,1.021,-,.140,-,-,-,-,-,-,-,,Australian Ind Reit,,2.07,+3,2.05,2.07,2.09,2.02,+2.65,2.14,1.97,,
