ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, October 2, 2015,,,,,,,,,,,,,,,,,,,,
"XAO 5089.2 at 2015-10-02T16:46:05. Report at Friday, October 2, 2015. Processed Saturday at 2015-10-03T23:15:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ARF,1529.90,90.146,37.573,.372,1.33,1.22,28.14,5.8,10.23,2.75,6.30,,Arena REIT,†,1.625,+3.5,1.60,1.625,1.64,1.56,+1.95,1.90,1.315,,
ALI,405.407,8.445,-,.280,-,-,-,-,-,-,-,,Argo Global,,1.96,-1,1.94,1.97,1.98,1.94,-.75,2.03,1.85,,
ALIO,342.000,8.416,-,.007,-,-,-,-,-,-,-,,  opt mar17,,.051,-.1,.051,.055,.055,.05,-2.17,.083,.027,,
ARG,732.169,30.590,31.171,5.079,7.13,1.06,34.30,22.1,29.50,1.16,3.89,f,Argo Invest,,7.59,-3,7.58,7.63,7.75,7.54,-.64,8.50,7.35,,
ARA,19.651,2.637,6.037,.075,-,-,-1.77,-,1.00,-,2.70,p,Ariadne Aust,,.37,+2,.37,.375,.37,.35,+5.47,.415,.35,,
ALL,13035.2,514.610,386.654,5.658,1.62,5.48,-1.01,-,16.00,-,1.80,,Aristocrat Leisure,,8.88,+27,8.70,8.89,8.98,8.37,+2.89,9.00,5.72,,
AIK,547.576,45.554,29.431,.044,.14,.79,2.73,4.0,-,-,-,,Armidale Invest,,.11,-,.105,.115,.11,.10,-.25,.13,.089,,
AWQ,-,1.222,-,.048,-,-,-,-,-,-,-,,Arowana Aust Fund,,1.00,-,1.00,-,1.00,1.00,-.25,1.03,.90,,
AWQO,-,.351,-,.001,-,-,-,-,-,-,-,,  opt jun16,,.03,-,.01,.05,.03,.03,-.25,.055,.015,,
AWN,58.440,4.798,11.227,.093,.77,.77,-4.04,-,3.00,-,5.08,,Arowana Internat,,.59,-,.405,.59,.60,.58,-.25,1.02,.55,,
ARI,43231.8,2990.32,2457.03,.258,.27,.33,-75.31,-,3.00,-,34.09,,Arrium,,.088,-.3,.087,.088,.091,.085,-3.54,.362,.084,,
AJR,-,342.361,181.222,.001,-,-,-.16,-,-,-,-,,Arunta Resources,,.001,-,.001,.002,.001,.001,-.25,.003,.001,,
AJRO,-,26.744,.375,-,-,-,-,-,-,-,-,,  opt jul19,,.001,-,-,.001,.001,.001,-.25,.001,.001,,
AHY,9484.62,308.727,263.657,1.065,.31,5.69,5.40,32.7,9.40,.57,5.33,,Asaleo Care,,1.765,+.5,1.73,1.775,1.787,1.71,+.04,2.075,1.45,,
AIO,26855.7,812.671,732.646,8.271,.93,9.12,26.10,32.5,16.75,1.56,1.98,f,Asciano,,8.48,+11,8.46,8.49,8.54,8.20,+1.07,8.75,5.48,,
AFA,-,6.091,3.583,.205,.02,17.00,-2.50,-,-,-,-,,ASF Grp,,.34,-,.02,.30,.34,.34,-.25,.355,.15,,
ASZ,1053.45,75.904,85.004,.211,-,-,4.61,22.1,-,-,-,f,ASG Grp,,1.02,+5.5,1.02,1.025,1.045,.94,+5.45,1.10,.60,,
ASH,1216.99,72.103,14.443,.091,.19,3.21,9.66,6.3,6.40,1.51,10.49,f,Ashley Services Grp,,.61,+5.5,.60,.61,.61,.56,+9.66,1.85,.45,,
DIG,98.589,2.271,75.331,.030,-.01,-,-9.22,-,-,-,-,,Asia Pac Digital,†,.32,+.5,.32,.37,.32,.32,+1.34,.45,.25,,
AJD,418.773,20.356,43.350,.144,1.24,1.01,22.75,5.5,4.60,4.95,3.68,,Asia Pacific Data,,1.25,-2,1.245,1.255,1.27,1.235,-1.82,1.32,1.07,,
AJJ,-,6.469,7.670,.020,.02,4.25,-.25,-,-,-,-,,Asian American Med,,.085,-,.085,.11,.085,.085,-.25,.125,.08,,
AUF,16.686,4.466,8.536,.166,1.33,1.00,.24,554.2,2.10,.11,1.58,,Asian Masters Fund,,1.33,-,1.33,1.46,1.33,1.32,-.25,1.53,1.02,,
AKF,-,16.042,18.988,.005,-,-,-.77,-,-,-,-,f,ASK Funding,,.079,-,.046,.065,.079,.079,-.25,.115,.066,,
APZ,994.440,26.309,38.113,.158,-,-,-20.40,-,9.00,-,6.43,,Aspen Grp,,1.40,-,1.37,1.40,1.40,1.30,-.25,1.43,1.17,,
ASP,-,1.116,.493,.007,-.03,-,-1.98,-,-,-,-,,Aspermont,,.01,-,.01,.012,.01,.01,-.25,.03,.01,,
AIR,100.000,.968,.974,.003,.12,.83,-5.12,-,-,-,-,,Astivita,,.10,-,.10,.11,.10,.10,-.25,.135,.071,,
AJA,325.391,21.260,19.338,.310,6.44,.79,64.68,7.9,28.50,2.27,5.58,,Astro Japan Prop,,5.11,-11,5.10,5.30,5.31,5.10,-2.35,5.34,4.18,,
ATR,9.500,.549,1.182,.019,.39,.40,6.52,2.4,-,-,-,,Astron Corp,,.155,-.5,.155,.19,.16,.155,-3.37,.32,.15,,
ASX,2676.40,111.047,94.707,7.469,6.97,5.54,205.70,18.8,187.40,1.10,4.86,f,ASX,,38.58,+53,38.08,38.98,38.93,37.07,+1.15,45.37,34.07,,
ACG,157.236,81.473,57.971,.048,.02,12.00,-.90,-,-,-,-,,Atcor Medical,,.24,-.5,.24,.245,.245,.22,-2.29,.274,.081,,
ATP,-,15.642,41.666,.014,5.60,.01,-2.40,-,-,-,-,,Atlas Pearls,,.032,-,.031,.037,.032,.032,-.25,.125,.03,,
AIA,392.412,21.647,14.189,5.238,2.27,1.94,16.63,26.5,13.53,1.23,3.08,,Auckland Airport,,4.40,-14,4.40,5.00,4.69,4.38,-3.33,4.97,3.34,,
AKP,20.653,1.399,1.978,.189,-.01,-,-2.94,-,-,-,-,,Audio Pixels,,7.35,-115,7.21,8.00,8.50,7.35,-13.78,14.30,6.65,,
AZJ,53803.1,1437.27,1132.82,10.792,3.00,1.71,28.40,18.0,24.00,1.18,4.69,p,Aurizon Hldgs,,5.12,-1,5.10,5.14,5.18,4.93,-.44,5.605,4.15,,
AUP,3.435,.294,.207,.011,5.40,.98,-,-,32.96,-,6.21,,Aurora Prop,,5.31,-6,5.31,5.43,5.31,5.262,-1.36,5.62,5.11,,
ABW,295.244,12.799,15.768,.029,.99,.97,-1.55,-,3.98,-,4.12,,Aurora Absolute Ret,,.965,-2.5,.98,.99,.985,.965,-2.77,1.035,.95,,
AOD,1180.32,11.730,8.364,.024,.82,.95,-7.66,-,4.94,-,6.33,f,Aurora Div Inc Tr,,.78,-1,.75,.78,.785,.76,-1.51,.965,.76,,
AIB,-,.941,1.649,.006,.86,1.00,5.02,17.1,6.00,.84,6.98,,Aurora Global Inc Tr,,.86,-1.7,.85,1.43,.843,.843,-2.21,.89,.803,,
AHF,352.875,46.716,6.151,.026,.16,1.03,-3.02,-,-,-,-,,Aust Dairy Farms,†,.165,-,.155,.165,.17,.155,-.25,.38,.04,,
AQF,7.216,1.942,2.566,.055,1.74,1.01,8.10,21.7,6.00,1.35,3.41,f,Aust Gov Index Fund,,1.76,-,1.76,2.10,1.76,1.76,-.25,2.10,1.70,,
ANB,31.000,1.273,.416,.011,.11,.45,-2.86,-,-,-,-,,Aust New Agri,,.05,+1,.045,.06,.05,.05,+24.75,.18,.035,,
ASL,1298.16,144.550,287.381,.097,1.77,.18,-56.24,-,3.00,-,9.68,f,Ausdrill,,.31,+2,.30,.315,.31,.285,+6.65,.94,.18,,
AAX,126.221,29.352,66.712,.056,.13,2.31,-26.10,-,-,-,-,,Ausenco,,.30,+1,.285,.305,.31,.28,+3.20,.58,.17,,
