ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, June 21, 2013,,,,,,,,,,,,,,,,,,,,
"XAO 4723.8 at 2013-06-21T16:17:05. Report at Friday, June 21, 2013. Processed Saturday at 2013-06-22T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
TDXO,-,-,35.778,-,-,-,-,-,-,-,-,,  opt dec13,,.001,-,-,.001,.001,.001,+1.08,.001,.001,,
TZL,185.787,21.923,12.432,.021,-.09,-,-7.80,-,-,-,-,,TZ,,.105,-,.105,.11,.115,.11,+1.08,.18,.061,,
TZLO,246.667,4.428,-,-,-,-,-,-,-,-,-,,  opt oct13,,.017,+.2,.011,.025,.017,.015,+14.42,.05,.01,,
ETF,-,.121,-,.009,-,-,2300.00,.9,.75,3066.67,.04,p,UBS IQ Res Pf ASF,,20.26,-,20.23,20.30,20.36,20.36,+1.08,23.13,18.75,,
UGL,4605.31,159.246,75.805,1.124,-1.40,-,63.10,10.7,70.00,.90,10.37,p,UGL,,6.75,+4,6.68,6.75,6.81,6.46,+1.69,13.05,6.35,,
UCW,-,.630,.617,-,-.02,-,-3.06,-,-,-,-,,UnderCoverWear,,.01,-,.002,.01,.01,.01,+1.08,.031,.01,,
UNS,1831.13,90.280,32.348,.151,.01,57.00,-12.54,-,-,-,-,,Unilife Corp,,.57,+8,.565,.575,.625,.575,+16.32,.785,.30,,
UOS,120.359,9.463,4.044,.583,.98,.54,7.86,6.7,2.50,3.14,4.76,,United Overseas Aust,,.525,+.5,.51,.525,.525,.51,+2.04,.525,.35,,
UBI,604.629,12.636,8.376,.113,.23,2.83,-5.70,-,-,-,-,,Universal Biosensors,,.65,-,.64,.68,.70,.63,+1.08,1.15,.52,,
USH,-,-,.234,.005,.02,10.00,-4.03,-,-,-,-,,US Masters Hldgs,,.20,-,-,.15,.20,.20,+1.08,.27,.20,,
URF,47.891,2.740,-,.395,-,-,-,-,-,-,-,,US Masters Res Prop Fd,,1.90,-4,1.90,2.17,1.86,1.81,-1.07,1.905,1.51,,
USF,-,.440,-,.069,1.50,1.17,-2.76,-,-,-,-,,US Select POF,,1.76,-,1.76,-,1.71,1.71,+1.08,1.71,1.525,,
USG,5.900,.122,-,.067,-,-,-,-,-,-,-,,US Select Private Opp,,1.77,+5,1.79,-,1.77,1.77,+3.99,1.77,1.60,,
UCM,197.500,1.715,2.529,.014,.02,10.00,-2.40,-,-,-,-,,USCOM,,.20,-1,.165,.19,.21,.165,-3.68,.22,.081,,
UXC,771.807,82.365,53.195,.318,.04,25.75,7.39,13.9,4.25,1.74,4.13,f,UXC,,1.03,+1.5,1.025,1.04,1.01,.97,+2.61,1.275,.54,,
VBP,23.235,.664,.269,.098,6.74,.98,54.03,12.2,93.02,.58,14.07,,Van Eyk Blueprint,,6.61,-3,6.50,6.61,6.65,6.62,+.63,7.49,6.60,,
VMG,3275.28,331.722,480.299,.011,.03,.40,-4.31,-,-,-,-,,VDM Grp,,.012,+.1,.011,.012,.014,.012,+9.42,.047,.01,,
VMGO,-,35.800,172.528,-,-,-,-,-,-,-,-,,  opt nov13,,.001,-,-,.001,.001,.001,+1.08,.015,.001,,
VELCP,-,.054,.038,.068,11.29,.68,32.67,23.4,.50,65.34,.07,f,Vealls,,7.65,-,7.25,-,7.65,7.65,+1.08,7.65,5.88,,
VELIN,-,.006,.002,.006,-,-,-,-,10.30,-,4.58,f,  income,,2.25,-,1.80,-,2.25,2.25,+1.08,2.25,1.599,,
VELPA,-,-,-,-,-,-,-,-,.70,-,.23,f,  7% cum pf,,3.00,-,-,-,3.00,3.00,+1.08,3.00,3.00,,
VIL,199.952,163.807,572.770,.001,.03,.60,-13.50,-,-,-,-,,Verus Invest,†,.018,-.3,.015,.018,.015,.012,-18.92,.10,.012,,
VES,-,.379,.135,.044,-.12,-,.44,22.7,-,-,-,,Vesture,,.10,-,-,.10,.10,.10,+1.08,.125,.09,,
VIA,-,.011,-,.009,.08,3.62,-7.88,-,-,-,-,,Viagold Capital,,.29,-,-,.26,.29,.29,+1.08,.79,.29,,
VIE,5.500,3.803,12.001,.018,.24,.92,-1.39,-,-,-,-,,Viento Grp,,.22,-3,.13,.22,.25,.22,-10.92,.48,.22,,
VII,-,.002,.009,.017,.27,.44,-1.91,-,-,-,-,,Vietnam Industrial,,.12,-,.13,.16,.12,.12,+1.08,.237,.105,,
VLW,230.966,11.474,10.408,.085,1.76,.65,-24.00,-,-,-,-,,Villa World Grp,,1.15,+1,1.15,1.18,1.18,1.155,+1.94,1.23,.71,,
VRL,337.253,11.466,5.228,.853,1.49,3.59,25.44,21.0,23.00,1.11,4.30,f,Village Roadshow,,5.35,+24,5.33,5.37,5.45,5.11,+5.73,5.46,2.91,,
VLA,70.850,6.262,10.865,.021,.09,2.67,-5.80,-,-,-,-,,Viralytics,,.24,+1.5,.255,.27,.28,.25,+7.08,.465,.20,,
VAH,2797.91,508.286,775.928,1.097,.38,1.12,-.30,-,-,-,-,,Virgin Australia,,.425,-1,.425,.43,.44,.43,-1.16,.515,.365,,
VRT,3695.08,28.195,-,.516,-,-,-,-,-,-,-,,Virtus Health,,6.49,+14,6.44,6.49,6.68,6.30,+3.31,6.68,6.06,,
VEI,1010.07,51.822,24.669,.123,-.58,-,9.80,7.9,-,-,-,,Vision Eye Institute,,.77,+4.5,.74,.775,.77,.695,+7.47,.845,.263,,
VTG,-,14.476,25.453,.088,-.07,-,-7.21,-,1.90,-,3.06,f,Vita Grp,,.62,-,.615,.63,.69,.69,+1.08,.70,.23,,
VSC,85.869,2.506,.456,.058,.20,5.15,4.35,23.7,1.00,4.35,.97,f,Vita Life Sciences,,1.03,-,1.03,1.05,1.075,1.05,+1.08,1.50,.37,,
