ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, July 24, 2015,,,,,,,,,,,,,,,,,,,,
"XAO 5556.8 at 2015-07-24T16:34:36. Report at Friday, July 24, 2015. Processed Saturday at 2015-07-25T23:15:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ZCNH,1.774,.009,-,.001,-,-,-,-,-,-,-,,ANZ ETFS Renminbi,,10.44,+56,10.10,10.52,10.44,10.41,+7.36,10.44,9.88,,
ZYUS,29.411,.104,-,.001,-,-,-,-,-,-,-,,ANZ ETFS S&P 500 Yld,,10.76,+7,10.68,10.90,10.78,10.56,+2.35,10.78,9.92,,
ZUSD,5.177,.009,-,.001,-,-,-,-,-,-,-,,ANZ ETFS USD,,10.44,+8,9.94,10.54,10.44,10.36,+2.47,10.44,9.95,,
ZOZI,1.000,.007,-,.002,-,-,-,-,-,-,-,,ANZ ETFS ASX 100,,10.24,+20,9.88,10.25,10.24,10.04,+3.69,10.24,9.84,,
APE,2937.43,9.440,7.856,1.793,2.38,4.19,43.00,23.2,27.00,1.59,2.71,f,AP Eagers,,9.98,-4,9.76,10.00,10.30,9.70,+1.29,10.30,5.20,,
APA,9687.14,363.002,281.224,9.761,2.47,3.55,82.16,10.7,36.25,2.27,4.14,,APA Grp,,8.76,+1,8.60,8.83,8.90,8.50,+1.81,9.88,6.834,,
APN,8194.21,669.075,316.576,.715,-.25,-,1.17,59.4,-,-,-,,APN News & Media,,.695,+.5,.65,.71,.735,.66,+2.42,1.08,.62,,
APO,1037.57,44.882,-,.517,-,-,-,-,-,-,-,f,APN Outdoor Grp,,3.10,-6,3.08,3.14,3.18,3.06,-.20,3.55,2.42,,
APD,736.819,23.799,14.880,.115,.25,1.52,5.43,7.0,1.25,4.34,3.29,f,APN Prop Grp,,.38,+2,.36,.39,.38,.35,+7.25,.43,.281,,
APX,287.308,17.836,-,.067,-,-,-,-,-,-,-,,Appen,,.695,+.5,.68,.695,.70,.68,+2.42,.76,.48,,
ALA,265.927,22.444,78.388,.004,.13,.76,-7.99,-,-,-,-,,Applabs Tech,,.099,+.1,.099,.105,.105,.091,+2.71,.28,.088,,
ALAO,202.869,16.118,11.749,-,-,-,-,-,-,-,-,,  opt may16,,.012,-,.012,.014,.012,.011,+1.69,.082,.007,,
AQU,45.000,.404,.370,.013,-,-,1.58,8.9,-,-,-,,Aquaint Capital,,.14,-4,.10,.135,.18,.10,-20.53,.485,.10,,
ARB,947.776,23.749,20.128,1.076,2.42,5.62,58.75,23.1,29.00,2.03,2.13,f,ARB Corp,,13.59,+9,13.44,13.70,13.85,13.44,+2.36,14.49,10.49,,
AAD,6021.76,366.033,194.481,1.022,.78,2.96,10.92,21.2,12.50,.87,5.41,,Ardent Leisure Grp,,2.31,+7,2.29,2.33,2.38,2.25,+4.82,3.49,1.75,,
ARF,1206.27,77.245,21.525,.365,1.18,1.36,25.34,6.3,10.00,2.53,6.25,,Arena REIT,†,1.60,+1.5,1.58,1.60,1.63,1.545,+2.64,1.90,1.265,,
ALI,718.128,3.194,-,.284,-,-,-,-,-,-,-,,Argo Global,,1.985,+2,1.98,1.985,1.99,1.96,+2.71,1.99,1.915,,
ALIO,569.311,3.629,-,.011,-,-,-,-,-,-,-,,  opt mar17,,.08,+1.4,.077,.08,.083,.067,+22.91,.083,.027,,
ARG,727.438,21.843,22.306,5.493,7.52,1.10,30.20,27.3,28.50,1.06,3.46,f,Argo Invest,,8.24,+2,8.25,8.30,8.42,8.13,+1.94,8.44,7.35,,
ARA,24.419,2.354,3.768,.077,.42,.90,2.78,13.7,1.00,2.78,2.63,p,Ariadne Aust,,.38,-,.38,.43,.38,.38,+1.69,.43,.35,,
ALL,9749.88,398.474,293.404,5.375,1.62,5.23,-1.01,-,16.00,-,1.89,,Aristocrat Leisure,,8.48,-5,8.40,8.50,8.66,8.37,+1.11,8.74,5.23,,
AIK,193.000,39.870,25.849,.050,.12,1.04,1.20,10.4,-,-,-,,Armidale Invest,,.125,-,.12,.125,.13,.125,+1.69,.13,.089,,
AWQ,15.500,.812,-,.047,-,-,-,-,-,-,-,,Arowana Aust Fund,,.98,-,.98,-,.98,.98,+1.69,1.00,.90,,
AWQO,-,.229,-,.001,-,-,-,-,-,-,-,,  opt jun16,,.025,-,.025,-,.025,.025,+1.69,.055,.015,,
AWN,31.596,3.638,10.083,.103,.87,.75,67.93,1.0,2.00,33.97,3.08,p,Arowana Internat,,.65,-5,.65,.70,.70,.65,-5.45,1.05,.65,,
ARI,26807.4,2496.83,1584.06,.382,.40,.33,-69.89,-,3.00,-,23.08,,Arrium,,.13,-1,.125,.13,.14,.125,-5.45,.778,.117,,
AJR,3554.84,256.063,130.328,.001,-,-,-.09,-,-,-,-,,Arunta Resources,,.001,-,.001,.002,.002,.001,+1.69,.003,.001,,
AJRO,-,26.744,-,-,-,-,-,-,-,-,-,,  opt jul19,,.001,-,-,.001,.001,.001,+1.69,.001,.001,,
AHY,9245.42,197.423,137.795,1.014,-,-,-,-,-,-,-,,Asaleo Care,,1.68,-10,1.67,1.75,1.785,1.66,-3.92,2.13,1.60,,
AIO,13147.7,488.134,515.533,7.881,.93,8.69,26.10,31.0,16.75,1.56,2.07,f,Asciano,,8.08,+21,8.05,8.09,8.10,7.82,+4.36,8.19,5.48,,
AFA,83.312,5.587,1.972,.181,.06,5.00,-1.41,-,-,-,-,,ASF Grp,,.30,-5,.295,.30,.35,.295,-12.59,.355,.15,,
ASZ,3560.09,54.069,43.308,.207,.03,33.33,5.26,19.0,-,-,-,f,ASG Grp,,1.00,+13,1.00,1.02,1.05,.87,+16.64,1.05,.475,,
ASH,1130.41,63.991,-,.080,.17,3.12,3.48,15.2,2.30,1.51,4.34,f,Ashley Services Grp,,.53,-1.5,.53,.555,.56,.52,-1.06,1.94,.45,,
DIG,3.750,1.865,54.151,.035,-.03,-,-8.41,-,-,-,-,,Asia Pac Digital,†,.375,-2.5,.38,.395,.40,.375,-4.56,.50,.25,,
AJD,455.443,14.686,22.413,.145,1.11,1.14,18.32,6.9,4.55,4.03,3.60,,Asia Pacific Data,,1.265,-.5,1.26,1.27,1.28,1.265,+1.30,1.32,1.06,,
AJJ,19.479,6.330,1.184,.022,.02,4.50,-.25,-,-,-,-,,Asian American Med,,.09,-,.09,.125,.09,.09,+1.69,.125,.07,,
AUF,218.403,3.342,7.004,.180,1.50,.97,-.39,-,2.00,-,1.38,,Asian Masters Fund,,1.45,+3,1.40,1.45,1.45,1.42,+3.81,1.53,1.02,,
AKF,112.500,8.575,12.049,.005,.09,.80,-1.60,-,-,-,-,f,ASK Funding,,.072,+.1,.079,.075,.072,.072,+3.10,.115,.066,,
APZ,68.413,19.333,15.128,.151,1.37,.97,-19.99,-,9.00,-,6.77,,Aspen Grp,,1.33,-2,1.32,1.36,1.36,1.33,+.21,1.37,1.17,,
ASP,15.769,.802,.181,.007,-.02,-,-1.80,-,-,-,-,,Aspermont,,.01,-,.01,.02,.01,.01,+1.69,.035,.01,,
AIR,-,.384,.803,.003,.17,.62,-2.93,-,-,-,-,,Astivita,,.105,-,.105,.11,.105,.105,+1.69,.12,.071,,
AJA,247.687,18.687,15.704,.311,5.92,.86,41.23,12.4,28.50,1.45,5.57,,Astro Japan Prop,,5.12,+10,5.11,5.13,5.19,5.01,+3.69,5.34,4.06,,
ATR,12.606,.273,1.097,.023,.82,.23,-4.25,-,-,-,-,,Astron Corp,,.19,+2,.19,.21,.19,.17,+13.46,.33,.15,,
ASX,1886.42,78.593,67.049,8.371,6.97,6.20,202.90,21.3,182.20,1.11,4.21,f,ASX,,43.24,+19,42.88,43.40,43.99,42.82,+2.14,45.37,34.07,,
ACG,1797.38,69.252,53.104,.036,.02,9.00,-1.04,-,-,-,-,,Atcor Medical,,.18,-.5,.175,.18,.20,.175,-1.01,.274,.081,,
ATP,238.119,12.464,35.085,.017,.07,.59,-1.63,-,-,-,-,,Atlas Pearls,,.041,-,.041,.044,.044,.041,+1.69,.14,.04,,
