Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
Based on Market Capitalisation at close of trade Friday, April 10, 2015,,,,,,,,,,,,,,,,,,,,
"XAO 5935.4 at 2015-04-10T16:39:06. Report at Friday, April 10, 2015. Processed Saturday at 2015-04-11T23:15:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
38,37,GPT,GPT Grp,8.284,4.66,+6,4.89,3.76,21.20,,4.55,4.55,3.9,38.27,12.2,-25.0,1.204,3.94,35.2,21.0,,
39,39,ASX,ASX,8.261,42.67,+144,45.37,34.07,182.20,f,4.27,6.10,4.6,202.90,21.0,-,2.282,6.97,25.6,15.2,,
40,40,NVN,Novion Prop Grp,7.939,2.58,+3,2.70,1.94,13.70,,5.31,5.35,-,20.60,12.5,-.7,1.362,1.97,52.4,22.6,,
41,42,MGR,Mirvac Grp,7.543,2.04,+2,2.19,1.635,9.10,,4.46,4.46,3.5,13.05,15.6,7.3,1.221,1.69,26.2,26.6,,
42,47,STO,Santos,7.537,7.52,+57,15.32,6.92,35.00,f,4.65,6.65,16.7,-95.60,-,5.1,.764,-,-44.0,-17.8,,
43,41,TPM,TPG Telecom,7.478,9.42,-2,9.72,5.23,10.25,f,1.09,1.55,23.3,23.60,39.9,15.1,8.392,.26,34.2,73.7,,
44,43,ORI,Orica,7.474,20.05,+83,22.57,16.87,96.00,p,4.79,5.56,2.1,163.70,12.2,-2.1,1.577,5.03,-13.2,-9.8,,
45,44,QAN,Qantas Airways,7.336,3.34,+8,3.37,1.175,-,,-,-,-,-108.60,-,126.2,2.360,.63,178.7,19.9,,
46,46,LEI,Leighton Hldgs,7.254,21.43,+59,23.48,18.08,110.00,f,5.13,6.48,4.8,200.47,10.7,-,1.944,9.53,9.2,5.8,,
47,45,CPU,Computershare,7.142,12.84,+2,13.56,10.875,30.00,p,2.34,2.54,3.6,23.36,55.0,8.1,5.520,-2.69,13.0,17.2,,
48,50,IPL,Incitec Pivot,7.105,4.24,+15,4.40,2.65,10.80,p,2.55,2.88,17.4,15.00,28.3,18.3,1.525,.85,40.7,12.5,,
