Australian Sharemarket: Top 300 Stocks
"Based on Market Capitalisation at close of trade Friday, October 30, 2015"
"XAO 5288.6 at 2015-10-30T16:38:35. Report at Friday, October 30, 2015. Processed Monday at 2/11/2015 5:03:53 PM."



This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
91,98,BKL,Blackmores,2.888,167.67,+2035,200.04,31.60,203.00,f,1.21,1.73,59.8,270.70,61.9,80.4,19.092,5.27,356.7,76.8,
92,91,ORA,Orora,2.824,2.34,-4,2.46,1.715,7.50,p,3.21,3.42,25.0,10.90,21.5,130.3,1.992,.96,41.7,-,
93,94,IFL,IOOF Hldgs,2.803,9.34,+16,10.98,8.18,53.00,f,5.67,8.11,11.6,47.70,19.6,-11.6,2.008,-.13,7.5,19.5,
94,92,MLT,Milton Corp,2.784,4.29,-6,4.89,4.03,18.40,f,4.29,6.13,-,20.08,21.4,4.2,1.130,4.10,.5,13.1,
95,95,ABC,Adelaide Brighton,2.719,4.19,-4,5.005,3.27,17.50,f,4.18,5.97,3.0,31.70,13.2,18.6,2.415,1.39,32.1,15.6,
96,93,ILU,Iluka Res,2.688,6.42,-29,9.18,5.57,19.00,f,2.96,4.23,111.1,-12.90,-,-53.5,1.958,3.27,-4.6,-10.7,
97,96,MEZ,Meridian Energy,2.624,2.09,-6,2.29,1.85,6.31,,3.02,3.02,17.1,8.36,25.0,28.9,.642,-,43.3,-,
98,99,ZNZ,Z Energy,2.568,6.42,+27,6.42,3.75,22.30,,3.47,3.47,10.0,1.72,373.3,-95.2,4.871,.56,72.4,-,
99,97,LNK,Link Admin Hldgs,2.565,7.13,-,7.20,7.055,-,,-,-,-,-,-,-,-,-,-,-,
100,105,BSL,BlueScope Steel,2.548,4.46,+39,5.78,2.70,3.00,f,.67,.96,-,24.30,18.4,129.2,.491,6.35,-21.3,13.2,
101,100,IOF,Investa Office Fd,2.481,4.04,+4,4.34,3.41,19.25,,4.76,4.76,4.0,29.20,13.8,-6.6,1.105,3.62,18.3,16.7,
102,102,QUB,Qube Holdings,2.429,2.29,+1,3.05,1.955,5.50,f,2.40,3.43,7.8,8.20,27.9,20.3,1.625,.72,-4.8,16.4,
103,101,REC,Recall Hldgs,2.406,7.66,-5,8.09,5.85,19.00,p,2.48,2.86,137.5,26.95,28.4,-9.8,3.386,-1.09,36.8,-,
104,103,SPO,Spotless Group,2.361,2.15,-,2.515,1.74,10.00,,4.65,4.65,-,13.00,16.5,181.9,2.914,-.23,17.1,-,
105,104,CAR,Carsales.com,2.359,9.80,+9,10.98,9.30,33.90,f,3.46,4.94,5.6,43.20,22.7,3.7,10.182,.31,-5.5,12.6,
106,111,DLX,DuluxGroup,2.297,5.90,+16,6.88,5.27,21.50,f,3.64,5.21,17.1,24.70,23.9,12.9,7.661,.25,11.3,21.9,
107,107,FXJ,Fairfax Media,2.287,.945,-,1.11,.725,4.00,p,4.23,5.59,-,3.50,27.0,-9.4,1.107,.23,21.1,39.4,
108,113,SKC,SkyCity Entertain,2.259,3.81,+9,4.18,3.36,15.96,,4.19,4.42,-.1,19.48,19.6,3.2,3.050,6.36,10.9,11.5,
109,109,NUF,Nufarm,2.223,8.37,-19,8.72,4.28,10.00,,1.19,1.19,25.0,11.70,71.5,39.8,1.389,2.58,75.1,16.0,
110,110,AHD,Amalgamated Hldgs,2.218,14.00,-18,14.45,10.02,45.00,f,3.21,4.59,7.1,68.90,20.3,45.1,2.333,5.44,47.6,33.8,
111,108,VED,Veda Grp,2.218,2.62,-7,2.80,1.992,10.00,,3.82,3.82,50.0,9.30,28.2,31.2,2.945,-.20,20.1,-,
112,124,SRX,Sirtex Medical,2.175,38.05,+440,39.95,14.80,20.00,f,.53,.75,42.9,71.40,53.3,68.8,13.298,1.36,30.3,46.2,
113,112,BKW,Brickworks,2.161,14.53,-40,15.84,11.52,45.00,f,3.10,4.42,7.1,52.60,27.6,18.5,1.217,10.59,13.4,13.9,
114,114,PMV,Premier Invest,2.141,13.69,-18,14.62,9.37,42.00,f,3.07,4.38,5.0,56.49,24.2,12.3,1.621,3.09,34.5,36.5,
115,116,MQA,Macq Atlas Roads,2.111,4.08,+5,4.08,2.875,16.00,,3.92,3.92,19.3,11.63,35.1,-,2.534,1.60,44.2,44.9,
116,115,ALQ,ALS,2.097,5.15,-10,6.66,4.33,21.00,p,4.08,4.38,-17.9,-43.37,-,-31.8,1.741,.05,-3.2,-13.1,
